제품군,항목명,설명
TV,화면 사이즈 (베젤 미포함),"68cm
# 디지털 콘텐츠를 즐기기 좋은 컴팩트한 사이즈 
# 자유롭게 이동하며 원하는 장소에서 원하는 콘텐츠를 보기 좋습니다.

100~151cm
# 10~20평대 또는 침실에 둘 서브용 TV 사이즈
# 작은 사이즈로 책상에서 쓸 용도의 모니터 또는 게이밍 TV용으로 각광 받고 있습니다.

152~176cm
# 20평대에서 선호하는 사이즈
# 영화,드라마 등 OTT 콘텐츠를 몰입감 있게 감상하기 좋습니다.

177~194cm
# 30평대에서 선호하는 사이즈
# 요즘은 많은 분들이 초대형 TV 사이즈를 선호합니다.

207~245cm
# 거실에 홈시어터를 구축할 수 있을 만큼 큰 사이즈
# 8K 고화질로 생동감 있게 영상을 감상할 수 있습니다. (*8K 해상도를 지원하는 모델을 확인해 주세요.)
"
TV,디스플레이 종류,"올레드
픽셀 하나하나 딱 필요한 부분에 필요한 만큼의 빛을 켜기 때문에 완벽한 블랙을 표현할 수 있습니다. 백라이트가 없으니 패널 두께도 아주 얇아 슬림한 디자인이 가능합니다.

QNED
디스플레이에서 영상을 실제의 색과 유사하게 표현하기 위해 색 재현율(Color Gamut)을 높이는 고색재현기술이 적용되어, 더 풍부하고 선명한 컬러를 구현합니다.

나노셀
컬러시트에 나노 입자를 입혀​ 색 정확도와 색 재현력을 높였습니다. 넓은 시야각으로 어느 각도에서나 색과 밝기 변화 없이 선명하게 볼 수 있는 장점이 있습니다.

울트라 HD
합리적으로 구매할 수 있는 TV입니다. 광시야각에 4K화질을 지원합니다."
TV,해상도,한 화면에 포함된 총 화소(픽셀)의 수를 말합니다. 보통 가로와 세로의 화소수로 나타내며(가로x세로) 해상도가 높을수록 세밀하고 선명한 화면을 볼 수 있습니다.
TV,주사율,"1초에 몇 장의 장면을 화면에 표시할 수 있는지 나타내는 수치입니다. 화면 재생률 또는 화면 재생 빈도라고도 부르며 단위는 Hz를 사용합니다. 예를 들어, 60Hz는 1초에 60장, 144Hz는 1초에 144장의 이미지가 재생됩니다. 화면 주사율이 높을수록 같은 영상을 더 많은 장면 단위로 쪼개어 보여줄 수 있어서 영상이 더 부드럽고 매끄럽게 표현됩니다."
TV,고색재현 (WCG),디스플레이에서 영상을 실제의 색과 유사하게 표현하기 위해 색 재현율(Color Gamut)을 높이는 LG만의 컬러 테크놀러지를 활용합니다.
TV,화질 프로세서,"기존 알파7 대비 한 단계 진화한 알파8 프로세서는 1.3배 더 강력한 AI 성능을 통해 초대형 TV에 걸맞은 화질과 음질을 구현합니다. 화면 내 글씨나 얼굴, 질감 등을 나타내는 그래픽 성능은 2.3배, 앱 로딩 속도 등을 책임지는 프로세싱 속도는 1.6배 개선되었습니다."
TV,해상도 업스케일링,"딥러닝 알고리즘을 기반으로 해상도를 높이는 기능입니다. 영상 속 얼굴, 사물, 글씨 등을 인식해 노이즈를 줄이고 해상도를 높여 또렷하게 보이도록 만들어 줍니다."
TV,AI 밝기 조정,주변 환경에 따라 밝기를 자동으로 조절하여 최적의 시청 환경을 제공합니다.
TV,HDR (High Dynamic Range),HDR(High Dynamic Range)는 SDR(Standard Dynamic Range)보다 더 넓은 화면 밝기 범위를 표시할 수 있는 기술입니다. 영화나 게임에서 어두운 부분과 밝은 부분을 더 잘 구별할 수 있고 더 자연스러운 화면을 표시합니다. HDR은 콘텐츠와 장치 모두에 적용되어야 최적의 효과를 낼 수 있습니다.
TV,필름메이커 모드,영화를 만든 감독의 의도를 그대로 전달하여 더욱 실감나게 영화를 즐길 수 있습니다.
