제품군,항목명,설명
오디오,SBC,SBC는 블루투스 오디오 기기에 가장 보편적으로 사용되는 코덱으로 오디오 신호를 주파수 대역별로 나누어 줍니다. 전력 소모가 적은 대신 압축률이 낮은 특징을 가지고 있습니다.
오디오,AAC,AAC(Advanced Audio Coding)는 MP3와 비교했을 때 더 좋은 음질과 더 확장된 샘플 주파수 범위와 채널을 가진 손실 압축 기술입니다. MP4 확장사를 사용하며 고정 비트레이트와 가변적 할당을 지원하기 때문에 기능이 개선되었지만 용량 차이는 크지 않습니다.
오디오,Power-on mode,"스피커가 켜져 있고, 정상적으로 작동 중일 때의 소비전력을 나타냅니다."
오디오,Stand-by mode,"스피커가 꺼져 있거나, 대기 상태에 있을 때의 소비전력을 나타냅니다. 이 모드에서는 스피커가 최소한의 전력만 소비하여 에너지를 절약하는 데 도움이 됩니다."
오디오,멀티 포인트,하나의 무선 이어폰에 두 개의 소스 기기를 동시에 연결하는 기능입니다.
오디오,Upgrade Manager (FOTA),무선 네트워크를 통해서 디바이스의 펌웨어와 특정 데이터를 다운로드하여 업데이트하는 것입니다. 새로운 펌웨어로 전체를 재설치하는 방식과 차이가 있는 사항들만 부분적으로 다운로드하여 업데이트하는 방식이 있습니다.
오디오,앱 (Android/iOS),LG Sound Bar 앱은 다양한 스마트 기기를 등록하여 편리하게 이용하는 앱 서비스입니다.
오디오,라이팅,크래들을 충전하는 동안 무드등 으로도 활용할 수 있습니다.
오디오,배터리 표시,배터리의 충전 상태와 배터리 상태를 LED로 확인할 수 있습니다. 스피커가 켜진 상태에서 전원 버튼을 2초간 길게 누르면 배터리의 충전 상태를 확인할 수 있습니다.
오디오,AC 어댑터,"어댑터와 전원 코드를 연결한 후, 어댑터 케이블을 기기 뒷면의 전원 입력 단자에 연결합니다."
오디오,Standard,가장 좋은 상태의 소리를 들을 수 있습니다.
오디오,AC 어댑터 잭,"어댑터와 전원 코드를 연결한 후, 어댑터 케이블을 기기 뒷면의 전원 입력 단자에 연결합니다."
오디오,우퍼 유닛,"스피커에서 저음역을 담당하는 유닛입니다. 서브우퍼보다는 더 높은 주파수를 출력하며, 40Hz에서 500Hz 사이를 만들어내어 콘트라베이스나 오르간과 같은 악기 소리의 웅장함을 표현합니다."
오디오,블루투스 버전,"해당 제품이 지원하는 블루투스 표준을 나타냅니다. 일반적으로 블루투스 버전이 최신일수록 더 빠른 데이터 전송 속도, 더 낮은 전력 소비, 개선된 연결 안정성 및 보안 기능을 제공합니다."
오디오,스피커폰,스피커를 전화처럼 사용할 수 있어 두 손 가볍게 통화를 할 수 있습니다.
오디오,USB C type 케이블,"스피커의 뒷면 덮개를 열어 USB C 타입 케이블을 연결하고, 반대편은 USB 단자에 연결하면 스피커를 충전시킬 수 있습니다."
오디오,스트랩,"스트링으로 어디서나 쉽게 스피커를 장착하고 사용할 수 있으며, 스트링 조절기의 버튼을 눌러 길이를 직접 조절할 수 있습니다."
오디오,USB C-type,"스피커의 뒷면 덮개를 열어 USB C 타입 케이블을 연결하고, 반대편은 스탠바이미의 USB 단자에 연결하면 스피커를 충전시킬 수 있습니다."
오디오,패시브 라디에이터,저음의 왜곡과 노이즈 발생을 줄여 더 깨끗하고 풍부한 저역대를 표현합니다.
오디오,트위터 유닛 사이즈,"유닛의 크기는 재생 주파수와 밀접한 관계가 있으며 3kHz의 1/4 파장의 크기가 1인치 정도이므로, 트위터 유닛의 크기는 2~2.5cm 내외입니다."
오디오,트위터 유닛 타입,"고음 영역에 특화된 트위터 유닛은 형태나 재질에 따라 여러 종류로 분류됩니다. 가장 대표적인 형태인 돔(Dome) 트위터는 음의 퍼짐이 좋으며 자연스러운 소리가 특징이고, 혼(Horn) 트위터는 나팔 모양의 혼을 달아 소리가 멀리까지 전파되나 특유의 왜곡이 있어 소리가 거칩니다. 콘(Cone) 트위터는 블루투스 스피커, 소형 스피커, 사운드 바 등 큰 유닛을 사용하기 어려운 경우에 주로 사용됩니다."
오디오,Wireless party link (Dual mode),동일한 모델명의 스피커 두 개를 연결하면 스테레오로 음악을 즐길 수 있습니다.
