제품군,항목명,설명
세탁,세탁 용량 (kg),"1인 기준 일주일치 빨랫감은 평균 4~5kg* 으로 구성원 수와 사용패턴을 고려하여, 용량 선택에 참고 하실 수 있습니다.

[가구 유형별 추천 용량]

1-2인 가구
· 트롬 : 12~15kg
· 통돌이 세탁기: 10~12kg

1인 가구 일주일 치 세탁물이 4kg임을 감안해 10kg 초반 작은 용량을 추천드립니다.

2-3인 가구
· 트롬 : 21~23kg
· 통돌이 세탁기: 15~16kg

겉옷이나 속옷을 나눠 세탁하거나 땀 흘린 운동복, 반려동물 장난감 등 별도 세탁물이 많다면 기존 트롬에 미니워시를 추가해도 좋습니다.

3인 이상 가구
· 트롬 : 21~25kg
· 통돌이 세탁기: 20~24kg
· 트롬 트윈워시: 28~29kg

드럼 방식은 세탁시 낙차를 이용한 여유 공간이 필요해 통돌이 세탁기보다 세탁 용량을 20~30% 크게 잡으면 좋습니다."
세탁,조작 및 표현 방식,"판넬과 도어의 경계를 허물어 고급스럽고 엣지 있게, 다이얼과 터치 디스플레이로 조작을 간편하게 할 수 있습니다."
세탁,인버터 DD모터,"벨트와 풀리 없이 세탁통과 모터를 직접 연결해 구동할 수 있는 LG만의 모터입니다. 기존 벨트 모터보다 부품 간 마찰이 적어 에너지 손실이 적고 오래 써도 성능이 떨어지지 않아 주기적인 부품 교체도 필요하지 않습니다. 특허받은 정밀 제어기술로 모터 힘과 회전 방향을 자유자재로 조절해 섬세한 세탁 모션 구현이 가능합니다.
"
세탁,6모션,"모터의 힘과 회전 방향을 자유자재로 조절하는 인버터 DD 모터 기술로 세탁통과 세탁판을 돌려 6가지 정교한 모션을 구현하는 기능입니다. 
손빨래 동작을 닮은 6가지 동작으로 마치 손빨래하듯 섬세하게 세탁하는 것이 특징이며 두드리기, 주무르기, 비비기, 풀어주기, 꼭꼭 짜기, 흔들기로 구성되어 있습니다.
"
세탁,트루스팀,"고온의 미세스팀으로 세균과 바이러스를 최대 99.999% 제거하는 LG만의 특허 기술입니다. 스팀 생성기(스팀 제너레이터)에 물을 채우고 직접 가열한 후 고온의 미세스팀이 만들어지면 압력차로 스팀이 배출됩니다. 세탁기, 건조기, 스타일러에서는 의류 구김, 냄새를 제거해 주고 식기세척기에서는 트루스팀과 연수장치를 같이 사용해 물 얼룩을 87%까지 감소시키며 식기의 온도를 높여 표면의 물기를 없애 높은 건조 성능도 누릴 수 있습니다.
"
세탁,5방향 터보샷+,"5방향 터보 샷+는 코스에 따라 강도와 방향을 자동으로 조절하여 세탁을 30분 내에 완료하면서 시간과 물을 절약합니다. 5방향은 좌우 측에 4개의 분사 물살과 1개의 낙수 물살을 말합니다. 수압에 따라 분사 세기나 물의 흐름 형태가 변할 수 있으며, 실제 사용 환경과 과정에 따라 터보 샷 작동이 다를 수 있습니다.

* 인터텍 시험 결과 자사가 제시한 기준으로 북미 에너지 규격 시험 부하 3kg, 표준 코스+터보샷 옵션 세탁 시 30분. 표준코스+터보샷 옵션 미적용 대비 물 사용량 30 %, 세탁 시간 24%가 절약되었습니다. (24kg 드럼세탁기 기준)
* 세탁 시간과 물 사용량은 사용 환경에 따라 차이가 있을 수 있습니다."
세탁,UP 가전,"쓰고 있는 제품을 업데이트할 수 있는 기능입니다. 라이프스타일과 취향에 맞춰 업그레이드된 기능으로 매일 새롭고 더 좋은 경험을 하실 수 있습니다. 게다가 제품 사용 중에 불편이나 문제가 있을 때 새로운 기능을 알려주거나 문제를 해결해 주기도 합니다.
"
세탁,표준,일반적인 의류를 세탁해주는 코스입니다.
세탁,알뜰삶음,"트롬 세탁기에 적용된 세탁 코스로 순면, 아기 옷, 속옷, 수건 등 위생에 민감한 의류를 고온(95℃)으로 삶아 세탁하는 코스 입니다. 자체 가열 시스템으로 물을 가열하므로 냉수 호스만 연결되어도 사용할 수 있습니다."
세탁,통살균,"* 가열된 세탁수로 세탁조 내부를 살균해 주는 코스입니다. 세탁통의 물을 최대 60도까지 가열하고 회전시켜 세탁통 내부의 대장균, 황색포도상구균을 99.9% 제거하고 찌든 때를 없애는 데 도움을 줍니다. 
* 살균 효과는 세균의 종류, 사용환경 등에 따라 차이가 있을 수 있습니다.
"
세탁,울/섬세,"수축이나 변형되기 쉬운 섬유, 속옷 등 섬세한 의류를 세탁해주는 코스입니다.
* 본 코스를 사용하기 전 물 세탁이 가능한 세탁물인지 반드시 확인하세요."
세탁,헹굼+탈수,헹굼과 탈수만 하고 싶을 때 사용하는 코스입니다.
세탁,이불,"물세탁 표시가 있는 담요 또는 이불을 세탁해주는 코스입니다.
* 전기 담요, 커튼, 발 닦이용 발판, 매트 등을 세탁하면 제품과 세탁물이 손상될 수 있습니다.
* 매뉴얼에 기재된 중량 및 크기를 초과하는 대형 이불을 세탁할 경우 세탁물이 손상될 수 있습니다.
* 이불은 일반 세탁물과 분리하여 한 장씩 세탁하세요. 두 장 이상 세탁할 경우 서로 엉키거나 치우침에 의해 세탁이 잘 안되거나 탈수 이상 현상이 발생할 수 있습니다.
* 이불은 고르게 펴서 드럼 내에 80 %까지 차도록 넣으세요. 이불을 말아서 넣으면 불균형으로 제품이 오작동될 수도 있습니다.
* 이불을 넣을 때는 드럼 안으로 확실히 들어가도록 넣으세요. 이불이 세탁기 문과 고무 패킹 사이에 놓이면 제품과 세탁물이 손상될 수 있습니다."
세탁,소량급속,오염 부위가 적은 소량의 세탁물을 짧은 시간에 세탁해주는 코스 입니다.
세탁,탈수단독,탈수만 하고 싶을 때 사용하는 코스입니다.
세탁,알러지케어,"위생에 예민한 세탁물의 세탁을 위해 60도 이상의 물을 사용하여 세탁하는 코스입니다.
* 살균 효과는 사용 환경에 따라 차이가 있을 수 있습니다.
"
세탁,빨래추가,세탁기 작동 중 세탁물을 추가로 투입하거나 이물질을 제거하고 싶을 때 사용하는 기능입니다.
세탁,물온도,물 온도를 변경하고 싶을 때 사용하는 기능입니다. 물 온도는 표시창에 표시됩니다.
세탁,스마트 페어링 (건조기 연동 시),LG 트롬 건조기를 함께 사용 중이라면 진행 중인 세탁 정보가 그대로 공유됩니다. 따로 설정 없이도 세탁 코스에 맞게 최적의 건조 코스를 곧바로 진행할 수 있습니다.
세탁,스마트 원격제어,제품의 전원을 켜고 원격제어 기능을 설정하면 언제 어디서나 제품을 작동할 수 있습니다.
세탁,스마트 진단,제품의 고장 원인을 진단할 수 있는 기능입니다. 제품에 스마트 진단 로고가 있는 모델에만 적용되며 진단을 진행하는 동안 진단음이 발생하므로 상담원 연결 시에만 사용하시고 평상시에는 작동하지 마시기 바랍니다.
세탁,다운로드코스,LG ThinQ 앱으로 기본 코스 외에 추가로 새로운 세탁 또는 건조 코스를 다운로드하고 사용할 수 있는 기능입니다.
세탁,통 살균(세척) 코치,세탁 횟수 정보를 통해 통살균(통세척) 적정 시기를 확인할 수 있습니다.
세탁,스마트케어,스마트케어 기능은 사용자의 세탁 습관과 날씨까지 고려하여 세탁 옵션을 추천 해주는 기능입니다.
세탁,인공지능세탁,"의류의 특성과 오염도에 맞춰 알아서 최적 조건으로 세탁해주는 코스 입니다.
*젖은 세탁물의 경우에는 최적의 조건으로 세탁이 어려울 수 있으니 마른 세탁물로 본 코스를 사용하세요."
세탁,아기옷,아기 옷을 고온으로 깨끗하게 세탁해주는 코스입니다.
세탁,6 모션,"인버터 DD 모터 기술로 세탁통과 세탁판을 움직이는 기능입니다. 모터의 힘과 회전 방향을 자유롭게 조절하여 손 빨래 하듯 섬세한 세탁이 가능합니다. 두드리기, 주무르기, 비비기, 풀어주기, 꼭꼭 짜기, 흔들기 총 6가지 동작으로 구성되어 있습니다.

① 두드리기 : 높은 곳에서 세탁물을 떨어뜨리는 동작
② 주무르기 : 옷감에 세제와 물을 조물조물 적시는 동작
③ 비비기 : 강력하게 좌우로 비벼빠는 동작
④ 풀어주기 : 일정한 회전 속도로 옷감을 풀어주는 동작
⑤ 꼭꼭 짜기 : 손으로 짜는 것처럼 회전해 탈수하는 동작
⑥ 흔들기 : 부드럽게 살살 흔들어 섬세하게 세탁하는 동작"
세탁,5방향 터보샷,"기존의 3방향 터보 샷에 2방향을 추가하여 세탁력을 강화한 기능으로 드럼통 내부에서 5방향으로 강력하게 물줄기를 뿌려줍니다. 12시 방향의 노즐은 급수 호스에 연결돼 깨끗한 물을 분사 하고, 다른 노즐은 순환수(세제수/헹굼수)를 강력하게 분사합니다. 빈틈없는 강력한 물줄기로 빠른 시간에 깨끗한 세탁이 가능합니다."
세탁,세탁전용,"기본적으로 제공되는 다양한 세탁 요구사항에 적합한 옵션들을 포함합니다. 조작부 중앙LCD 화면의 좌, 우측 화살표 버튼을 터치하여 코스를 탐색 및 선택할 수 있습니다."
세탁,탈수선택,탈수 세기 단계를 선택할 수 있습니다.
세탁,에너지 모니터링,최근 사용한 코스 및 월별 사용량을 확인할 수 있습니다.
세탁,소비전력(W),전기·전자기기가 운용되기 위해 필요한 단위 시간당 전기 에너지의 양을 말합니다. 단위는 W(와트) 또는 kW(킬로와트) 사용합니다.
세탁,기능성의류,"고어텍스, 윈드 스토퍼, 쉘러, 쿨맥스와 같은 소재의 기능성 의류를 세탁해주는 코스입니다."
세탁,스피드워시,오염 부위가 적은 소량 세탁물을 빠른 시간 내에 세탁해 주는 코스입니다.
세탁,소량세탁,일반적인 의류를 세탁해주는 코스입니다. *미니워시 세탁기에 적용되는 코스 입니다.
세탁,교복,자주 빠는 교복을 섬세하고 깨끗하게 세탁해주는 코스입니다.
세탁,조용조용,제품의 작동 중 나는 소리를 줄여 조용하게 세탁해주는 코스입니다.
세탁,장마철세탁,일반적인 의류를 탈수 세기를 높여 세탁물의 물기를 최소화해주는 코스입니다.
세탁,찌든때,물을 40-60 ℃로 데워서 옷감을 불려 찌든 때를 제거해주는 코스입니다.
세탁,컬러케어,색상이 있는 의류를 세탁해주는 코스입니다.
세탁,찬물세탁,오염이 적은 의류를 찬물로 깨끗하게 세탁해주는 코스입니다.
세탁,땀얼룩제거,옷에 밴 땀과 얼룩을 제거하여 세탁해주는 코스입니다.
세탁,한벌세탁,오염이 적은 옷 한 벌만 세탁해주는 코스입니다.
세탁,자동세제함,"옷의 무게에 따라 적정량의 세제와 섬유 유연제를 알아서 넣어주는 기능입니다. 미리 세제와 섬유 유연제를 채우면 오염도에 따라 알맞은 양의 세제가 나오고 헹굼 횟수가 조절됩니다. 자동세제함이 적용된 모델은 워터 스프레이, 발수 표면, 세제량 감지 센서가 있어 더 위생적으로 사용할 수 있습니다.
"
세탁,Centum System,"세탁기의 모터, 냉장고의 컴프레서 등을 통해 프리미엄 가전의 내구성과 에너지 효율을 높이면서 소음은 낮춘 기술입니다."
세탁,4방향 터보샷,세탁물에 4방향으로 세제와 물을 뿌려 세탁 중에는 찌든 때를 효과적으로 없애주고 세탁 후에는 남은 세제 없이 깨끗하게 헹궈 주는 기능입니다.
세탁,세탁단독,헹굼 없이 세탁과 기본 탈수만 하는 코스입니다.
세탁,헹굼단독,세탁과 탈수 없이 헹굼만 하는 코스입니다.
세탁,스테인리스 필터,"스테인리스 필터를 통해 세탁 중 먼지와 섬유 조각을 효과적으로 걸러냅니다. 필터 자체가 스테인리스 스틸로 제작되어 내구성이 뛰어나고 청소가 용이합니다.
"
세탁,소프트 안전도어,고객의 손을 보호하기 위해 LG 통돌이 세탁기 도어에 적용된 안전설계 구조입니다. 세탁기 위쪽의 문이 천천히 부드럽게 닫히도록 설계하여 손이 도어 틈에 끼는 사고를 방지해 주는 역할을 합니다.     
