제품군,항목명,설명
의류관리기,빌트인 고압스티머,"스타일러 안에 빌트인 되어있는 스티머입니다. 
구김 케어가 필요할 때마다 바로 꺼내 구김을 펼 수 있고, 3단계로 스팀 강도를 조절할 수 있어 옷에 따라 섬세하게 관리할 수 있습니다.
"
의류관리기,자동 환기 시스템,"코스가 끝나면 스타일러 안과 밖의 공기를 자동으로 순환하는 기능입니다. 
스타일러의 문을 열지 않아도 위쪽에 에어홀이 열려 공기를 순환시켜 주어 스타일링이 끝난 후 바로 옷을 바로 꺼내지 않아도 옷을 눅눅함 없이 보관할 수 있습니다. 또한 문을 열지 않아도 실내 제습을 할 수 있습니다. (* 실내 제습 기능 사용 시)
"
의류관리기,트루스팀,"고온의 미세스팀으로 세균과 바이러스를 최대 99.999% 제거하는 LG만의 특허 기술입니다. 스팀 생성기(스팀 제너레이터)에 물을 채우고 직접 가열한 후 고온의 미세스팀이 만들어지면 압력차로 스팀이 배출됩니다. 세탁기, 건조기, 스타일러에서는 의류 구김, 냄새를 제거해 주고 식기세척기에서는 트루스팀과 연수장치를 같이 사용해 물 얼룩을 87%까지 감소시키며 식기의 온도를 높여 표면의 물기를 없애 높은 건조 성능도 누릴 수 있습니다.
"
의류관리기,선반,"스타일러 하단 부분의 선반을 올려 늘어나기 쉬운 의류뿐만 아니라 모자, 베개와 같은 일상용품까지 케어할 수 있습니다. 스타일링이 완료되면 선반 홀더에 걸어 간편하게 보관할 수 있습니다."
의류관리기,UP 가전,"쓰고 있는 제품을 업데이트할 수 있는 기능입니다. 라이프스타일과 취향에 맞춰 업그레이드된 기능으로 매일 새롭고 더 좋은 경험을 하실 수 있습니다. 게다가 제품 사용 중에 불편이나 문제가 있을 때 새로운 기능을 알려주거나 문제를 해결해 주기도 합니다.
"
의류관리기,양방향도어,"왼쪽 열림 또는 오른쪽 열림으로 도어 방향을 바꿀 수 있어 이사를 가거나 가구 위치를 바꾸어도 편리하게 사용할 수 있습니다.

* 제품 배송 및 설치 후 1개월 이내에 서비스센터(☎ 1544-7777)로 연락 주시면 무료로 도어 방향 변경이 가능합니다. 단, 1개월 이후에는 추가 비용이 발생하오니, 이점 유의해 주시기 바랍니다."
의류관리기,아로마 시트,아로마 시트 케이스에 아로마 시트를 넣어 의류에서 향기로운 냄새가 나게 합니다.
의류관리기,예약,"코스 종료 후, 의류를 제품 내에 장기간 넣어 두시면 제품 내 온도가 주변 온도 수준으로 낮아지고, 상대습도가 증가하여 의류를 꺼내셨을 때, 의류의 온도가 낮아 약간 눅눅한 느낌을 받으실 수 있습니다. 의류를 오래 넣어 두셔야 한다면, 예약 기능을 사용해 보세요."
의류관리기,보관,"코스가 완료된 후, 의류를 스타일러에서 바로 꺼내지 않으실 경우, 보관 기능을 이용해 주시면 의류를 보송보송하게 보관할 수 있습니다."
의류관리기,스마트 진단,제품의 고장 원인을 진단할 수 있는 기능입니다. 제품에 스마트 진단 로고가 있는 모델에만 적용되며 진단을 진행하는 동안 진단음이 발생하므로 상담원 연결 시에만 사용하시고 평상시에는 작동하지 마시기 바랍니다.
의류관리기,스마트 원격제어,언제 어디서나 스마트폰 하나로 작동부터 실시간 모니터링까지 빠르게 할 수 있습니다.
의류관리기,간접 조명,"스타일러 문을 열면 조명이 자동으로 켜져 내부를 은은하게 밝혀주며, 주변이 어두워도 옷을 넣고 꺼낼 때 편리하게 사용할 수 있습니다. 
"
의류관리기,스타일링-강력,표준코스보다 더 강력한 스타일링을 원할 때 사용할 수 있는 코스입니다.
의류관리기,스타일링-표준,버튼 하나로 간편하게 스타일링하고 싶을 때 사용할 수 있는 코스입니다.
의류관리기,스타일링-급속,짧은 시간 내에 구김이나 냄새가 적은 의류를 스타일링하고 싶을 때 사용할 수 있습니다.
