제품군,항목명,설명
공기청정기,취침예약,"설정한 시간 동안 작동 후, 자동으로 운전이 정지되도록 설정합니다."
공기청정기,잠금 기능,어린이나 기타 다른 요인으로 원하지 않는 작동이 발생하지 않도록 조작부 버튼을 잠급니다.
공기청정기,미세먼지 농도 표시,"본체 디스플레이나, 연동된 스마트폰을 통해 미세먼지 농도를 확인할 수 있어 실내 공기 질 파악에 도움을 줍니다."
공기청정기,UP 가전,사용 중인 제품에 새로운 기능을 업데이트할 수 있는 기능입니다. 변화하는 라이프스타일과 취향에 맞게 제품을 업그레이드 할 수 있어 매일 더 새롭고 좋아진 제품을 경험하실 수 있습니다. 또한 제품 사용 중 불편한 점이나 문제가 있을 때 새로운 기능을 알려주거나 문제를 해결해 주기도 합니다. https://www.lge.co.kr/upappliance
공기청정기,청정 표시등,"청정 표시등은 다양한 색상과 패턴으로 작동 상태와 공기 품질을 시각적으로 전달합니다. 녹색 또는 파란색은 정상 작동 및 좋은 공기 품질을 나타내고, 주황색 또는 노란색은 보통 이상의 공기 품질을, 빨간색은 매우 나쁜 공기 품질을 나타냅니다. 깜빡이거나 변경되는 색상은 특별한 상태를 나타냅니다. 이를 통해 사용자는 쉽게 공기청정기의 상태를 파악하고 필요한 조치를 취할 수 있습니다."
공기청정기,청정세기,청정 세기 버튼을 눌러 수동으로 [중풍] 또는 [약풍]으로 풍량을 조절하여 사용할 수 있습니다. 버튼을 눌러 [약/중/강]으로 변경이 가능합니다.
공기청정기,오토 모드,실시간으로 오염된 공기를 감지하고 집 안에 퍼지기 전에 스스로 청정을 시작하는 모드입니다.
공기청정기,스마트 진단,제품의 고장 원인을 진단할 수 있는 기능입니다. 제품에 스마트 진단 로고가 있는 모델에만 적용되며 진단을 진행하는 동안 진단음이 발생하므로 상담원 연결 시에만 사용하시고 평상시에는 작동하지 마시기 바랍니다.
공기청정기,인공지능 모드,실내 공기질이 좋을 때 절전 운전합니다.
공기청정기,펫 모드,펫 모드를 선택하면 오토 모드 대비 최대 52% 강력한 풍량으로 반려동물의 주 생활 공간인 하단 공기를 집중 청정합니다.
공기청정기,듀얼청정,상부 공기청정기와 하부 공기청정기가 동시에 작동하여 실내 공기를 빠르게 정화합니다.
공기청정기,싱글청정,하부 공기청정기로 실내 공기를 정화합니다.
