제품군,항목명,설명
전기레인지,소비전력,전기·전자기기가 운용되기 위해 필요한 단위 시간당 전기 에너지의 양을 말합니다. 단위는 W(와트) 또는 kW(킬로와트) 사용합니다.
전기레인지,안전장치 시스템(개),"21종 안전장치 시스템으로 과열을 감지하고 제어하여 안전하게 요리할 수 있습니다. 원하는 조리시간을 설정할 수 있는 타이머 기능, 아이/반려동물의 오작동을 방지하는 잠금 기능, 일정 시간이 지나면 자동으로 출력을 차단하는 시간 제어 기능 등이 있습니다."
전기레인지,안전장치 세부항목,"잠금버튼, 타이머, 전원 자동OFF, 시간제어, 출력제어, 잔열표시""H"", 전류 퓨즈, 용기 감지, 일시 낮춤, 화구 자동OFF, 코일 감지 센서, 분리벽 코일 설계, 상판 과열 방지, 220℃ 내열 코일, 고성능 단열재, 고/저전압 보호설계, 소프트웨어 안전인증(KTL), 변속 쿨링팬, Fan Lock 안전장치, 쿨링 에어가이드 설계, 정전기 방지 시스템"
전기레인지,자동용기감지,사용 가능한 용기를 자동으로 감지하여 사용 가능한 버너를 알려주는 기능입니다.
전기레인지,화력 인디케이터,"인덕션의 화력 상태, 안전도를 알 수 있게 해주는 가상 불꽃입니다. 가상 불꽃의 길이를 화력 세기에 따라 다르게 보여주기 때문에 안전하게 요리할 수 있습니다."
전기레인지,대버너 (W)(Turbo),대버너에서 사용 가능한 용기의 권장 사이즈는 19~22cm입니다. (버너 바닥 사이즈에 맞는 용기를 사용하여야 합니다.)
전기레인지,중버너 (W)(Turbo),중버너에서 사용 가능한 용기의 권장 사이즈는 16~18cm입니다. (버너 바닥 사이즈에 맞는 용기를 사용하여야 합니다.)
전기레인지,소버너 (W)(Turbo),소버너에서 사용 가능한 용기의 권장 사이즈는 14~15cm입니다. (버너 바닥 사이즈에 맞는 용기를 사용하여야 합니다.)
전기레인지,ThinQ,LG ThinQ 앱을 설치하면 언제 어디서나 편리하게 우리 집 LG 가전을 관리할 수 있습니다.
전기레인지,UP 가전,사용 중인 제품에 새로운 기능을 업데이트할 수 있는 기능입니다. 변화하는 라이프스타일과 취향에 맞게 제품을 업그레이드 할 수 있어 매일 더 새롭고 좋아진 제품을 경험하실 수 있습니다. 또한 제품 사용 중 불편한 점이나 문제가 있을 때 새로운 기능을 알려주거나 문제를 해결해 주기도 합니다. https://www.lge.co.kr/upappliance
전기레인지,상태 모니터링,"스마트폰 앱으로 화구 상태, 잠금 여부 모니터링이 가능해 거실에서 TV 드라마 등을 시청하면서 확인이 가능합니다."
전기레인지,와이드존 (W)(Turbo),와이드 존에서는 큰 용기의 사용이 가능해 양이 많은 재료도 한 번에 요리가 가능합니다.
전기레인지,소버너 (W),소버너에서 사용 가능한 용기의 권장 사이즈는 14~15cm입니다. (버너 바닥 사이즈에 맞는 용기를 사용하여야 합니다.)
전기레인지,린스 세제 보충 알림,린스통에 린스가 30% 이하로 남아있을 때 린스 보충 아이콘이 깜빡입니다.
전기레인지,소금 보충 알림,연수 장치에 들어 있는 소금이 떨어졌다는 알림입니다.
전기레인지,접힘 범위 (하단 바스켓),접고 펼 수 있는 식기 꽂이를 적용하여 큰 냄비와 다양한 접시를 쉽게 수납할 수 있습니다. 접힘 가능 범위에 따라 수납의 활용도가 늘어납니다
전기레인지,접힘 범위 (상단 바스켓),접시 거치대(식기꽂이)를 아래로 눕히거나 위로 세워 식기를 넣을 수 있는 공간 확보가 가능합니다. 또한 식기의 크기에 따라 접시 거치대(식기꽂이)를 조절할 수 있습니다. 접힘 가능 범위에 따라 수납의 활용도가 늘어납니다
전기레인지,높낮이 조절,3단까지 높이를 조절하여 높은 용기도 한번에 적재가 가능합니다.
전기레인지,핸들/데코 (하단 바스켓),바스켓을 밀고 당기는 손잡이 부분을 의미합니다.
전기레인지,핸들/데코 (상단 바스켓),바스켓을 밀고 당기는 손잡이 부분을 의미합니다.
전기레인지,바스켓(선반) Grade,식기세척기 내부 바스켓의 접힘 범위 및 내구성에 따라 달라집니다. 높은 등급의 바스켓일수록 내부 공간을 효율적으로 활용할 수 있습니다.
전기레인지,프라이팬 선반 (사이드랙),프라이팬을 바닥에 눕히지 않고 거치대에 두어 조리 도구를 적재할 공간을 늘릴 수 있습니다. * 지름이 약 30cm인 프라이팬을 수납할 때에는 상단 노즐에 닿지 않는지 반드시 확인해 주세요. (일부 모델에 한함)
전기레인지,자동,세척 시간과 온도를 자동으로 조절합니다.
전기레인지,강력,표준 코스 대비 더 높은 온도로 긴 시간 동안 세척합니다.
전기레인지,다운로드,LG ThinQ 앱을 통해 제품에 코스를 다운로드 합니다.
전기레인지,스팀,"세균, 유해물질, 알레르기 유발물질 등을 고온의 스팀으로 살균 및 제거해 주는 기능입니다."
전기레인지,예약,선택한 세척 코스에 대해 예약 시간을 설정합니다.
전기레인지,버튼 잠금,제어창 버튼 잠금 기능을 켜거나 해제할 수 있습니다.
전기레인지,취소,작동 중인 세척 코스를 취소할 수 있습니다
전기레인지,열풍건조,자동 문 열림 후 뜨거운 열풍으로 물기를 빠르게 날려 뽀송하게 건조합니다.
전기레인지,건조단독,"건조만 필요할 때에는 건조 단독 코스를 사용하여 세척없이 뽀송한 건조가 가능합니다.

*건조 단독 코스 선택 후, 열풍건조 시간 선택 및 실행
*건조 단독 코스 시간 : 40/ 60/ 90분"
전기레인지,일시정지,일시정지 버튼을 누르면 작동이 멈춰 빠뜨린 설거짓거리를 물이 튈 걱정 없이 추가할 수 있습니다.
전기레인지,살균,세척 및 헹굼 시 물의 온도를 최대 80℃까지 높여 세척합니다.
전기레인지,"원격진단, 원격모니터링","제품 사용 패턴에 따른 올바른 사용 방법 및 유용한 정보를 제공하고, 진단 결과에 따라 간편하게 해결할 수 있도록 해결 방법을 안내합니다."
전기레인지,스마트진단,제품의 고장 원인을 진단할 수 있는 기능입니다. 제품에 스마트 진단 로고가 있는 모델에만 적용되며 진단을 진행하는 동안 진단음이 발생하므로 상담원 연결 시에만 사용하시고 평상시에는 작동하지 마시기 바랍니다.
전기레인지,자동 문열림 건조,"식기세척기의 세척이 끝나면 문이 자동으로 열리는 기능입니다. 증기 배출 없이 워터자켓으로 응축 건조 후 안전한 온도가 되면 자동으로 문이 열리고 잔여 수증기를 배출하기 때문에 냄새를 제거해 주고 깔끔한 건조를 도와줍니다.
"
전기레인지,건조방식,"LG 식기세척기는 총 3단계의 건조 방식을 거칩니다.('열풍건조'는 열풍 모듈 적용 모델에 한함)
1. 워터자켓의 물을 채워 차가운 벽면으로 습기를 응축시키는 '응축건조'
2. 응축 건조 후 자동으로 문을 열어 습기를 배출하는 '자동문열림 건조'
3. 뜨거운 열풍으로 남아있는 물기를 말려주는 '열풍건조'"
전기레인지,인버터 DD모터,1998년 세계 최초 개발되어 LG 세탁기에 적용된 기술로 벨트와 풀리 없이 세탁통과 모터를 직접 연결한 구동 방식이 적용된 모터입니다. 기존 벨트 모터 대비 부품 간 마찰이 적어 에너지 손실이 적고 오래 써도 처음 성능을 유지하며 주기적 부품 교체 비용도 들지 않습니다. 특허받은 정밀한 제어기술로 모터 힘과 회전 방향을 자유자재로 조절해 다양하고 섬세한 세탁 모션 구현이 가능해졌습니다.
전기레인지,토네이도 세척 날개,54개의 입체 물살을 만들어 빠르고 강력한 세척을 도와줍니다.
전기레인지,3단 누수 방지 시스템,"세척기 내부와 급배수 밸브의 누수를 감지하고 완벽하게 급수를 차단하는 다중 보호 시스템입니다. 물이 바깥으로 새어 나가는 것을 방지하는 이중 호스, 추가적인 물의 유입을 차단하는 안전 밸브, 식기세척기의 바닥 부분에 설치되어 물이 샐 경우 작동을 중단시키는 바닥 팬 등의 구성 요소로 이루어져 있습니다."
전기레인지,스마트 선반 시스템,"선반의 높낮이와 공간을 쉽게 조절할 수 있어 작은 식기류부터 큰 냄비까지 다양한 수납이 가능한 LG DIOS 식기세척기의 선반 시스템입니다.

(1) 수저, 국자, 작은 컵 등 다양한 종류의 집기류를 수납할 수 있는 다용도 선반.
(2) 높은 용기도 한 번에 수납할 수 있는 3단 높이 조절.
(3) 접어다 폈다 할 수 있어 다양한 식기를 수납할 수 있는 맞춤형 식기 꽂이."
전기레인지,100℃ 트루스팀,"고온의 미세 스팀이 포함된 세척 코스*로 총 28종의 유해 세균, 바이러스를 99.999%까지 제거해 줍니다. 

* 고온의 살균세척과 스팀 분사를 병행하여 진행하는 코스"
전기레인지,보관기능,"세척/헹굼/건조가 끝난 후 자동으로 이어지는 기능으로 식기를 꺼내지 않아도 내부의 습한 공기를 제거하는 데 도움을 줍니다.
고객 설정에 따라  최소 1시간에서 최대 4시간(초기값) 동안 송풍팬이 작동하여 건조 성능 향상에
도움을 주며, 식기를 더욱 쾌적한 상태로 꺼낼 수 있습니다."
전기레인지,에어 필터,생활 먼지 및 2.5~10㎛의 미세먼지를 차단하는 에어필터로 더 깨끗한 열풍건조가 가능합니다. 깨끗한 공기로 건조하기 위해 1년에 한번 에어필터를 교체하는 것을 권장합니다.
