Logic ID,사용 횟수,KITCHEN 추천,TV 추천,LIVING 추천
1,19,158,30,2
2,19,94,96,0
3,23,180,50,0
4,13,100,30,0
5,16,94,66,0
6,19,120,70,0
7,13,104,26,0
8,11,78,30,2
9,21,176,30,4
10,16,112,48,0
11,17,138,32,0
12,20,130,70,0
13,17,138,30,2
14,22,142,78,0
15,10,90,10,0
16,19,180,10,0
17,16,124,30,6
18,17,140,30,0
19,14,80,60,0
20,15,130,20,0
21,20,128,70,2
22,12,106,10,4
23,16,110,50,0
24,15,70,80,0
25,10,70,30,0
26,16,120,40,0
27,11,96,10,4
28,21,186,20,4
29,20,166,30,4
30,9,74,16,0
31,14,100,40,0
32,19,116,74,0
33,10,72,20,8
34,11,78,30,2
35,20,160,40,0
36,19,150,40,0
37,12,78,40,2
38,21,118,90,2
39,15,120,30,0
40,18,148,30,2
41,10,64,36,0
42,12,88,30,2
43,12,80,40,0
44,16,126,30,4
45,12,80,40,0
46,16,98,60,2
47,10,70,30,0
48,10,60,40,0
49,14,110,30,0
50,10,60,40,0
