Product_Name,Product_code,Star,Material,Color,Review
LG 트롬 오브제컬렉션 워시콤보 1등급 25/15kg,FH25KA,최고예요!,정보 없음,정보 없음,2인가구라 빨래양이 그리 많지 않은데 소량으로도 돌릴 수 있다는게 좋아 미니워시가 포함된 제품으로 구매했어요! 한달동안 사용해 봤는데 아주 만족하고 있답니다! 세탁에 건조에 용량도 많아서 대량으로도 좋고 운동복 같은 건 그날그날 소량 빨래로 돌려요~
LG 트롬 오브제컬렉션 워시콤보 1등급 25/15kg,FH25KA,최고예요!,정보 없음,정보 없음,"역시 가전은 엘지입니다~
세탁도 잘되고 좋네요"
LG 트롬 오브제컬렉션 워시콤보 1등급 25/15kg,FH25KA,최고예요!,정보 없음,정보 없음,"이번에 신혼집하면서 엘지가전으로 다 맞췄습니다
타사 세탁기보다 역시 엘지세탁기가 좋은거 같습니다^^
주변에도 추천할꺼에요~"
LG 트롬 오브제컬렉션 워시콤보 1등급 25/15kg,FH25KA,최고예요!,정보 없음,정보 없음,"9월22일 구입
9월24일 오전9시 배송도착
23일 저녁5시 배송 약속잡고 미리 오신듯 했는데
약속한 시간 기다렸다 정확한 시간에 초인종^^♡
멋진 방문 신혼때 구입한 20년 쓴 세탁기 이젠 안녕
친절하고 든든한 청년 두분이 엄청큰 워시콤보 검정색
고급지고 웅장함의 위압감까지
멋진 워시콤보가 등장해^^ 놀라웠어요
기존 10키로 쓰다가25kg 기대되네요^^
두분이 큰 콤보를 뚝딱뚝딱 넘 멋지게
순삭 설치와 친절 설명까지 넘 감사합니다

지금 바로 미니워시 아들양말 돌리고
검정색 빨래 건조까지 헹굼1회 추가 까지 하니 3시간
나오네요^^
건조기 사용은 처음인데 기대됩니다
앞으로 잘 지내보자 워시콤보얌^^♡

참고로 네이버 최적가 검색 엄청해보고
2025년 모델과 베이지색 모델을 고민하다가
동일모델 색상만 다른 블랙으로 엘지전자 앱에서
라이브방송으로 구입이 세상 젤 착한 가격으로
구매하게 됬어요
카드만들어 12개월후 정산 50만원 까지 하면
2백만원에 실제 산거같아요
아주 만족 합니다~~
다음엔 김치냉장고 12개월 할부 끝나면 다시 찾아올께요^^"
LG 트롬 오브제컬렉션 워시콤보 1등급 25/15kg,FH25KA,최고예요!,정보 없음,정보 없음,"공간활용면과 콤보의 장점이 필요한 세탁실환경으로 구매했는데 이렇게 스마트하다니요..!! 일단 디자인은 두말할 필요없이 예쁩니다(사진보다 실물이 훨씬요~) 또한 심플한 조작부,세밀한 조작부 나뉜부분이 섬세한 가전,역시 엘지하며 미소짓게되네요~특히 설치해주신 기사님, 최고십니다.‘엘지명장’이 새겨진 블랙칼라 명함을 가지신 분이셧네요^^"
LG 트롬 오브제컬렉션 워시콤보 1등급 25/15kg,FH25KA,최고예요!,정보 없음,정보 없음,1등급가전환급시점에 오래된 세탁기를 바꾸기위해 모델을 찾은결과 LG 트롬 오브제컬렉션 워시콤보가 우리집 세탁실 크기에 제격이라 선택하였고 미니워시도 추가로 넣어 속옷이나 애벌빨래를 위해 함께 구매했어요. 건조기능이 있어 좋았지만 햊빛에 말리는 정도의 뽀송뽀송함에는 미치지 못하지만 잘 선택한 듯합니다. 역시 가전은 LG입니다.
LG 트롬 오브제컬렉션 워시콤보 1등급 25/15kg,FH25KA,최고예요!,정보 없음,정보 없음,"통돌이 세탁기만 사용하다가 엘지 공홈에서 방송중에 구입시
할인혜택들이 너무 좋아서 구매를 안할수가 없더라고요.
여기에 으뜸가전 할인행사까지 더해지면 정말 최대 혜택으로 일체형 세탁기에 미니워시까지 구매가능하니 이때다싶어 바로 결제했습니다.

사실 삼* 일체형세탁기 구매했다가 다용도실을 보고는 안된다고 그냥 돌아가버린 설치기사와의 안좋은 기억때문에 정말 망설였는데, 엘지 기사님 정말 최고였습니다.
이 무더위에 100킬로가 넘는 세탁기를 정말 예술적으로 딱 문 닫힐만큼 남기고 여러번의 수고로움 끝에 설치해주셨는데 얼마나 감동이었는지요. 제가 너무 힘드실까봐 문 열어놓고 산다고도했는데, 겨울에 춥다면 최대한 해보시겠다고…
정말 감사드립니다^^

건조기도 처음 사용해봐서 신세계였는데, 세탁하고 건조까지
한번에 끝나니 ㅡ 세탁된 빨래 베란다로 옮기고, 털어서 널고, 말리고는 가지고들어와서 넣기ㅡ 이 일련의 과정들이 사라지니
집안일이 얼마나 수월해졌는지 모르겠습니다.

다양한 기능들과 앱연동 등은 공부좀 하고 해보려고요.
이것까지 다 사용하면 정말이지 얼마나 더 편해지려는지요ㅎ

아무튼 좋은 기회에 더 좋은 제품까지
정말 탁월한 선택이었습니다."
LG 트롬 오브제컬렉션 워시콤보 1등급 25/15kg,FH25KA,최고예요!,정보 없음,정보 없음,진짜 높이도 딱이고 설정도 편하고 세탁도잘되서 너무좋아요
LG 트롬 오브제컬렉션 워시콤보 1등급 25/15kg,FH25KA,최고예요!,정보 없음,정보 없음,"통돌이 세탁기만 쓰다가 처음으로 드럼세탁기를 구매해봤습니다. 좁은 공간에 딱 맞구요, 가격이 워시타워보다는 좀 더 나가지만 이정도 크기에 상단에는 서랍장도 대로 사용할 수 있어서 만족합니다
안좋은 리뷰도 있던데 개인적으로는 정말 만족하고 사용합니다."
LG 트롬 오브제컬렉션 워시콤보 1등급 25/15kg,FH25KA,최고예요!,정보 없음,정보 없음,"#이벤트 참여
내년쯤 구매하려 했는데 할인에 12개월 할부까지 하니 부담없어 좋은 기회인듯 하여 구매했어요. 운동하는 사람이 생겨서 빨래가 잦아졌는데 해뜰때만 해야했던 빨래를 이제 아무때나 해도 되는게 좋아요.

화이트계열로 사고팠지만 할인혜택이 큰 블랙계열을 구매하게 되었어요. 엄마가 보시곤 묵직하니 고급스러워 보인다며 좋다고 하셨어요. 제품 성능이야 다 같고 컬러에 따른 가격차가 좀 났는데 설치때 컬러에 따라 재질이 다르냐고 여쭈니 재질은 다 같다고 하시네요. 블랙컬러는 지문이나 먼지가 눈에 잘 들어오니까 더 잘 닦아주어야 해요. 손이 더 많이 가기에 귀찮을 수 있지만 그래서 더 위생적으로 사용할 수 있어서 좋은거 같아요.

매일나오는 자잘한 빨래를 미루지 않고 하려고 미니워시가 있는 워시콤보를 선택한 것도 있는데 본체자체에 소량세탁코스도 있네요.ㅎ 그렇지만 미니워시가 높이를 딱 잡아주니까 필수인걸로. 저희집은 배수구가 세탁기앞쪽에 있어서 미니워시 여닫을때 간섭이 생기니 벽쪽으로 못붙이고 배수구에 맞춰 설치했어요.

세탁기도 통풍이 중요한데 일체형은 세탁후 건조까지 함께 되니 세탁조도 건조 된다는게 마음에 들었어요. 이전에 가스건조기 사용자였어서 건조기 사용하면 기계가 뽀숑해질 줄 알았는데 전기건조기는 그렇지가 않더군요. 건조기능만 돌려도 통을 제외한 여기저기 물기가 있어요. 에어컨도 제습기도 사용후 건조기능이 들어있던데 요 건조기 콘덴서도 공기순환시켜주는 건조기능이 들어가면 좋겠네요.

확실히 세탁기 돌리고 냅뒀다가 꺼낼때 마른빨래라니 엄청 편리하네요. 빨래 널때 갤때 먼지 많이 나는데 이미 다 털어줘서 먼지도 안나요. 빨래 개놓고 기특하다며 물기도 빼주고 닦아주며 쓰담쓰담.

소비전력도 좋아서 전기요금 걱정안하고 써도 되니 좋아요. 싱크앱에 전력사용량 나오는데 계산해보니 세탁에서 건조까지 2백원정도 나와요.
세제,유연제 고농축 쓰지마래서 기존 세제는 수동으로 사용중인데 자동투입할 세제 주문해놓고 이 또한 기대중이네요.

집안일 도대체 어디까지 해방시켜 줄텐가요.
사랑해요.엘지.

문쪽 고무패킹에 먼지가 달라 붙는건 개선이 될거라 믿어요."
LG 트롬 오브제컬렉션 워시콤보 1등급 25/15kg,FH25KA,최고예요!,정보 없음,정보 없음,"매일 땀 잔득 베인 운동복을 하루하루 빨고있는데요,
남편이 맨날 세탁기 돌린다고..ㅋㅋ 빨래쟁이라고 했었어요.
그리고 빨래가 다 되는걸 기다렸다가 널고 자려니.. 바쁜현생에서 못할일이더라고요.
새로 이사오게되어 구매하였는데 너무 좋습니다.
울코스는 울코스대로, 표준세탁은 표준세탁대로 그리고 코스를 만들수도 있어서 좋아요.
이불빨래도 두번 해보았는데 좋습니다.
매일 빨아야하는 운동복같은 가벼운 세탁은 미니워시로 돌리니 좋습니다.
설치공간이 비좁았음에도 불구하고, 기사님이 스크래치 안내고 잘 설치해주셔서 감사합니다 !"
LG 트롬 오브제컬렉션 워시콤보 1등급 25/15kg,FH25KA,최고예요!,정보 없음,정보 없음,"곧 태어날 아기의 빨래 때문에 미니워시가 꼭 필요한데 그 위에 세탁기, 건조기를 올리기에는 공간이 없어서 고민 했었거든요.. 너무 높아지기도 하고요.. 딱 원하던 제품이 나와서 가격이 다소 비싸도 구매하였고 너무 만족하며 사용하고 있습니다. 아무래도 세탁+건조로 시간이 오래 걸리 때문에 미니워시가 필수 네요"
LG 트롬 오브제컬렉션 워시콤보 1등급 25/15kg,FH25KA,최고예요!,정보 없음,정보 없음,"10년 쓰던 세탁기가 고장난 김에? 샀어요 ㅎㅎ
기존꺼 보다 엄청 조용하고 디자인도 이뻐요
최신형 제품 처음 써보는데 아주 잘한 선택 같아요"
LG 트롬 오브제컬렉션 워시콤보 1등급 25/15kg,FH25KA,최고예요!,정보 없음,정보 없음,"10년 사용하던 세탁기를 보내고 워시콤보 주문했습니다. 집 구조상 미니워시를 함께 설치하지 못하는게 아쉬웠지만 기존 16킬로 드럼 보다 소음도 적고 세턱 기눙도 훨씬 편하게 사용할 수 있었습니다.
특히 무게 감지해서 세탁(건조) 시간이 알아서 세팅되더군요."
LG 트롬 오브제컬렉션 워시콤보 1등급 25/15kg,FH25KA,최고예요!,정보 없음,정보 없음,이불세탁이 어려웠는데 25k큰세탁기로 바꾸니 세탁에 어려움 없고 또 세탁물이 들어가면 건조까지 한번에 다되니 한결 편해짐을 느끼니 너무 좋아요 제품을 잘 만들어 주셔서 감사합니다
LG 트롬 오브제컬렉션 워시콤보 1등급 25/15kg,FH25KA,최고예요!,정보 없음,정보 없음,"행사제품으로 좋은 가격에 구입했습니다
어두운 색상은 생각보다 예뻤고 소음도 크지 않습니다.
사용하던 드럼세탁기에 비해 눈에 띄게 하얗게 세탁이 되네요. 세탁+건조 시간도 기존 제품보다 1시간은 빨라진 것 같습니다.

구입할 때 가장 신경 쓰였던 것이 사이즈였는데
턱 밖으로 나온 세탁기 밑에 받침을 놓아주셔서 무사히 설치가 됐습니다. (기존 79cm -> 83cm)
탈수해 보니 흔들림 없이 잘되네요."
LG 트롬 오브제컬렉션 워시콤보 1등급 25/15kg,FH25KA,최고예요!,정보 없음,정보 없음,"엘픽쇼에서 9/11주문 후 9/13배송&설치 받았어요.

방송중 7%쿠폰, 카드할인 7%, 적립금(구매인증1만원, 300만원이상결제5만원, 후기작성5만원)까지 야무지게 챙겨서 340만원대에 구입했어요.

공홈 여기저기 할인행사가 있으니 참고하시고, 색상별로 판매가격이 다르고 가끔 할인율이 바뀌니 꼼꼼하게 검색해서 구입하세요.

처음엔 워시콤보+미니워시 세트를 구입하고 싶었는데 집 세탁실 공간이 좁고, 보일러 간섭때문에 고민하다 워시콤보 단품으로 구입했는데 만족해요.

혹시 같은 고민이신분은 세탁실 수도꼭지를 '슬림수전'으로 교체하시면 공간확보에 도움이 된다네요. (추가비용있음)

세탁시간도 비교적 짧고, 건조도 간편하고, LG ThinQ앱 설치하면 세탁 진행과정도 실시간으로 확인 가능해서 아주 편리하고 좋아요. 다만 건조기 사용으로 인해 발생하는 먼지통 청소는 조금 귀찮아요.

한간에 떠도는 '고농축액체세제는 사용이 안된다'는 소문은 '자동세제공급기능을 사용하면 그렇다'고 하네요. 세제를 수동공급하면 사용 가능해요.

세탁 헹굼 건조 동영상 첨부했으니 소음 참고하세요."
LG 트롬 오브제컬렉션 워시콤보 1등급 25/15kg,FH25KA,최고예요!,정보 없음,정보 없음,"건조기에 세탁 옮겨놓기 힘들어 구매했는데..
좋긴좋은데 조금 커서 적응하고있어요.
세탁 건조는 잘됍니다"
