Product_Name,Product_code,Star,Material,Color,Review
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,"LG건조기를 8년쯤 사용중에 노후화로 인한 고장이 나서
구입계획중에 건조기 하면 아무래도 LG가 정답이겠지라는 생각에 좀 더 용량도 올리고 기능도 좋아진 건조기를 선택하였는데, 대 만 족 이네요
소음도 줄고, 성능도 좋아지고, 기능도 다양하고"
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,요즘에 계속 비가 와서 빨래가 잘 마르지 않고 고민하다가 구입했어요. 집에 쓰고 있는 세탁기랑 같은 디자인이라서 너무 좋아요~ 가격도 괜찮고 쓰기 너무 편리해요. 이불털기하고 스팀기능 있어서 너무 좋아요. 설치도 잘 해주셔서 감사합니다~
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,디자인 색감도 마음에 들고 설치도 설명도 정말 잘해주셨어요 이불도 건조할 수 있어서 용량이 제일 마음에 들었어요!!^^
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,"디자인 아주 깔끔하고 스팀기능이있어서 좋아요
오자마자 바로 스팀리프레쉬 기능으로 이불들 돌렷어요 산뜻하고 좋네요
설치기사님들도 친절하고 안전하게 배송해줬어요"
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,"건조기 1등제품 특가로 구매했어요.
으뜸소비효율 환급신청도 해주다니 할인폭이 더 커져서 좋아요. 환급신청도 사이트내에서 직접할수있어서 참 편리했습니다.
실제받아보니 생각했던것보다 크네요.
삼성 올인원 건조 세탁 겸용쓰다가 건조가 너무 안되고 용량도 작아서 큰걸로 건조기만 구매했습니다.
역시 전자제품은 믿고쓰는 엘지입니다."
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,"1등급 만족합니다
건조시간도 빠르고 조용하고 좋습니다
도어색도 깨끗하고 이쁩니다"
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,"아이들이 넷인 집인데 빨래양이 엄청나요
매일 세네번씩 돌려대느라 특대형 건조대를 두개씩 쓰다가 도저히 안되겠어서 알아본 건조기
세상이 참 편해져서 목돈들이지 않고 새건조기를 장만하였네요 설치하자마자 열일하고 있습니다 잘쓰겠습니다"
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,"요즘날씨가 너무 습해서 빨래가 잘 마르지 않아 고민고민하다가 구입했습니다.
진작에 구입했어야 했는데 너무 고민했었던 것 같아요.
실제로 받아보니 디자인도 더 예쁘네요.
물론 성능도 만족합니다.
저희는 거실에 설치했는데 소음도 심하지 않고 괜찮아요.
고장없이 오랫동안 사용할수 있었으면 좋겠어요."
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,"일단, 건조기가 있으면, 빨래에 대한 스트레스에서 해방되며, 옷들을 더 효율적으로 관리할 수 있습니다.(가장 만족스러움)

그리고, 삼성과는 다르게 엘지는 가전제품에 스팀기능이 있는데 이 제품도 스팀 기능이 있어서 더 안심하고 제품을 사용할 수 있습니다.

마지막으로 아이를 키우는 집이라면, 무조건 건조기는 있어야 합니다. 아이를 위해서도 부모를 위해서도 필수품 입니다.

사세요~! 사~!! 이런 건 사야됩니다."
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,"남들 건조기 좋다좋다해도 필요성 그닥 못느껴서 구매할 생각1도 안하고 살았는데 친정집갔다가 건조기보고 급욕심 생겨서 바로 구매했는데 왜 다들 좋다좋다하는지 알겠어요...ㅋㅋㅋ수건..느낌이 너무 달라요..ㅋㅋ옷 수축되는거때문에 별 욕심없었는데 수축방지코스도있고 옷 손상되는것도 못느끼겠고 특히 먼지 나오는거보고 경악했네요...
요즘은 엘지전자도 로켓배송인가바요👍
기존 사용중이던 세탁기랑 깔이 너무 어긋나지만..
내년 이사갈때 세탁기 깔 맞추려구욬ㅋㅋ
설치기사님이 너무 친절하시고,
건조기하나로 빨래너는 일 하나 줄어들고 삶의질 상승입니다😁"
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,"스타일러가 있어 구매 망설었는데 설치하고보니 잘 샀다 싶어요. 디자인 색상 크기 모두 맘에듭니다.
잘 슬게요."
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,"기능도 마음에 들고, 색상 및 가격에있어서도 타사 동일 제품에 비해 우수합니다."
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,건조기의 필요성을 크게 못느꼈는데 너무 편리합니다. 시긴과 노동력이 줄어들어 만족하고 전에 엘지 일체형사용시에는 잘 안말랐는데 잘 마릅니다.
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,"디자인도 이쁘고..
건조도 빨리되서 넘좋네요^^"
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,"가전은 엘지전자
이사 가면서 lG전자 건조기 구입 최신 상품으로 디자인도 깔끔하고 성능도 엄청 좋아 보이네요. 요즘 건조기가 대세인데 잘 사용하겠습니다
once LG forever LG"
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,세탁기랑 건조기 깔맞춤으로 구매 했는데 작동 잘 되고 편하게 잘 쓰고 있어요~!! 너무 편해용~^_^
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,"주부에게 신세계를 보여준다는 건조기
큰 용량을 사길 잘했어요. 없을때는 맨날 빨래널고 정리하느라 햄들었는데 세탁기위에 올리니 정말 편하네요
여러분 강추합니다"
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,"아직 사용해보지 않았지만. 후기가 좋아 구매했어요.
설치기사님이 꼼꼼하게 설치 잘해주시고 설명도 너무 잘해 주셨습니다."
LG 트롬 오브제컬렉션 건조기 21kg 1등급,RD21ESE,최고예요!,정보 없음,정보 없음,건조기로 일상이 여유로워진다하길래 고민하다 사봤어요 동생이 건조기쓰면 일상이 틀리다고 하네요 공간이 안되서 방에설치했는데 일단 넘나 흐믓해요 ㅎㅎ
