Product_code,family_list,size_list,house_list
T875MEE111,"['1인 가구', '1인가구', '2인가족', '3인 가족', '4인 가족', '4인가족', '부모님', '신혼', '신혼부부', '아기', '아이 둘']",['4룸'],"['빌라', '아파트', '오피스텔', '주택']"
S834MEE111,"['2인 가족', '4인 가족', '4인가족', '5인가족', '부모님', '신혼', '신혼부부']",[],"['아파트', '주택']"
T875MEE011,"['5인가족', '부모님', '신혼']",[],[]
T873MEE111,"['2인 가족', '2인가족', '3인가족', '4인 가족', '부모님', '신혼', '신혼부부']","['23평', '30평', '30평대', '원룸']","['빌라', '아파트', '오피스텔', '원룸', '주택']"
M624GNN3A2,[],[],[]
M874GNN0A1,['1인 가구'],[],[]
T873MTE111,"['2인 가족', '2인가족', '3인가족', '4인 가족', '부모님', '신혼', '신혼부부']","['23평', '30평', '30평대', '원룸']","['빌라', '아파트', '오피스텔', '원룸', '주택']"
S836MEE022,"['부모님', '신혼', '아기']",['25평'],"['아파트', '주택']"
H875GBB111,"['5인가족', '부모님', '신혼', '신혼부부']","['30평', '30평대']","['아파트', '주택']"
T875MEE412,"['1인가구', '4인가족', '부모님', '신혼', '아기']",['32평'],['아파트']
H875GBB012,[],[],[]
S834MTE011,"['부모님', '신혼']",[],['오피스텔']
Q343MHHF33,"['1인 가구', '1인 가족', '1인가구', '2인 가족', '2인가족', '3인가족', '4인 가족', '4인가족', '6인 가족', '부모님', '신혼', '신혼부부', '혼자 살']","['10평', '14평', '18평', '20평', '24평', '원룸', '투룸']","['빌라', '아파트', '오피스텔', '원룸', '주택']"
D463MRR33,"['1인 가구', '1인가구', '2인 가족', '3인 가족', '3인가족', '부모님', '혼자살']","['14평', '21평', '원룸', '투룸']","['빌라', '아파트', '원룸', '주택']"
D502MEE33,"['1인 가구', '1인가구', '부모님', '신혼', '신혼부부', '혼자 살']",['11평'],"['아파트', '주택']"
Q343MEEF53,"['1인 가구', '1인가구']",['원룸'],"['아파트', '원룸']"
OC-Kit8,[],[],[]
Q343GIC183S,"['1인 가구', '1인가구', '부모님', '아기']",[],[]
A202S,"['1인가구', '3인 가족', '부모님']","['30평', '30평대']",[]
D502MEE53,"['1인가구', '부모님', '신혼', '신혼부부']",[],[]
B103S14,['혼자 살'],['원룸'],['원룸']
OC-Kit7,[],[],[]
M402ND,[],[],[]
B312W31,"['1인 가구', '1인가구', '부모님', '신혼', '신혼부부']",['원룸'],['원룸']
D312MBE31,"['1인 가구', '1인 가족', '1인가구', '3인 가족', '신혼', '신혼부부', '혼자 살']","['원룸', '투룸']","['아파트', '원룸', '주택']"
B312S31,"['1인 가구', '1인가구', '3인가족']",['원룸'],"['아파트', '원룸']"
D332MBE34,"['1인 가구', '1인가구', '2인가족', '부모님', '신혼']",['원룸'],"['아파트', '오피스텔', '원룸', '주택']"
Q342GBB153,"['1인 가구', '1인가구', '2인가족', '부모님', '신혼', '신혼부부', '혼자살']",['원룸'],"['아파트', '원룸']"
M301S31,"['1인 가구', '1인가구', '2인 가족', '부모님', '신혼', '아기', '혼자 살', '혼자살']","['11평', '20평', '20평대', '원룸', '투룸']","['빌라', '아파트', '오피스텔', '원룸', '주택']"
B502S33,"['1인 가구', '1인가구', '2인 가족', '2인가족', '4인가족', '부모님', '신혼', '신혼부부']",['투룸'],"['빌라', '아파트', '오피스텔', '주택']"
B502S53,"['1인 가구', '3인 가족', '5인가족', '부모님', '신혼', '혼자 살']",[],['아파트']
B182W13,"['1인 가구', '1인가구', '2인 가족', '부모님', '신혼', '신혼부부']","['15평', '원룸']","['아파트', '원룸', '주택']"
B053S14,[],['원룸'],['원룸']
F904ND79E,['부모님'],[],[]
J842ND79,['부모님'],[],[]
B332S34,"['1인 가구', '1인가구', '부모님']",[],[]
M876GBB231,"['3인가족', '4인 가족', '4인가족', '5인가족', '부모님', '신혼', '신혼부부', '아기']","['20평', '20평대']",['아파트']
B182DS13,"['1인 가구', '부모님']",['원룸'],"['오피스텔', '원룸']"
M616GBB0J1,"['3인가족', '신혼', '신혼부부']",['25평'],['아파트']
M626GBB032,"['1인가구', '3인가족', '부모님', '신혼', '신혼부부']",['25평'],"['아파트', '주택']"
M616MQQ0M1,"['2인가족', '3인 가족', '3인가족', '4인 가족', '부모님', '신혼', '신혼부부', '아기', '혼자 살']",[],"['빌라', '아파트', '오피스텔']"
D604MPS52,"['1인가구', '2인가족', '부모님']",['원룸'],"['원룸', '주택']"
T875MEE011U,[],[],[]
S834MEE141,['신혼'],[],[]
S836GBB142,"['부모님', '신혼', '신혼부부']",[],[]
OC-Kit6,[],[],[]
H875GBB011,"['부모님', '신혼']",[],[]
S656P003,"['4인 가족', '부모님', '신혼', '신혼부부']",[],"['아파트', '주택']"
S656MQQ143,"['2인 가족', '신혼']",['24평'],['아파트']
S836MRQ112,['부모님'],[],[]
Q342GBB133,['1인가구'],[],[]
S836GBB122,[],[],[]
D215MHH13,"['1인 가구', '1인가구', '혼자 살']",[],[]
D265MEE22,['1인 가구'],[],[]
M626GBB332S,"['2인 가족', '부모님']",['원룸'],"['아파트', '원룸']"
M626SVV032S,"['2인 가족', '3인 가족', '4인가족', '신혼', '신혼부부', '아기']",['25평'],['아파트']
M451PS53,[],[],[]
M344MB14,"['1인 가구', '1인가구', '2인 가족', '4인 가족', '부모님']","['원룸', '투룸']","['아파트', '원룸']"
S656GBB143,"['2인 가족', '신혼']",['24평'],['아파트']
M876GBB131,['신혼'],[],[]
D315MHH31,['1인 가구'],[],[]
S836MTE032,"['부모님', '신혼']",[],[]
B245W22,['1인 가구'],['투룸'],[]
