Product_code,family_list,size_list,house_list
FX25WSQ,"['1인 가구', '4인 가족', '4인가족', '5인 가족', '부모님', '신혼', '아기']",['70평'],['오피스텔']
FX24KNT,"['부모님', '신혼']",[],[]
FX25WSQX,"['부모님', '아기', '아이 둘']",[],['아파트']
F19WDLP,"['1인 가구', '1인가구', '2인 가족', '부모님', '신혼', '아기']",['원룸'],"['빌라', '아파트', '오피스텔', '원룸']"
F24VDSP,"['1인 가구', '부모님', '신혼', '아기']",[],"['아파트', '주택']"
F21VDSK,"['1인 가구', '1인가구', '4인 가족', '4인가족', '부모님', '신혼', '신혼부부', '아기']",['원룸'],"['아파트', '원룸']"
F24WDLP,"['3인가족', '5인 가족', '부모님', '신혼']",['원룸'],"['아파트', '원룸']"
F24WDWP,"['1인 가구', '4인가족', '부모님', '신혼', '아기']",[],"['아파트', '오피스텔', '주택']"
F21WDLP,"['2인가족', '3인 가족', '3인가족', '부모님', '신혼', '아기', '혼자 살']",['원룸'],"['아파트', '원룸']"
F19WDWP,"['1인가구', '4인 가족', '부모님', '신혼', '혼자살']",[],['아파트']
F24VDLP,"['1인가구', '4인 가족', '부모님']",[],['아파트']
F12WVA,"['1인 가구', '1인가구', '2인가족', '부모님', '신혼', '신혼부부', '아기', '혼자 살']",['25평'],"['아파트', '오피스텔', '주택']"
FG21EN,"['1인가구', '4인 가족', '부모님', '신혼']",[],['아파트']
FG21KN,"['1인 가구', '1인가구', '부모님', '신혼', '신혼부부']",['25평'],"['아파트', '오피스텔', '주택']"
F17CTP,['부모님'],[],[]
F17HTP,['1인가구'],[],['아파트']
F9WTB,"['1인 가구', '1인가구', '부모님', '신혼']",['원룸'],"['아파트', '오피스텔', '원룸']"
F9WTBQ,['1인가구'],"['원룸', '투룸']","['빌라', '오피스텔', '원룸']"
FG19EN,"['1인가구', '부모님', '아기']",[],['아파트']
FG24KN,"['1인가구', '4인가족', '5인가족', '부모님', '신혼', '아기']",[],['아파트']
FY9WT,"['1인 가구', '1인 가족', '1인가구', '아기']",['원룸'],"['아파트', '오피스텔', '원룸']"
FX25ENR,[],[],[]
FG24EN,"['1인 가구', '부모님', '신혼']",[],[]
FG19VN,['신혼'],[],[]
F9WTQ,"['1인가구', '2인 가족', '신혼', '신혼부부']",['원룸'],['원룸']
FX25EAR,"['4인가족', '부모님', '신혼', '아기']",['25평'],['아파트']
FX25ESR,[],[],[]
FG21WN,['부모님'],[],[]
FY9WTB,['1인 가구'],['원룸'],['원룸']
FG21GN,"['3인가족', '부모님', '아기']",[],[]
FG19WN,[],[],[]
FG21VN,[],[],[]
FX25GNR,[],[],[]
FG19GN,[],[],['아파트']
FX25GSR,[],[],[]
FX25GAR,"['4인 가족', '부모님', '신혼']",[],[]
FX25WSR,[],[],[]
FX25ESER,['신혼'],[],[]
FX25KSR,"['부모님', '신혼']",[],['아파트']
FX25VSR,['5인가족'],[],[]
T19MX8A,"['3인 가족', '3인가족', '부모님', '신혼', '아기']",['원룸'],"['아파트', '원룸', '주택']"
T25PX9A,"['1인 가구', '부모님', '신혼', '아기']",[],"['아파트', '주택']"
T19DX8,"['부모님', '신혼']",[],"['아파트', '주택']"
T19MX8B,"['부모님', '신혼']",['원룸'],"['아파트', '원룸']"
T17DX3A,"['1인가구', '3인가족', '부모님']",['원룸'],"['아파트', '원룸']"
T17MX3,"['1인가족', '3인 가족', '4인가족', '부모님', '아기']",[],['아파트']
T21MX9A,"['1인 가구', '2인 가족', '부모님', '혼자 살']",[],['주택']
T17WX3,"['1인 가구', '1인가구', '4인가족', '부모님', '신혼', '신혼부부', '혼자살']","['22평', '원룸']","['빌라', '아파트', '원룸', '주택']"
T21MX9B,"['5인 가족', '5인가족', '부모님', '신혼']",[],['아파트']
T19DX7,"['1인 가구', '4인가족', '부모님']",[],['주택']
T23PX9,['부모님'],[],['아파트']
T23PX9A,"['2인가족', '4인 가족', '4인가족', '부모님']",[],['아파트']
T18MX7A,"['1인가구', '부모님', '신혼', '아기']",[],['아파트']
T18MX7,"['1인 가구', '부모님']",[],['아파트']
T19MX7,"['4인 가족', '부모님', '아기']",[],['아파트']
T19MX7A,"['1인 가구', '4인가족', '부모님']",[],['주택']
F8VV,"['1인 가구', '1인가구', '4인 가족', '아기']",['원룸'],"['아파트', '원룸']"
T18WX7,"['1인 가구', '1인가구', '부모님', '신혼', '신혼부부']",[],['아파트']
FX4WC,"['1인가구', '2인가족', '5인가족', '부모님', '아기']","['70평', '원룸']","['아파트', '원룸']"
FX4GC,"['1인 가구', '1인가구', '2인 가족', '2인가족', '4인가족', '부모님', '신혼', '신혼부부', '아기', '혼자살']",[],"['아파트', '주택']"
FP7G,"['부모님', '아기']",[],['아파트']
TR15WV5,"['1인 가구', '1인가구', '4인가족', '부모님', '신혼']",['원룸'],"['아파트', '원룸', '주택']"
FX24ENE,"['부모님', '신혼', '아기']",['원룸'],"['아파트', '원룸']"
TR12HN,"['1인 가구', '1인가구', '3인가족', '4인가족', '부모님', '아기', '혼자 살']","['17평', '원룸', '투룸']","['아파트', '원룸']"
F17NTP,"['2인 가족', '부모님']",[],[]
TA25GZ9,"['1인 가족', '1인가구', '부모님', '신혼', '아기']",[],['아파트']
TR13ML2,"['1인 가구', '1인가구', '부모님', '혼자 살']","['16평', '원룸']","['아파트', '원룸', '주택']"
T21GZ9,['부모님'],[],[]
TR16MV6,"['1인가구', '부모님', '혼자살']",['원룸'],"['빌라', '원룸']"
FX24GNG,"['신혼', '신혼부부', '아기']",[],['아파트']
TA21PZ9,[],[],[]
TR15MV5,['부모님'],[],['아파트']
FX25TF,[],[],[]
TR16DV6,"['1인가구', '부모님', '혼자살']",['원룸'],"['빌라', '원룸']"
TR10WL,"['1인 가구', '1인가구', '4인 가족']",['원룸'],['원룸']
FX25EFE,['부모님'],[],[]
FX25AF,[],[],[]
FX23KN,[],[],['아파트']
FX24KNTX,[],[],[]
T21EZ9,['부모님'],[],[]
F17ITP,['신혼'],[],[]
FX24ENE-KE,[],[],['아파트']
T23OZ9,[],[],[]
TR12WL,"['부모님', '혼자 살']",[],[]
FX25GFG,[],[],[]
FX24WS,['신혼'],[],[]
TR16WV6,"['1인가구', '부모님', '혼자살']",['원룸'],"['빌라', '원룸']"
TR10BL,"['1인가구', '부모님']",[],[]
TR12BL,['1인 가구'],[],[]
FX25VF,[],[],[]
FX25WSQ-KW,[],[],[]
FX25KF,[],[],[]
FX25IF,[],[],[]
FX24WS-KW,"['4인가족', '부모님']",[],[]
FX23ENE,[],[],[]
FX23VN,['신혼'],[],[]
FX24VS,[],[],[]
FX24WN,[],[],[]
FX23WNA,[],[],[]
FX23GNG,['신혼'],[],[]
FX24GNG-KG,[],[],[]
FX24VS-KV,[],[],[]
FX23WNA-KW,[],[],[]
FX24WN-KW,[],[],[]
FX23GNG-KG,[],[],[]
FX23KN-KK,[],[],[]
FX23ENE-KE,[],[],[]
FX24KNT-KK,[],[],[]
FX23ENEX,[],[],[]
FG24GNX,[],[],[]
FX25ESRX,[],[],[]
FX25GSRX,[],[],[]
FG24ENF,[],[],[]
FG24ENX,[],[],[]
FG24KNX,[],[],[]
FG24VNSX,[],[],[]
FG24GNF,[],[],[]
F24WDLP-9WW,"['4인가족', '부모님', '신혼']",['32평'],['아파트']
F24WDWP-9WL,"['부모님', '신혼']",[],['아파트']
F21WDLP-9WW,[],[],[]
RG8WN-T7WX3,[],[],[]
RG9WN-T7WX3,[],[],[]
KG21KN-8WNW,"['1인 가구', '1인가구', '3인가족', '4인 가족', '부모님', '신혼']",['25평'],"['아파트', '주택']"
KX4ENE-1ESE,"['2인 가족', '신혼', '아기']",['원룸'],['원룸']
KX25WS-22WS,"['부모님', '신혼']",[],['아파트']
KX4GNG-1ESE,['신혼'],['원룸'],"['아파트', '원룸']"
KX24KN-20KN,"['5인가족', '부모님', '신혼']",[],[]
KFG21VN-9VN,[],[],[]
FX24ENE-GNG,[],[],[]
KX4ENE-2GS,[],[],[]
