제품군,항목명,설명
식기세척기,린스 세제 보충 알림,린스통에 린스가 30% 이하로 남아있을 때 린스 보충 아이콘이 깜빡입니다.
식기세척기,소금 보충 알림,연수 장치에 들어 있는 소금이 떨어졌다는 알림입니다.
식기세척기,접힘 범위 (하단 바스켓),접고 펼 수 있는 식기 꽂이를 적용하여 큰 냄비와 다양한 접시를 쉽게 수납할 수 있습니다. 접힘 가능 범위에 따라 수납의 활용도가 늘어납니다
식기세척기,접힘 범위 (상단 바스켓),접시 거치대(식기꽂이)를 아래로 눕히거나 위로 세워 식기를 넣을 수 있는 공간 확보가 가능합니다. 또한 식기의 크기에 따라 접시 거치대(식기꽂이)를 조절할 수 있습니다. 접힘 가능 범위에 따라 수납의 활용도가 늘어납니다
식기세척기,높낮이 조절,3단까지 높이를 조절하여 높은 용기도 한번에 적재가 가능합니다.
식기세척기,핸들/데코 (하단 바스켓),바스켓을 밀고 당기는 손잡이 부분을 의미합니다.
식기세척기,핸들/데코 (상단 바스켓),바스켓을 밀고 당기는 손잡이 부분을 의미합니다.
식기세척기,바스켓(선반) Grade,식기세척기 내부 바스켓의 접힘 범위 및 내구성에 따라 달라집니다. 높은 등급의 바스켓일수록 내부 공간을 효율적으로 활용할 수 있습니다.
식기세척기,프라이팬 선반 (사이드랙),프라이팬을 바닥에 눕히지 않고 거치대에 두어 조리 도구를 적재할 공간을 늘릴 수 있습니다. * 지름이 약 30cm인 프라이팬을 수납할 때에는 상단 노즐에 닿지 않는지 반드시 확인해 주세요. (일부 모델에 한함)
식기세척기,자동,세척 시간과 온도를 자동으로 조절합니다.
식기세척기,강력,표준 코스 대비 더 높은 온도로 긴 시간 동안 세척합니다.
식기세척기,다운로드,LG ThinQ 앱을 통해 제품에 코스를 다운로드 합니다.
식기세척기,스팀,"세균, 유해물질, 알레르기 유발물질 등을 고온의 스팀으로 살균 및 제거해 주는 기능입니다."
식기세척기,예약,선택한 세척 코스에 대해 예약 시간을 설정합니다.
식기세척기,버튼 잠금,제어창 버튼 잠금 기능을 켜거나 해제할 수 있습니다.
식기세척기,취소,작동 중인 세척 코스를 취소할 수 있습니다
식기세척기,열풍건조,자동 문 열림 후 뜨거운 열풍으로 물기를 빠르게 날려 뽀송하게 건조합니다.
식기세척기,건조단독,"건조만 필요할 때에는 건조 단독 코스를 사용하여 세척없이 뽀송한 건조가 가능합니다.

*건조 단독 코스 선택 후, 열풍건조 시간 선택 및 실행
*건조 단독 코스 시간 : 40/ 60/ 90분"
식기세척기,일시정지,일시정지 버튼을 누르면 작동이 멈춰 빠뜨린 설거짓거리를 물이 튈 걱정 없이 추가할 수 있습니다.
식기세척기,살균,세척 및 헹굼 시 물의 온도를 최대 80℃까지 높여 세척합니다.
식기세척기,"원격진단, 원격모니터링","제품 사용 패턴에 따른 올바른 사용 방법 및 유용한 정보를 제공하고, 진단 결과에 따라 간편하게 해결할 수 있도록 해결 방법을 안내합니다."
