제품군,URL,제품명,모델명,상태,정가,판매가,최대혜택가,구매혜택안내,6년구독가격,최대혜택구독가격,평점,이미지리스트,본체 모델명,도어 패널 모델명,전체용량 (L),무게 (kg),"전체크기 (WxHxD, mm)",색상,디스플레이,핸들,좌/우 가변도어,도어스타일/재질,컴프레서,페어설치키트,스마트진단,Wi-Fi,문열림 각도,초기온도 (냉동),냉각방식,특급냉동,아이스메이커,내부조명,전기용품 안전인증번호,전자파 적합성 인증번호,정격전압 (V/Hz),동일모델의 출시년월,제조자 (수입자),제조국,품질보증기준,A/S 책임자와 전화번호,타입,설치타입,도어 개수,전체 용량 (L),"제품 크기 (WxHxD, mm)",메탈 프레쉬,원터치탈취기능,정온기능,탈취,히든버튼,매직스페이스,도어쿨링⁺,스마트 진단,ThinQ (Wi-Fi),UP 가전,강화유리 선반,냉동 전환기능,익힘,쿨링 케어,쿨링센서,인공지능 맞춤보관,김치통 개수,냉기지킴가드,원격제어,구입 김치,칸칸 On/Off,오래 보관,New 유산균김치⁺,유산균 인디케이터,김치 보관/익힘기능,냉장 전환기능,쌀/잡곡 보관,야채/과일,육류/생선,멀티 보관실,신선 보관실,유산균가드,김치 용기 구성,KC 인증 필 유무,KC인증조회,전기용품 안전인증(확인신고) 번호,전자파 적합성 인증(등록) 번호,에너지 소비효율등급,소비전력 (kWh/월),냉동 용량 (L),온도조절범위,메탈 디자인,소음 (dB),냉장 용량 (L),초기온도 (냉장),특급냉장,와인랙,UV청정탈취필터+,신선야채실,신선보관야채실⁺,계란통,디스펜서,구성품 (오브제 컬렉션 페어설치키트),냉장,에너지소비효율등급 / 소비전력 (kWh/월),도어쿨링,야채실,청정탈취필터+,선반,선반(냉장실),온도구간 (냉동/냉장고),절전모드,멀티덕트,트레이,맛지킴 김치,인공지능 맞춤 보관,김치,냉동,김치통,김치통 뚜껑
컨버터블 패키,https://www.lge.co.kr/convertible-refrigerators/y321gb3s,"LG 컨버터블 패키지 오브제컬렉션(냉동전용고, 좌열림)321L",Y321GB3S,판매중,"1,505,000원","1,500,000원","1,302,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/convertible-refrigerators/md09117834/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md08750138/gallery/Y320SGS.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09117834/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09117834/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09117834/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09117834/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09117834/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09117834/gallery/small06.jpg']",Y321AA3,B320TT-GBE,321,87,"595 x 1,860 x 670",오브제컬렉션 베이지,Top Display,NEW 이지핸들,O,미스트 (글라스),인버터 컴프레서,적용가능,O,O,108° (냉장칸 기준),-19 ℃,간냉식,O,O (트위스트),면광 LED (냉동실),SM07005-20016,R-R-LGE-Y320MM2007,220V / 60Hz,2021-11,LG전자(주),중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
컨버터블 패키,https://www.lge.co.kr/convertible-refrigerators/z323mef,LG 컨버터블 패키지 오브제컬렉션(김치전용고)324L1등급,Z323MEF,판매중,"1,450,000원","1,000,000원","902,100원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 29,900 원","월 3,900원",4.9,"['https://www.lge.co.kr/kr/images/convertible-refrigerators/md10069873/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10069873/gallery/Z323MEF.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10069873/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10069873/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10069873/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10069873/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10069873/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10069873/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10069873/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10069873/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10069873/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10069873/gallery/small10.jpg']",,,,83,,오브제컬렉션 베이지,,이지핸들,O,메탈,인버터 컴프레서,적용가능,,,108˚ (냉장칸 기준),,멀티냉각방식,,,Top,,,220V / 60Hz,2023-11,LG전자(주),중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,컨버터블 패키지 (김치전용고),빌트인 타입,1도어,324,"595 x 1,860 x 707",X,X,O(신선정온),O,X,X,X,O,O,X,5,O,전칸,O,O,○ (보관전용),8,4개,X,X,X,X,X,X,O,X,X,X,X,X,O,X,10.2ℓ X 8,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU071625-23003,R-R-LGE-Z323MEF2310,1등급,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
컨버터블 패키,https://www.lge.co.kr/convertible-refrigerators/y323mef,LG 컨버터블 패키지 오브제컬렉션(냉동전용고)321L,Y323MEF,판매중,"1,150,000원","1,050,000원","948,600원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214827/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214827/gallery/Y323MEF.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214827/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214827/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214827/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214827/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214827/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214827/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214827/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214827/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214827/gallery/small09.jpg']",,,,74,,오브제컬렉션 베이지,고내 Top 디스플레이,이지핸들,O,메탈,인버터 컴프레서,적용가능,,,108˚ (냉장칸 기준),-19 ℃,멀티냉각방식,O,트위스트 아이스 메이커,Top,,,220V / 60Hz,2023-08,LG전자(주),중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,컨버터블 패키지 (냉동전용고),빌트인 타입,1도어,321,"595 x 1,860 x 707",,,,,,,,O,O,X,,,,,,,,,,,,,,,,,,,,,,,,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SU071625-22001,R-R-LGE-Y320MM2007,해당없음,,321,-15℃~-23℃,X,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
컨버터블 패키,https://www.lge.co.kr/convertible-refrigerators/x323mef,LG 컨버터블 패키지 오브제컬렉션(냉장전용고)384L1등급,X323MEF,판매중,"1,050,000원","960,000원","864,900원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214826/gallery/X323MEF.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214826/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214826/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214826/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214826/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214826/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214826/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md10214826/gallery/small10.jpg']",,,,71,,오브제컬렉션 베이지,고내 Top 디스플레이,이지핸들,O,메탈,인버터 컴프레서,적용가능,,,108˚ (냉장칸 기준),,간냉식,,,Top,,,220V / 60Hz,2023-08,LG전자(주),중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,컨버터블 패키지 (냉장전용고),빌트인 타입,1도어,384,"595 x 1,860 x 707",,,O,O,,,O,O,O,X,,,,,,,,,,,,,,,,,,,,,,,,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-20015,R-R-LGE-X320MM2007,1등급,15.5,,1℃~7℃,X,38,384,3 ℃,O,X,X,O (1),O,O,X,,,,,,,,,,,,,,,,,,
컨버터블 패키,https://www.lge.co.kr/convertible-refrigerators/oc-kit8,오브제컬렉션 Fit & Max 냉장고 페어설치키트,OC-Kit8,판매중,"111,000원","100,000원","100,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,,"['https://www.lge.co.kr/kr/images/refrigerators/md10540851/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/refrigerators/md10540851/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/refrigerators/md10540852/gallery/small03.jpg']",,,,2.6,,,,,,,,,,,,,,,,,,,,,(주)서브원,,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,페어설치키트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"페어설치 브라켓, 스크류, 데코케이스, 실링폼, 스페이서, 패드",,,,,,,,,,,,,,,,,
컨버터블 패키,https://www.lge.co.kr/convertible-refrigerators/oc-kit7,오브제컬렉션 Fit & Max 냉장고 페어설치키트,OC-Kit7,판매중,"111,000원","100,000원","100,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,,"['https://www.lge.co.kr/kr/images/refrigerators/md10540851/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/refrigerators/md10540851/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/refrigerators/md10540852/gallery/small03.jpg']",,,,3.14,,,,,,,,,,,,,,,,,,,,,(주)서브원,,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,페어설치키트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"페어설치 브라켓, 스크류, 데코케이스, 실링폼, 스페이서, 패드",,,,,,,,,,,,,,,,,
컨버터블 패키,https://www.lge.co.kr/convertible-refrigerators/x322gb8,"LG 컨버터블 패키지 오브제컬렉션(냉장전용고, 좌열림)386L1등급",X322GB8,판매중,"1,650,000원","1,000,000원","902,100원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/convertible-refrigerators/md09440826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09440826/gallery/X322GB8.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09440826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09440826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09440826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09440826/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09440826/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09440826/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09440826/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09440826/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09440826/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09440826/gallery/small10.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09440826/gallery/small11.jpg']",,,386 ℓ,87,"595 x 1,860 x 670",오브제컬렉션 베이지,고내 Top 디스플레이,포켓 핸들 & 오토 도어,O,미스트 (글라스),인버터 컴프레서,적용가능,O,O,108°,,멀티냉각방식,,,면광 LED (냉장실),,,220V / 60Hz,22년 08월,LG전자(주),중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,,O,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-X322GB82206 (전자파 적합등록)SU071625-22003 (전기용품 안전확인),공정거래위원회(소비자24)제공 인증정보 조회,,,,,,,,,,3 ℃,O,,,,,,,,386 ℓ,1등급 13.5 kWh/월,O 도어쿨링+,신선보관야채실,O,"강화유리, 접이선반, 다용도박스(와인랙 일체형)",,,,,,,,,,,
컨버터블 패키,https://www.lge.co.kr/convertible-refrigerators/r321s,LG 컨버터블 패키지(냉장전용고)384L1등급,R321S,판매중,"1,000,000원","910,000원","818,400원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 23,900 원",월 0원,5.0,"['https://www.lge.co.kr/kr/images/convertible-refrigerators/md09091867/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09091867/gallery/R321S.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09091867/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09091867/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09091867/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09091867/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09091867/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09091867/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09091867/gallery/small07.jpg']",,,384,71,"595 x 1,860 x 670 (핸들 제외)",샤인,외부 LED,NEW 이지핸들,,,인버터 컴프레서,적용불가,O,O,108° (냉장칸 기준),,멀티냉각방식,,,LED (냉장실),,,220V / 60Hz,2021-12,LG전자(주),중국,결함•하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-R320S2103 (전자파 적합등록)SM07005-20015 (전기용품 안전확인),공정거래위원회(소비자24)제공 인증정보 조회,,,,,,,,,,3 ℃,O,,,,,,,,,1등급 / 15.5,O 도어쿨링+,O 신선보관야채실+,,,강화유리,,,,,,,,,,
컨버터블 패키,https://www.lge.co.kr/convertible-refrigerators/a320s,LG 컨버터블 패키지(냉동전용고)321L,A320S,판매중,"1,100,000원","1,030,000원","930,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 25,900 원",월 0원,4.9,"['https://www.lge.co.kr/kr/images/convertible-refrigerators/md09034831/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09034831/gallery/A320S.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09034831/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09034831/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09034831/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09034831/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09034831/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09034831/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09034831/gallery/small07.jpg']",,,321,74 kg,"595 x 1,860 x 670 (핸들 제외)",샤인,외부 LED,NEW 이지핸들,O,,인버터 컴프레서,,O,O,108° (냉장칸 기준),-19 ℃,간냉식,O,트위스트 아이스메이커,면광 LED (냉동실),,,220V / 60Hz,21년 02월,LG전자(주),중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-A320S2009 (전자파 적합등록)SM07005-20016A (전기용품 안전확인),공정거래위원회(소비자24)제공 인증정보 조회,,,,,,,,,,,,,,,,,,,,,,,,,,-15 ~ -23 ℃,O,,,,,,,,
컨버터블 패키,https://www.lge.co.kr/convertible-refrigerators/y321ss3s,"LG 컨버터블 패키지 오브제컬렉션(냉동전용고, 좌열림)321L",Y321SS3S,판매중,"1,655,000원","1,650,000원","1,441,500원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/convertible-refrigerators/md09117833/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md08750138/gallery/Y320SGS.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09120845/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09120845/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09120845/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09117833/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09117833/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/convertible-refrigerators/md09117833/gallery/small06.jpg']",Y321AA3,B320TT-SSV,321,84,"595 x 1,860 x 670",오브제컬렉션 실버,Top Display,NEW 이지핸들,O,스테인리스,인버터 컴프레서,적용가능,O,O,108° (냉장칸 기준),-19 ℃,간냉식,O,O (트위스트),면광 LED (냉동실),SM07005-20016,R-R-LGE-Y320MM2007,220V / 60Hz,2021-11,LG전자(주),중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
