Product_code,family_list,size_list,house_list
Z330MRRF21,"['2인가족', '부모님', '신혼', '신혼부부']",[],[]
Z330MEEF11,"['1인가구', '2인가족', '3인가족', '4인가족', '부모님', '신혼']","['28평', '3룸']","['빌라', '아파트', '오피스텔', '주택']"
OC-Kit8,[],[],[]
OC-Kit7,[],[],[]
K220S111,['부모님'],[],[]
Z334GBB171,"['1인가구', '3인가족', '4인가족', '부모님', '신혼', '신혼부부', '아기']","['25평', '30평']",['아파트']
K225MB131,[],[],[]
Z490MMMF11,"['부모님', '신혼']",[],[]
Z495GBB261,"['1인가구', '3인 가족', '부모님']",[],['아파트']
Z495GBB271,"['부모님', '신혼']",[],[]
Z225MEE151,[],[],[]
Z484GBB172,"['1인 가구', '5인가족', '부모님', '신혼']",[],"['아파트', '주택']"
Z135MEE123,"['부모님', '신혼', '신혼부부']",[],[]
K135LW123,[],[],[]
Z495SVV271,"['부모님', '신혼']",[],[]
Z334SVV171S,"['1인가구', '3인가족', '4인가족', '부모님', '신혼', '신혼부부', '아기']","['25평', '30평']",['아파트']
Z403MEEF53,"['1인 가구', '1인가구', '2인가족', '4인가족', '부모님', '신혼', '아기']","['34평', '4룸']","['빌라', '아파트']"
Z509MPSF13,['부모님'],[],[]
Z484GBB123S,[],[],[]
Z334MQQ171S,"['1인가구', '3인가족', '4인가족', '부모님', '신혼', '신혼부부', '아기']","['25평', '30평']",['아파트']
K225LW121,['부모님'],[],[]
Z509MEEF33,"['부모님', '신혼']",[],['아파트']
Z334GBB151,['신혼'],[],['아파트']
Z484MQQ123S,[],[],[]
Z495SKV261,"['1인가구', '3인 가족', '부모님']",[],['아파트']
Z495GQA212,[],[],[]
Z509MHHF23,[],[],[]
Z408MEEF23,"['1인 가구', '1인가구', '2인 가족', '4인 가족', '부모님', '신혼', '아기']","['1.5룸', '원룸']","['아파트', '오피스텔', '원룸', '주택']"
Z495MQQ271,"['부모님', '신혼']",[],[]
Z495MQQ261,"['1인가구', '3인 가족', '부모님']",[],['아파트']
Z334GBB122,[],[],[]
Z408MPSF13,['부모님'],[],[]
Z225MEE152,[],[],[]
Z490MPSF12,[],[],[]
Z484SVV172S,"['1인 가구', '5인가족', '부모님', '신혼']",[],"['아파트', '주택']"
Z334MQQ122S,"['부모님', '신혼']",[],['아파트']
Z495MQQ212,[],[],[]
Z484MQQ172S,"['1인 가구', '5인가족', '부모님', '신혼']",[],"['아파트', '주택']"
Z334SGS171,"['1인가구', '3인가족', '4인가족', '부모님', '신혼', '신혼부부', '아기']","['25평', '30평']",['아파트']
Z484GBB123,[],[],[]
Z334MRR101,[],[],[]
Z334MQQ172S,"['3인가족', '부모님', '신혼']",[],[]
Z334GQQ171,[],[],[]
Z334MQQ172,[],[],[]
Z495GQG212,[],[],[]
Z334SVV151S,[],[],[]
Z334SVV122S,"['부모님', '신혼']",[],['아파트']
Z484GBB173,[],[],[]
Z334SGS122S,"['부모님', '신혼']",[],['아파트']
Z334SVV172S,"['3인가족', '부모님', '신혼']",[],[]
Z484SGS123S,[],[],[]
Z484SVV123S,[],[],[]
Z334GBB122S,"['부모님', '신혼']",[],['아파트']
Z334SGS151S,[],[],[]
Z334SGS172S,"['3인가족', '부모님', '신혼']",[],[]
Z334GBC172S,"['3인가족', '부모님', '신혼']",[],[]
R937GBB037,['2인가족'],[],['아파트']
R1093GBB037,[],[],"['아파트', '주택']"
R1081GBB057,[],[],[]
R925GBB057,[],[],[]
R937GBB022,[],[],[]
R1093GBB035,[],[],['아파트']
R1081GBB357,[],[],[]
R925GBB357,[],[],[]
R937GBB337,[],[],['아파트']
R1093GBB337,[],[],['아파트']
R1081SVV057,[],[],[]
R1081SVV357,[],[],[]
R1093GGA037,[],[],[]
R1081GGA357,[],[],[]
R1081GAG357,[],[],[]
R1081GGA057,[],[],[]
R1081GAG057,[],[],[]
R1093GGA337,[],[],[]
R1093GAG337,[],[],[]
R1093GAG037,[],[],[]
R1093GBB022,[],[],[]
R1093GGA022,[],[],[]
R1093GAG022,[],[],[]
R937GGA022,[],[],[]
R1081GBB055,[],[],[]
Z334GBB172,[],[],[]
Z484MNR153S,['신혼'],[],[]
Z484GBB153,[],[],[]
Z494MRR151S,[],[],[]
Z494GCB151S,[],[],[]
OC-Kit6,[],[],[]
Z484SGS172S,"['1인 가구', '5인가족', '부모님', '신혼']",[],"['아파트', '주택']"
Z484AAA123,"['4인가족', '신혼']",[],['아파트']
Z484AAA153,['신혼'],[],[]
Z334AAA172,['신혼'],[],[]
Z334AAA122,"['3인가족', '5인가족', '신혼', '신혼부부']",[],['아파트']
Z484AAA172,[],[],[]
Z334AAA171,"['1인가구', '신혼', '신혼부부']",[],['아파트']
R984GBB012,"['2인가족', '신혼']",[],['아파트']
