Product_code,family_list,size_list,house_list
86QNED70TEA,"['부모님', '신혼', '신혼부부', '아기']","['20평', '20평대', '24평', '25평', '28평', '29평', '30평', '30평대', '31평', '32평', '33평', '34평', '35평', '36평', '37평', '38평', '40평', '40평대', '44평', '45평']",['아파트']
32LQ635BCNA,['부모님'],[],[]
32LQ635BENA,"['1인 가구', '1인가구', '1인가족', '부모님']","['20평', '20평대', '원룸']",['원룸']
32LQ635BKNA,['부모님'],['원룸'],['원룸']
VC23GA,[],[],[]
43LM6350KNA,['부모님'],[],[]
75QNED70ABA,"['부모님', '신혼']","['24평', '26평', '30평', '30평대', '32평', '34평']",['아파트']
65NANO80AEA,"['부모님', '신혼']","['20평', '20평대', '21평', '24평', '25평', '29평', '30평', '30평대', '32평', '33평', '34평', '39평', '39평대', '46평']",['아파트']
50UA7500KNA,['부모님'],"['21평', '24평', '34평']",[]
75QNED65ABA,"['부모님', '신혼', '신혼부부', '아기']","['24평', '25평', '25평대', '28평', '29평', '30평', '30평대', '31평', '32평', '33평', '34평', '35평', '39평', '40평', '40평대', '45평', '48평']",['아파트']
75NANO80AEA,"['부모님', '신혼']","['20평', '20평대', '21평', '24평', '25평', '29평', '30평', '30평대', '32평', '33평', '34평', '39평', '39평대', '46평']",['아파트']
65QNED75AEA,"['부모님', '신혼', '아기']","['24평', '28평', '30평', '30평대', '32평', '33평', '34평', '41평']","['아파트', '주택']"
75UT9300BNA,"['부모님', '신혼']","['20평', '20평대', '24평', '25평', '26평', '29평', '30평', '30평대', '31평', '32평', '33평', '34평', '34평대', '35평', '38평', '39평', '85평', '원룸']","['아파트', '원룸', '주택']"
86QNED65ABA,[],[],[]
75QNED80AKA,"['신혼', '신혼부부']","['24평', '25평', '26평', '30평', '30평대', '48평']",['아파트']
65UA7500ENA,['부모님'],['20평'],[]
OLED65C4ENA,"['부모님', '신혼']","['21평', '25평', '33평', '원룸']","['아파트', '원룸']"
50UA7500ENA,['부모님'],['20평'],[]
65QNED65ABA,"['부모님', '신혼', '신혼부부', '아기']","['24평', '25평', '25평대', '28평', '29평', '30평', '30평대', '31평', '32평', '33평', '34평', '35평', '39평', '40평', '40평대', '45평', '48평']",['아파트']
43NANO80ANA,['부모님'],"['20평', '25평']",['아파트']
55UT8300ENA,"['1인가구', '부모님', '신혼', '신혼부부', '아기']","['18평', '20평', '20평대', '24평', '25평', '26평', '27평', '29평', '30평', '30평대', '32평', '33평', '33평대', '34평', '35평', '36평', '37평', '38평', '39평', '40평', '41평', '42평', '43평', '46평', '50평', '56평', '원룸']","['아파트', '원룸']"
86NANO80AEA,"['부모님', '신혼']","['20평', '20평대', '21평', '24평', '25평', '29평', '30평', '30평대', '32평', '33평', '34평', '39평', '39평대', '46평']",['아파트']
86QNED85AKA,"['부모님', '신혼']","['25평', '25평대', '34평']",['아파트']
55QNED70ABA,"['부모님', '신혼']","['24평', '26평', '30평', '30평대', '32평', '34평']",['아파트']
OLED55B5NNA,[],[],[]
OLED55B4FNA,['부모님'],"['24평', '25평', '33평', '34평']",[]
55NANO80AEA,"['부모님', '신혼']","['20평', '20평대', '21평', '24평', '25평', '29평', '30평', '30평대', '32평', '33평', '34평', '39평', '39평대', '46평']",['아파트']
75QNED85AKA,"['부모님', '신혼']","['25평', '25평대', '34평']",['아파트']
OLED65B4ENA,"['부모님', '혼자 살']","['18평', '20평', '24평', '25평', '33평']",['아파트']
OLED55C4ENA,"['부모님', '신혼']","['21평', '25평', '33평', '원룸']","['아파트', '원룸']"
OLED65B4NNA,"['부모님', '신혼']","['14평', '15평', '20평', '25평', '30평', '30평대', '원룸']","['아파트', '오피스텔', '원룸']"
OLED48C5KNA,['혼자 살'],['원룸'],['원룸']
86UT9300KNA,"['부모님', '신혼', '아기']","['23평', '24평', '30 평', '30 평대', '34평', '39평', '40평', '40평대', '47평', '60평']","['아파트', '주택']"
75QNED91TKA,[],"['18평', '24평', '32평', '33평', '34평']",['아파트']
OLED42C4ENA,"['부모님', '신혼']","['21평', '25평', '33평', '원룸']","['아파트', '원룸']"
OLED65C5SNA,[],[],[]
OLED48C4ENA,"['부모님', '신혼']","['21평', '25평', '33평', '원룸']","['아파트', '원룸']"
65UT9300KNA,"['부모님', '신혼', '아기']","['23평', '24평', '30 평', '30 평대', '34평', '39평', '40평', '40평대', '47평', '60평']","['아파트', '주택']"
65QNED85AKS,[],[],[]
