Product_code,family_list,size_list,house_list
AS235DWSA,"['신혼', '아기']","['30평', '30평대']",['아파트']
AS355NSNA,"['부모님', '신혼', '아기']","['24평', '30평', '30평대', '32평', '34평', '35평', '39평', '48평']",['아파트']
AS355NSNAM,"['부모님', '신혼', '아기']","['20평', '20평대', '33평', '34평', '35평']","['아파트', '오피스텔']"
AS205NSJA,"['신혼', '아기']",['25평'],['아파트']
AS305DWWL,"['부모님', '신혼', '신혼부부', '아기']","['100㎡', '30평', '30평대', '32평', '33평', '34평', '45평']",['아파트']
AS305DWWLM,"['부모님', '신혼', '아기']","['100㎡', '15평', '20평', '20평대', '25평', '26평', '2룸', '30평', '30평대', '32평', '33평']","['아파트', '주택']"
AS183HWFS,"['신혼', '신혼부부', '아기']","['15평', '18평', '20평', '21평', '24평', '25평', '34평', '62㎡', '원룸']","['아파트', '오피스텔', '원룸']"
AS153HWWC,"['1인 가구', '부모님', '신혼', '아기']","['10평', '15평', '32평', '원룸']","['아파트', '오피스텔', '원룸']"
AS155GWDL,"['부모님', '신혼', '아기']","['15평', '20평', '20평대', '24평', '24평대', '25평', '원룸']","['아파트', '오피스텔', '원룸']"
AS183HWWA,"['부모님', '신혼', '아기']","['10평', '15평', '17평', '18평', '18평대', '20평', '20평대', '21평', '24평', '29평', '원룸']","['빌라', '아파트', '원룸']"
FS065PSKA,"['부모님', '신혼', '아기']",['25평'],['아파트']
AS153HWFS,"['부모님', '아기']","['18평', '원룸']","['아파트', '원룸']"
AS355NSEL,['아기'],[],[]
AS065PWHA,['부모님'],['원룸'],['원룸']
AS355NSELM,"['부모님', '아기']",['34평'],['아파트']
AS205NSJAM,"['신혼', '신혼부부', '아기']","['원룸', '투룸']",['원룸']
AS065CWHA,['신혼'],['원룸'],['원룸']
AS335NSAC,['아기'],[],[]
AS185DWWD,"['부모님', '신혼', '아기']",['34평'],[]
AS065SWHA,[],[],[]
AS195DWWAM,"['신혼', '아기']",[],[]
AS305DWWA,['아기'],"['30 평', '30 평대']",[]
AS305DWWAM,['아기'],"['30 평', '30평', '30평대']",['아파트']
AS285DWWC,['아기'],"['30평', '30평대', '39평']",[]
AS185LSAA,[],[],[]
FS065PSJC,[],[],[]
AS195DWWA,"['신혼', '아기']",[],[]
AS335NGACM,[],[],[]
AS285DWWA,[],"['28평', '30평', '34평']",[]
AS285DWWD,[],[],[]
AS285DWWAM,[],[],[]
AS405BWRP,[],[],[]
AS064PWBAS,[],[],[]
