Product_code,family_list,size_list,house_list
MW30BDN,"['1인 가구', '부모님']",[],[]
MLJ32HWS,"['1인 가구', '1인가구', '부모님', '신혼', '아기']",[],['아파트']
MW23FD,"['1인 가구', '1인가구', '3인가족', '4인가족', '부모님', '신혼', '신혼부부', '아기']",[],"['오피스텔', '주택']"
MLJ32ERS,"['1인 가구', '4인가족', '부모님', '신혼', '신혼부부', '아기']","['20평', '20평대', '21평', '25평']",['아파트']
MW20GDN,"['1인 가구', '1인가구', '2인 가족', '2인가족', '부모님', '신혼', '신혼부부', '혼자 살']",['원룸'],"['아파트', '오피스텔', '원룸']"
MLJ39EWO,"['부모님', '신혼']",[],['아파트']
MLJ39WW,"['부모님', '신혼', '신혼부부', '아기']",['원룸'],"['아파트', '원룸']"
MWJ23E,"['1인가구', '2인가족', '3인가족', '부모님', '신혼', '신혼부부', '아기', '혼자 살']",['원룸'],"['아파트', '오피스텔', '원룸', '주택']"
MWJ20EDN,"['1인 가구', '1인가구', '2인 가족', '2인가족', '4인가족', '부모님', '신혼', '신혼부부', '아기']",['원룸'],"['아파트', '원룸']"
MW20CDN,"['1인가구', '부모님']",[],[]
MWJ25E,"['3인 가족', '부모님', '신혼', '신혼부부']",['원룸'],['원룸']
MWJ23P,"['1인가구', '2인가족', '3인가족', '부모님', '신혼', '신혼부부', '아기', '혼자 살']",['원룸'],"['아파트', '오피스텔', '원룸', '주택']"
MW22CA,"['부모님', '신혼', '아기']",[],[]
MLJ39EW,"['1인 가구', '1인가구', '부모님', '신혼', '신혼부부', '아기']",[],['아파트']
ML39BW,['부모님'],['원룸'],['원룸']
MW25B,"['부모님', '신혼']",[],[]
MW23GD,"['부모님', '신혼', '아기', '혼자 살', '혼자살']",['원룸'],"['오피스텔', '원룸']"
MW23BD,"['1인가구', '부모님', '신혼', '아기']",[],[]
MW25S,"['3인가족', '4인가족', '부모님', '신혼']",['원룸'],['원룸']
MW23WD,"['부모님', '신혼', '신혼부부', '아기']",[],[]
MW23BP,"['부모님', '신혼']",[],"['아파트', '오피스텔']"
ML32EW1,"['1인가구', '4인가족', '부모님', '신혼', '신혼부부', '아기']",[],['아파트']
ML32WW1,"['부모님', '신혼', '아기']","['20평', '20평대']",[]
