Product_code,family_list,size_list,house_list
16MR70,['아들'],[],[]
27V70Q-GA76K,[],[],[]
A80LV.AA4501,[],[],[]
Z80LV.AA4331,[],[],[]
Z80LV.AA4531,[],[],[]
Z80LV.AD4731,[],[],[]
B80LV.AD4701,[],[],[]
B80LV.AA4331,[],[],[]
B80LV.AA4531,[],[],[]
B80LV.AD4731,[],[],[]
10A30Q-LQ12ML,"['아기', '아들']",[],[]
24V70Q-GA76K,[],[],[]
17MT70,[],[],[]
27V70T-GA56K,['부모님'],[],[]
24V70T-GA56K,[],[],[]
B80LV.AA4511,[],[],[]
Z80LV.AA4501,[],[],[]
Z90MV.AA4501,[],[],[]
Z90MV.AA45BBE,[],[],[]
B90MV.AD47BBE,[],[],[]
24V70Q-GR51K,['부모님'],[],[]
27V70T-GR50K,[],[],[]
B90MV.AA4501,[],[],[]
B90MV.AA45BBE,[],[],[]
B81LV.AX4509,[],[],[]
B81LV.AX3509,[],[],[]
B81KV.AX3509,[],[],[]
10A30Q-LQ24KN,[],[],[]
B80LV.AP45ALE,[],[],[]
Z80LV.AP45ALE,[],[],[]
