Product_code,family_list,size_list,house_list
24GS50F,[],[],[]
32MR50C,[],[],[]
27UP850K,[],[],[]
32UP830K,[],[],[]
32U889SAW,"['신혼', '신혼부부']",['원룸'],['원룸']
24MR400W,[],[],[]
27G411A,[],[],[]
STA33P,[],[],[]
32GS95UVW,[],[],[]
45GX950A,[],[],[]
27G640A,[],[],[]
32GS75Q,[],[],[]
32G810SAW,['1인가구'],[],[]
32G600A,[],[],[]
STA32F,[],[],[]
43U712A,[],[],[]
27G610A,[],[],[]
27U631A,[],[],[]
27MS500,[],[],[]
32U731SAW,[],[],[]
27U730A,[],[],[]
32UN650K,['부모님'],[],[]
32UN880K,[],[],[]
32GX850A,[],[],[]
24G411A,[],[],[]
40U990AW,[],[],[]
