Product_code,family_list,size_list,house_list
27LX6TPGA,"['1인 가구', '1인가구', '부모님', '신혼', '신혼부부', '아기', '아이 둘', '혼자 살']","['17평', '20평', '20평대', '원룸', '투룸']","['빌라', '아파트', '오피스텔', '원룸', '주택']"
27LX5QKNA,"['1인 가구', '1인가구', '부모님', '신혼', '아기']",['투룸'],['아파트']
27LX6TEGA,"['부모님', '신혼', '혼자 살']",['원룸'],"['오피스텔', '원룸']"
27ART10DSPL,"['1인 가구', '1인가구', '2인가족', '4인가족', '부모님', '신혼', '신혼부부', '아기']","['15평', '15평대', '원룸', '투룸']","['빌라', '아파트', '오피스텔', '원룸']"
27LX6TEGAA,[],[],[]
27LX6TEGAC,[],[],[]
27LX6TKGA,"['부모님', '신혼', '아기']",[],[]
27LX6TEGACKXT7SC,[],[],[]
27LX6TEGAKXT7SC,[],[],[]
27LX6TEGAAKXT7SC,[],[],[]
