Product_code,family_list,size_list,house_list
MKV103AUR,[],[],[]
MKV104AUR,[],[],[]
MKV203AUR,[],[],[]
MKV204AUR,[],[],[]
MKV305AUR,[],[],[]
MKV103AUR1,[],[],[]
MKV104AUR1,[],[],[]
MKV203AUR1,[],[],[]
MKV204AUR1,[],[],[]
MKV304AUR1,[],[],[]
PW1450T9SL,[],[],[]
PW0720R2SL,[],[],[]
PW0830R2SL,[],[],[]
PW0720R2L,[],[],[]
PW0830R2L,[],[],[]
PW1450T9L,[],[],[]
TW0720B2HL,[],[],[]
TW0900A2HL,[],[],[]
TW1450A9HL,[],[],[]
TW0721A2HR,[],[],[]
TW0901A2HR,[],[],[]
TW1451A9HR,[],[],[]
PW145PF9SR,[],[],[]
TW1450Y9SR,[],[],[]
TW0900Y2SR,[],[],[]
TW0722Y2SR,[],[],[]
TW0722Y2BR,[],[],[]
TW0900Y2BR,[],[],[]
TW1450Y9BR,[],[],[]
PW072PT2SR,[],[],[]
PW083PT2SR,[],[],[]
