Product_code,family_list,size_list,house_list
DUE6BGE,"['2인 가족', '3인 가족', '4인 가족', '4인가족', '5인가족', '6인가족', '부모님', '신혼', '신혼부부', '아기', '아이둘']",[],['아파트']
DUE6BGL2E,"['2인 가족', '3인 가족', '3인가족', '4인 가족', '4인가족', '5인 가족', '부모님', '신혼', '신혼부부', '아기', '아이둘']",[],['아파트']
DEE6BGE,"['부모님', '신혼', '신혼부부', '아기']",[],['아파트']
DUE6BGL3E,"['3인가족', '4인 가족', '4인가족', '부모님', '신혼', '아기', '혼자 살']",[],['아파트']
DUE6BGL1E,"['4인 가족', '4인가족', '부모님', '신혼', '아기']",[],"['아파트', '주택']"
DUE6EWL2E,"['1인가구', '2인 가족', '2인가족', '4인가족', '부모님', '신혼', '아기']",[],['아파트']
DUE1BGLE,"['1인가구', '2인가족', '3인 가족', '4인가족', '부모님', '신혼', '아기']",[],['아파트']
DUE5BGL1E,"['부모님', '아기']",[],[]
DUE5BGL2E,"['3인가족', '부모님', '신혼', '신혼부부', '아기']",[],['아파트']
DUE5MBL2E,"['3인가족', '부모님', '신혼', '신혼부부', '아기']",[],['아파트']
DFE6BGE,"['부모님', '신혼', '신혼부부', '아기', '아이둘']",[],['아파트']
DUE6PFL3E,[],[],['아파트']
DUE5STE,['부모님'],[],[]
DUE5BGE,"['신혼', '신혼부부']",[],[]
DFE5BGE,"['1인가구', '신혼']",[],['아파트']
DUB61TBE,[],[],[]
6EW3E-QKBOE,[],[],[]
1BGE-QKBOE,[],[],[]
6BG2E-AMBOE,[],[],[]
6BG2E-QKBOE,[],[],[]
4BGE-QKBOE,[],[],[]
6PF3E-QEBOE,[],[],[]
6EW2E-QKHOE,[],[],[]
6EW2E-ANHOE,[],[],[]
6EW2E-QKBOE,[],[],[]
6PF3E-ASMOE,[],[],[]
DUE6BG,"['1인 가구', '2인 가족', '2인가족', '3인가족', '4인 가족', '4인가족', '5인 가족', '5인가족', '6인가족', '부모님', '신혼', '신혼부부', '아기', '아이 둘', '혼자 살']",[],['아파트']
DEBJ4HS,"['2인 가족', '2인가족', '3인가족', '4인 가족', '4인가족', '5인가족', '부모님', '신혼', '신혼부부', '아기']",[],['아파트']
DUBJ4GS,"['1인가구', '2인 가족', '2인가족', '3인 가족', '3인가족', '4인 가족', '4인가족', '5인가족', '부모님', '신혼', '신혼부부', '아기']",[],['아파트']
DUE5BGHE,"['신혼', '신혼부부']",[],[]
DUE5MBL2,"['부모님', '신혼', '신혼부부', '아기']",[],[]
DUE6BGL1,"['3인가족', '4인 가족', '4인가족', '5인 가족', '5인가족', '부모님', '신혼', '아기']",[],['아파트']
DUE5BGL1,"['2인가족', '부모님', '신혼']",[],[]
DUE6BGH,"['신혼', '아기']",[],['아파트']
DUE6GLH,[],[],[]
DUE6BGL2,"['3인가족', '4인가족', '부모님', '신혼', '아기']",[],['빌라']
DFE6BG,"['2인 가족', '4인 가족', '신혼', '신혼부부', '아기']","['20평', '30평', '30평대', '34평', '34평대']",['아파트']
DUE5BG,"['2인가족', '신혼', '아기']",[],[]
DFE5BG,['1인가구'],[],[]
DEE6EW,"['1인 가구', '2인 가족', '2인가족', '4인가족', '5인가족', '부모님', '신혼', '신혼부부', '아기']",['원룸'],"['아파트', '원룸']"
DUE6BGL,"['5인가족', '신혼', '신혼부부', '아기']",[],['아파트']
6BG1E-QKHE,[],[],[]
5BG1E-QKHE,[],[],[]
6BG1E-ASB2E,[],[],[]
5BG1E-ASB2E,[],[],[]
DFE6BGHE,['신혼'],[],[]
