Product_code,family_list,size_list,house_list
LPM38,['아기'],[],[]
LPM37,[],[],[]
LPM31,[],[],[]
LPM32,[],[],[]
LPM29,"['부모님', '신혼']",[],[]
L123E1P,[],[],[]
LPE01,[],[],[]
LPM23,['아기'],[],[]
LPM12,"['부모님', '신혼', '아기']",['원룸'],['원룸']
LHE02,[],[],[]
LPM11,['아기'],[],[]
LPL11,[],[],[]
LPM15,[],[],[]
LPH11,[],[],[]
LPF11,[],[],[]
LPM14,[],[],[]
LPM16,[],[],[]
LPM13,[],[],[]
LPF13,[],[],[]
LPM18,[],[],[]
LPM17,[],[],[]
LPL12,[],[],[]
LPL13,[],[],[]
LPF12,['부모님'],[],[]
LHE01,[],[],[]
LPM19,[],[],[]
LVM01,[],[],[]
LVT01,[],[],[]
LPM33,[],[],[]
LPM25,[],[],[]
LPH12,[],[],[]
LPM35,[],[],[]
LPM27,[],[],[]
LPM24,['아기'],[],[]
LPM26,[],[],[]
LPL14,[],[],[]
LPM28,[],[],[]
L123E1PM,[],[],[]
LPM151802,[],[],[]
L023E1P12-3,[],[],[]
L023M1P12-4,[],[],[]
L023L1P12-1,[],[],[]
L023P1P12-2,[],[],[]
