Product_code,family_list,size_list,house_list
FQ25FN9BE2,"['부모님', '신혼', '아기']","['16평', '22평', '23평', '25평', '27평', '34평', '41평', '45평', '47평', '50평', '50평대']","['아파트', '주택']"
SQ09EK1WES,['부모님'],"['10평', '11평', '20평', '20평대', '23평', '원룸']","['빌라', '아파트', '원룸', '주택']"
FQ18FV3EK2,"['부모님', '신혼', '신혼부부', '아기']","['18평', '20평', '20평대', '22평', '24평', '36평', '50평']","['아파트', '주택']"
FQ17FV3EN2,"['부모님', '신혼']",['18평'],['아파트']
FQ17FU1EN2,"['부모님', '신혼', '신혼부부', '아기']","['10평', '17평', '18평', '20평', '22평', '23평', '25평', '30평', '32평', '33평', '34평', '34평대', '38평', '42평', '원룸']","['아파트', '원룸', '주택']"
FQ18HDWHY2,"['부모님', '신혼', '아기', '혼자 살']","['10평', '11평', '13평', '15평', '17평', '18평', '20평', '24평', '25평', '30평', '30평대', '34평', '35 평', '35평', '39평', '43평', '44평', '45평', '투룸']","['빌라', '아파트', '오피스텔', '주택']"
FQ20FC2EA2,[],"['20평', '40평', '40평대']",['빌라']
FQ18FC2EA2,"['부모님', '신혼']","['17평', '25평', '30평', '34평']",['아파트']
FQ17FC1ED2,"['부모님', '신혼']","['10평', '10평대', '15평', '17평', '18평', '20평', '20평대', '24평', '25평', '32평', '38평', '원룸']","['아파트', '원룸', '주택']"
SQ07EA3WAS,[],"['30평', '30평대']",['아파트']
SQ06EA1WCS,"['1인 가구', '1인가구', '부모님', '아기']","['10평', '10평대', '13평', '14평', '15평', '18평', '20평', '32평', '35평', '47평', '원룸', '투룸']","['빌라', '아파트', '오피스텔', '원룸', '주택']"
SQ07EJ3WES,"['부모님', '아기']","['10평', '18평', '18평대', '27평', '원룸']","['아파트', '원룸', '주택']"
SQ11EK1WES,"['부모님', '신혼']","['10평', '11평', '14평', '15평', '16평', '17평', '18평', '20평', '20평대', '21평', '22평', '24평', '25평', '30평', '투룸']","['빌라', '아파트', '오피스텔', '주택']"
SQ06EJ1WES,"['부모님', '신혼', '아기']","['11평', '원룸']","['빌라', '아파트', '원룸', '주택']"
FW20HDNBM2,['부모님'],"['15평', '23평']","['빌라', '아파트', '주택']"
SW07EK1WES,['부모님'],['원룸'],['원룸']
FW19SETBA2,['부모님'],[],['아파트']
SQ16EK1WAS,['부모님'],"['16평', '24평', '39평']",['아파트']
SW13EK1WAS,['부모님'],"['10평', '13평', '24평']","['아파트', '주택']"
SW11EK1WAS,['아기'],[],['아파트']
FW16HDWWA1,"['부모님', '신혼']",[],[]
