Product_code,family_list,size_list,house_list
LG xboom STAGE 301,[],[],[]
LG xboom BOUNCE,[],[],[]
LG xboom GRAB,[],[],['아파트']
XO2T,[],[],['아파트']
S95TR,[],[],['아파트']
RP4BE,[],['80평'],['아파트']
XT7S,[],"['40평', '40평대']",['아파트']
CK43FB,[],['원룸'],['원룸']
S40T,"['부모님', '신혼', '아기']","['30평', '30평대']",['아파트']
xboom Buds Plus,[],[],[]
S70TR,['신혼'],['30평'],['아파트']
xboom Buds,['부모님'],[],[]
S60TR,['부모님'],[],['아파트']
xboom Buds Lite,['부모님'],[],[]
XG2,['아기'],[],[]
S20A,[],['원룸'],['원룸']
S30A,[],[],[]
S70TRABT52P,[],[],[]
SP2,"['부모님', '신혼']",['21평'],"['아파트', '오피스텔']"
