Product_code,family_list,size_list,house_list
FH25KA,"['4인가족', '부모님', '신혼', '아기']","['20평', '20평대']",['아파트']
FH25ESE,"['4인 가족', '부모님', '신혼', '신혼부부']",[],['아파트']
FH25EAE,"['1인 가구', '1인가구', '2인 가족', '3인 가족', '4인가족', '부모님', '신혼', '신혼부부', '아기', '혼자살']","['24평', '원룸']","['빌라', '아파트', '오피스텔', '원룸', '주택']"
FH25VA,"['1인 가구', '1인가구', '2인 가족', '3인 가족', '4인가족', '부모님', '신혼', '신혼부부', '아기', '혼자살']","['24평', '원룸']","['빌라', '아파트', '오피스텔', '원룸', '주택']"
FH25WA,"['1인 가구', '1인가구', '2인 가족', '3인 가족', '4인가족', '부모님', '신혼', '신혼부부', '아기', '혼자살']","['24평', '원룸']","['빌라', '아파트', '오피스텔', '원룸', '주택']"
FH25LMTH,"['부모님', '신혼', '아기']",[],['아파트']
FH25GAG,"['1인 가구', '1인가구', '2인 가족', '3인 가족', '4인가족', '부모님', '신혼', '신혼부부', '아기', '혼자살']","['24평', '원룸']","['빌라', '아파트', '오피스텔', '원룸', '주택']"
FH25GA,"['신혼', '아기', '아이 둘']",[],[]
FH23KN,[],[],[]
FH24ENEF,[],[],[]
FH24ENE,[],[],[]
FH25KAX,"['1인 가구', '1인가구', '2인가족', '4인가족', '5인 가족', '부모님', '신혼', '아기', '혼자 살']","['24평', '50 평']",['아파트']
FH25ESEFX,"['부모님', '신혼', '아기']",['원룸'],"['빌라', '아파트', '원룸']"
FH25EAEX,"['부모님', '신혼', '아기', '아이 둘']",[],[]
FH25VAX,"['1인 가구', '1인가구', '부모님', '아기']",[],['아파트']
FH25WAX,"['신혼', '아기']",[],['아파트']
FH25GAGX,[],[],['아파트']
FH25EAEF,['1인가구'],[],[]
FH25ESEF,['부모님'],[],['아파트']
KAX-G52,[],[],[]
KAX-M8H-48W,[],[],[]
KAX-M8H,[],[],[]
FH23KNX,['4인 가족'],[],[]
FH24ENEX,['신혼'],[],[]
KAX-G52-48H,[],[],[]
KAX-G52-27H,[],[],[]
KAX-G52-20W,[],[],[]
KAX-48W,[],[],[]
KAX-27H,[],[],[]
KAX-20W,[],[],[]
