Product_code,family_list,size_list,house_list
WL21EGZU,"['1인가구', '2인 가족', '4인 가족', '4인가족', '부모님', '신혼', '신혼부부', '아기']","['30평', '30평대', '원룸']","['아파트', '원룸', '주택']"
WL21WDU,"['1인 가구', '1인가구', '2인 가족', '4인 가족', '4인가족', '부모님', '신혼', '아기', '아이 둘', '혼자 살']","['20평', '20평대', '24평', '원룸']","['아파트', '원룸']"
W20WHN,"['1인 가구', '1인가구', '3인 가족', '4인가족', '부모님', '신혼', '신혼부부', '아기', '혼자 살', '혼자살']","['17평', '20평', '24평', '25평', '28평', '34평']","['아파트', '오피스텔', '주택']"
W20WZNM,"['1인 가구', '2인 가족', '2인가족', '4인 가족', '부모님', '신혼', '신혼부부', '아기', '아이 둘', '혼자 살']","['25평', '27평', '30평', '30평대']",['아파트']
W20EGZ,"['1인가구', '2인 가족', '3인가족', '5인 가족', '5인가족', '부모님', '신혼', '신혼부부', '아기']","['24평', '원룸']","['빌라', '아파트', '원룸']"
WL22WDU,"['5인 가족', '신혼', '신혼부부']",[],['아파트']
WL22MYZU,"['신혼', '신혼부부']",[],[]
WL22MYHU,[],[],[]
W10BN,"['1인 가구', '1인가구', '2인 가족', '부모님', '신혼', '신혼부부', '아기']",['원룸'],"['아파트', '오피스텔', '원룸', '주택']"
W10BHN,"['1인 가구', '1인가구', '2인 가족', '2인가족', '3인가족', '4인 가족', '4인가족', '부모님', '신혼', '신혼부부', '아기']",['25평'],"['아파트', '오피스텔', '주택']"
W20WAN,"['부모님', '신혼']",[],['아파트']
W20WANQ,"['1인가구', '2인 가족', '부모님', '신혼']",[],['아파트']
W10EGN,"['1인 가구', '1인 가족', '1인가구', '2인 가족', '2인가족', '3인 가족', '3인가족', '4인 가족', '4인가족', '부모님', '신혼', '신혼부부', '아기', '혼자 살', '혼자살']","['10평', '10평대', '13평', '25평', '39평', '원룸']","['빌라', '아파트', '원룸']"
W10WAN,"['1인 가구', '1인가구', '2인 가족', '2인가족', '3인 가족', '3인가족', '4인 가족', '4인가족', '5인 가족', '부모님', '신혼', '신혼부부', '아기', '혼자 살']","['20평', '20평대', '22평', '23평', '24평', '25평', '원룸', '투룸']","['빌라', '아파트', '오피스텔', '원룸', '주택']"
W20WHNM,[],[],[]
W20WD,"['1인가구', '3인 가족', '4인가족', '부모님', '신혼', '신혼부부', '아기', '혼자살']",['25평'],"['빌라', '아파트']"
W20EGAN,['부모님'],[],[]
W2520WZM,"['2인 가족', '부모님', '신혼', '신혼부부', '아기']",[],['아파트']
WA2525EGZF,"['1인가구', '4인가족', '5인가족', '부모님', '신혼', '신혼부부', '아기']",['25평'],['아파트']
W2321GEAM,"['부모님', '신혼']",[],['아파트']
WA2525IIHF,"['1인가구', '4인가족', '5인가족', '부모님', '신혼', '신혼부부', '아기']",['25평'],['아파트']
WA2525GGZF,"['1인가구', '4인가족', '5인가족', '부모님', '신혼', '신혼부부', '아기']",['25평'],['아파트']
WA2525EYZF,[],[],['아파트']
WA2323EGZN,[],[],[]
WA2323GEZN,[],[],[]
WA2323IIAN,[],[],[]
W21GEAM,['신혼'],[],['아파트']
WL21GGN,"['4인 가족', '부모님', '신혼']",[],"['아파트', '주택']"
W21EEZ,[],[],[]
20WN-S84ME1,[],[],[]
20EG-S84ME1,[],[],[]
10WN-Q33MH3,['신혼'],[],['아파트']
2EG-G52,[],[],[]
W20WAN-5M5,[],[],[]
W20WANQ-5M5,[],[],[]
W20GEAN-5B4,[],[],[]
W21WAM-5SH,['신혼'],[],[]
W21GEAM-5SH,[],[],[]
WL22KDU,"['부모님', '신혼']",[],[]
WL22EMZU,"['5인가족', '부모님', '신혼', '신혼부부', '아기']",[],['아파트']
WL22YMZU,['신혼'],[],[]
WA2323GGZN,[],[],[]
WA2323EEZN,[],[],[]
WL22GMZU,"['신혼', '아기']",[],"['아파트', '주택']"
WL22EGHU,[],[],[]
WL21GGZU,['신혼'],[],[]
WL21EEZU,['신혼'],[],[]
W21EGZ,['신혼'],[],['아파트']
1WU-M8H-48W,[],[],[]
1WU-G52-48H,[],[],[]
1WU-G52-27H,[],[],[]
1WU-G52-20W,[],[],[]
2EG-M8H-48H,[],[],[]
2EG-M8H-48W,[],[],[]
2EG-M8H-27H,[],[],[]
2EG-M8H-20W,[],[],[]
2EG-G52-48H,[],[],[]
2EG-G52-27H,[],[],[]
2EG-G52-20W,[],[],[]
1EG-G52-48H,[],[],[]
1EG-G52-27H,[],[],[]
1EG-G52-20W,[],[],[]
1WU-M8H,[],[],[]
1WU-48H,[],[],[]
1WU-48W,[],[],[]
1WU-27H,[],[],[]
1WU-20W,[],[],[]
1EG-48H,[],[],[]
1EG-48W,[],[],[]
1EG-27H,[],[],[]
1EG-M8H,[],[],[]
1EG-M8H-20W,[],[],[]
1EG-20W,[],[],[]
W20WD-5SH,[],[],[]
20EG-M85GB0,[],[],[]
2EG-M8H,[],[],[]
2EG-48H,[],[],[]
2EG-48W,[],[],[]
2EG-27H,[],[],[]
2EG-20W,[],[],[]
