Product_code,family_list,size_list,house_list
RD21ESE,"['1인가구', '3인 가족', '4인 가족', '5인 가족', '부모님', '신혼', '아기', '아이둘', '혼자 살']","['21평', '원룸']","['빌라', '아파트', '원룸', '주택']"
RG18WNW,"['1인 가구', '1인가구', '3인 가족', '4인가족', '부모님', '신혼']",[],"['빌라', '아파트', '오피스텔', '주택']"
RD20KNT,['신혼'],[],[]
RD22GS,"['부모님', '아기']",[],"['아파트', '주택']"
RD22WS,"['부모님', '신혼']",[],['아파트']
RD22ESE,"['부모님', '신혼', '아기']",[],['아파트']
RD22GSG,"['4인가족', '부모님', '신혼', '신혼부부', '아기']",[],['아파트']
RD22VS,"['4인가족', '부모님', '신혼']",[],['아파트']
RD22KS,['5인가족'],[],['아파트']
RG19KN,"['1인 가구', '4인가족', '부모님', '신혼', '신혼부부']","['30평', '원룸']","['빌라', '아파트', '원룸']"
RH18WTSN,"['1인가구', '2인가족', '4인 가족', '부모님', '아기', '아이둘']",[],"['아파트', '주택']"
RD21ESE-KE,['부모님'],[],[]
RD20WSQ,"['1인가구', '4인 가족', '5인 가족', '부모님', '신혼']",[],[]
RG19GN,"['2인가족', '4인가족', '부모님', '신혼', '아기']",['50 평'],"['아파트', '주택']"
RG18EN,"['부모님', '신혼']",['원룸'],"['아파트', '원룸']"
RD20KN,['부모님'],[],[]
RG19VNX,[],[],[]
RH19WTWN,"['4인가족', '부모님', '신혼', '아기']",[],"['빌라', '아파트', '주택']"
RD20ENE,"['2인가족', '4인 가족', '4인가족', '5인가족', '부모님', '신혼', '신혼부부', '아기', '혼자살']",[],"['아파트', '주택']"
RG19WNX,[],[],[]
RD20ENE-KE,[],[],[]
RD20KN-KK,[],[],[]
RG20WN,"['1인 가구', '5인가족', '부모님', '신혼', '신혼부부', '아기']",[],"['빌라', '아파트', '주택']"
RD20VN-KV,['아기'],[],[]
RD20ENEF,[],[],[]
RD20GNG-KG,['부모님'],[],[]
RD20GNGX,[],[],[]
RD20GNGF,['부모님'],[],[]
RD20ENEX,[],[],[]
RH10WTA,"['1인 가구', '1인가구', '3인 가족', '5인가족', '아기']","['15평', '원룸']","['아파트', '오피스텔', '원룸']"
RH10WTW,"['4인 가족', '아이 둘']",['원룸'],"['아파트', '원룸']"
RH10VTA,"['부모님', '신혼', '신혼부부', '아기']",[],[]
RG18WNT,[],[],['아파트']
RG20VN,"['신혼', '신혼부부']",[],[]
RG18WNST,['1인가구'],[],[]
RG20KN,[],[],[]
RG18WNWT,['부모님'],[],[]
RD21GN,"['6인 가족', '부모님', '신혼']",[],[]
RG19GNX,[],[],[]
RG19ENX,[],[],[]
RG18ENX,[],[],[]
RG18VNX,[],[],[]
RD20KNX,[],[],[]
RD20VNX,[],[],[]
RD20WNA,"['1인가구', '5인가족', '부모님', '신혼', '아기']",[],"['아파트', '주택']"
RD25TS,[],[],[]
RD25GSG,['아기'],[],[]
RD25AS,[],[],[]
RD25IS,[],[],[]
RD25KS,[],[],[]
RD25VS,[],[],[]
F21WDLP-9WW,[],[],[]
RG8WN-T7WX3,[],[],[]
RG9WN-T7WX3,[],[],[]
F12WVA-10WB,"['1인 가구', '신혼', '신혼부부']",[],[]
F12VVA-10VB,[],[],[]
RG20ENF,[],[],[]
RG20VNX,[],[],[]
RG18WNWTX,[],[],[]
RG18WNTF,[],[],[]
RG18WNWTF,[],[],[]
RG20GNX,[],[],[]
RG20KNX,[],[],[]
RG20ENX,[],[],[]
RG20GNF,[],[],[]
F24WDLP-9WW,"['4인가족', '부모님', '신혼']",['32평'],['아파트']
F24WDWP-9WL,"['부모님', '신혼']",[],['아파트']
KX25WQ-2WNA,[],[],['아파트']
RG20EN,['4인 가족'],[],[]
RH19KTAN,"['부모님', '신혼']",['원룸'],"['오피스텔', '원룸']"
KFG19GN-9GN,[],[],[]
KX24WN-2WNA,[],[],[]
