Product_code,family_list,size_list,house_list
SC5MSR82H,"['2인가족', '부모님', '신혼', '아기']",[],"['아파트', '주택']"
SC5GMR80H,"['1인가구', '3인 가족', '4인 가족', '4인가족', '부모님', '신혼', '신혼부부', '아기', '혼자 살']","['24평', '원룸']","['아파트', '원룸']"
SC5GMR52C,"['1인가족', '부모님', '신혼', '아기']",[],[]
SC5MSR42,"['1인가구', '3인가족', '부모님', '신혼', '신혼부부', '아기', '혼자 살']",[],"['아파트', '오피스텔']"
SC5MSR72,"['1인가구', '신혼']",[],[]
SC5GMR5E,"['2인가족', '부모님', '신혼', '아기']",[],[]
SC5MER42,[],[],[]
SC5MRR42,[],[],[]
SC5GMR80A,"['1인 가구', '신혼', '아기']",[],[]
SC5MSR82A,"['1인 가구', '신혼', '혼자 살']",[],[]
SC5MBR80A,"['신혼', '아기']",[],['주택']
SC5GMR70,"['신혼', '신혼부부']",[],[]
SC5MHR60,"['부모님', '신혼']",[],[]
SC5MBR60B,"['1인 가구', '신혼']",[],['아파트']
SC5GMR60B,"['부모님', '신혼', '아기']",[],[]
SC5GMR42,[],[],[]
SC5GMR4E,[],[],[]
SC5MBR42C,['신혼'],[],[]
SC5MBR4E,"['신혼', '신혼부부']",[],[]
SC5MSR40,['신혼'],[],['아파트']
S3TF,"['1인 가구', '신혼', '신혼부부']",[],[]
S3JHW,"['1인 가구', '신혼']",[],['오피스텔']
S3BOF,['신혼'],[],[]
S3GHM,"['1인가구', '신혼']",['원룸'],['원룸']
S3BF,[],[],[]
S3GOF,['1인가구'],[],[]
KAX-G5E,[],[],[]
KAX-M8H,[],[],[]
WAX-G5E,[],[],[]
VAX-G5E,[],[],[]
S3WGM,['1인가구'],[],[]
SC5MBR6R,['신혼'],[],[]
S5MBAUE,"['1인 가구', '2인 가족', '4인 가족', '부모님', '신혼', '아기']",[],[]
S3MFB,[],[],[]
