Product_code,family_list,size_list,house_list
BEI3HRBLE,['부모님'],[],[]
BEF3AMB4E,[],[],[]
BEI3AMBLOE,"['부모님', '신혼']",[],['아파트']
BEI3QKBLOE,"['부모님', '신혼']",[],"['아파트', '주택']"
BEF3ASMLE,['아기'],[],[]
BEI3QEBLOE,['부모님'],[],['아파트']
BEI3QMBLOE,['부모님'],[],[]
BEF3ANHLE,['신혼'],[],[]
BEF3ANHLOE,"['부모님', '신혼', '신혼부부']",[],"['아파트', '오피스텔']"
BEI3AMB4E,['신혼'],[],"['아파트', '주택']"
HEI1V9E,[],[],[]
BEI3ASS4E,[],[],[]
BEI3ASMLOE,[],[],"['아파트', '주택']"
BEI3ANHLE,['부모님'],[],[]
BEY3SRBLE,[],[],[]
BEI3ANBLOE,[],[],[]
BEY3MSE,[],[],[]
BEI3ASMLE,[],[],[]
BEY3GS2,[],[],[]
BEI3ASB2OE,[],[],[]
BEF3ANBL,"['부모님', '신혼']",[],['아파트']
BEI3ASB4E,"['부모님', '신혼']",[],[]
BEY3GSU1E,[],[],[]
BEY3GS2E,[],[],[]
BEF3ANSL,[],[],[]
BEI3ANPL,['신혼'],[],[]
BEI3ASML,[],[],[]
BEI3ANSLO,[],[],[]
BEF3WBQT,"['부모님', '신혼', '신혼부부', '아기']",[],['아파트']
6EW3E-QKBOE,[],[],[]
1BGE-QKBOE,[],[],[]
6BG2E-AMBOE,[],[],[]
6BG2E-QKBOE,[],[],[]
4BGE-QKBOE,[],[],[]
6PF3E-QEBOE,[],[],[]
6EW2E-QKHOE,[],[],[]
6EW2E-ANHOE,[],[],[]
6EW2E-QKBOE,[],[],[]
6PF3E-ASMOE,[],[],[]
BEI3ANHLO,['신혼'],[],['아파트']
BEF3ANHLO,['부모님'],[],['아파트']
BEY3SRBL,['신혼'],[],[]
BEI3ASB4,"['부모님', '신혼', '신혼부부']",[],['빌라']
6BG1E-QKHE,[],[],[]
5BG1E-QKHE,[],[],[]
6BG1E-ASB2E,[],[],[]
5BG1E-ASB2E,[],[],[]
