Product_code,family_list,size_list,house_list
WD524AWB,"['4인가족', '부모님', '신혼', '아기']",['원룸'],"['아파트', '원룸']"
WD323ACB,"['부모님', '신혼', '아기']",['원룸'],"['아파트', '원룸']"
WD523AWB,"['1인가구', '3인 가족', '부모님', '신혼', '신혼부부', '아기', '혼자 살', '혼자살']","['30평', '원룸']","['아파트', '오피스텔', '원룸']"
WD520AWB,"['1인 가구', '1인가구', '4인가족', '부모님', '신혼', '신혼부부', '아기', '혼자 살']",['원룸'],"['빌라', '아파트', '오피스텔', '원룸', '주택']"
WU923AS,"['1인 가구', '부모님', '신혼', '신혼부부', '아기']",['24평'],['아파트']
WU923ACB,"['2인가족', '부모님', '신혼', '아기']",['24평'],['아파트']
WU823AS,[],[],[]
WD525ACB,['부모님'],[],[]
WD525AS,"['5인 가족', '부모님', '신혼', '아기']",[],[]
WD325AS,['부모님'],[],[]
WD520VH,"['1인 가구', '4인가족', '부모님', '신혼', '신혼부부', '아기']",[],['아파트']
WD721RH,"['1인 가구', '2인가족', '3인 가족', '3인가족', '4인가족', '5인가족', '부모님', '신혼', '아기', '혼자 살']",['원룸'],"['아파트', '원룸']"
WD120MHB,"['1인 가구', '1인가구', '부모님', '신혼', '신혼부부', '아기', '혼자 살']",['원룸'],"['아파트', '오피스텔', '원룸']"
WD220MHB,"['1인 가구', '1인가구', '부모님', '신혼', '아기']",['원룸'],"['아파트', '원룸']"
WU523ACB,"['부모님', '신혼']",[],['아파트']
WD524VHM,"['부모님', '아기']",[],['오피스텔']
WD525AHB,"['부모님', '신혼', '아기']",[],[]
WD325AHB,['부모님'],['원룸'],['원룸']
WS511SH,[],[],[]
WD523VS,"['부모님', '신혼', '아기']",[],['아파트']
WS513SH,[],[],[]
