Product_code,family_list,size_list,house_list
DQ235MWGA,"['1인가구', '부모님', '신혼', '아기']","['15평', '32평', '33평', '40평', '50평', '63평', '원룸']","['아파트', '원룸']"
DQ235MEGA,"['부모님', '아기']","['20평', '20평대', '30평', '30평대', '34평']",['아파트']
DQ214MWGA,"['4인가족', '부모님', '신혼', '신혼부부', '아기', '아이 둘', '아이둘', '혼자살']","['16평', '20평', '24평', '25평', '26평', '30평', '30평대', '32평', '32평대', '34평', '35평', '37평', '40평', '49평', '원룸', '투룸']","['빌라', '아파트', '원룸', '주택']"
DQ214MEGA,"['부모님', '신혼', '아기']","['10평', '10평대', '16평', '20평', '20평대', '25평', '34평', '41평', '44평', '46평', '46평대', '원룸']","['아파트', '원룸', '주택']"
DQ185MWGA,"['부모님', '신혼', '아기']",['원룸'],"['아파트', '원룸']"
DQ154MWGA,"['1인 가구', '1인가구', '부모님', '신혼', '아기']","['1.5룸', '10평', '11평', '12평', '15평', '18평', '19평', '20평', '20평대', '24평', '25평', '27평', '28평', '29평', '2룸', '30평', '30평대', '31평', '32평', '34평', '35평', '40평', '40평대', '49평', '원룸', '투룸']","['빌라', '아파트', '오피스텔', '원룸', '주택']"
DQ134MWEC,"['1인가구', '부모님', '신혼', '아기', '혼자 살']","['1.5룸', '10평', '10평대', '13평', '15평', '17평', '18평', '20평', '20평대', '21평', '24평', '25평', '25평대', '27평', '2룸', '30평', '30평대', '34평', '40평', '50평', '원룸', '투룸']","['빌라', '아파트', '오피스텔', '원룸', '주택']"
DQ205PEGA,"['4인가족', '부모님', '신혼', '아기']","['20평', '20평대', '22평', '23평', '24평', '29평', '30평', '30평대', '34평', '40평', '40평대', '원룸', '투룸']","['빌라', '아파트', '원룸', '주택']"
DQ205PSVA,"['부모님', '신혼', '아기']","['11평', '24평', '30평', '40평', '40평대', '원룸']","['아파트', '원룸']"
DQ154MWGAS,"['부모님', '아기']",['원룸'],['원룸']
DQ185MEGA,['신혼'],"['24평', '32평', '원룸']","['아파트', '원룸']"
DQ214MWGAS,"['부모님', '신혼', '아기']",[],[]
DQ205PEGAS,['부모님'],[],[]
DQ235MEGAS,"['부모님', '아기']",[],[]
DQ205PSVAS,['아기'],[],['아파트']
DQ235MWGAS,['신혼'],[],[]
DQ134MWECS,[],[],[]
DQ185MEGAS,[],['원룸'],['원룸']
DQ185MWGAS,['부모님'],"['15평', '20평']",['주택']
DQ214MEGAS,[],[],[]
