Product_code,family_list,size_list,house_list
AI958WA,"['부모님', '신혼']",['원룸'],['원룸']
AX920BWE,"['부모님', '신혼', '아기']",[],[]
AS527HA,['부모님'],['원룸'],['원룸']
R585WKA1,"['1인 가구', '부모님', '신혼', '신혼부부', '아이둘', '혼자 살']","['10평', '30평', '30평대', '32평', '34평', '37평', '39평']","['아파트', '오피스텔', '주택']"
AI948WA,['부모님'],[],['아파트']
AI927WA,[],[],[]
AI927BA,[],[],[]
A730WA,['신혼'],[],[]
C40WGY,"['1인가구', '부모님', '신혼']",['24평'],[]
K83WGY,['부모님'],"['30평', '30평대']",[]
C33FNT,['부모님'],[],[]
MO972WA,"['부모님', '신혼', '아기']","['30평', '30평대', '33평', '55평', '원룸', '투룸']","['아파트', '원룸']"
C40RF,[],[],[]
K83IGY,"['부모님', '신혼']",['투룸'],[]
C40SGY,"['1인 가구', '1인가구', '부모님', '신혼']",[],['아파트']
C40SFHT,"['1인가구', '부모님', '신혼']","['1.5룸', '12평', '원룸']","['오피스텔', '원룸']"
VP8000S,[],[],[]
AS520WA,"['부모님', '신혼']",[],['아파트']
AS527WA,"['1인 가구', '부모님', '신혼']","['10평', '원룸']","['오피스텔', '원룸']"
B95AWBH,"['1인가구', '부모님', '신혼', '신혼부부', '아기', '아이 둘', '혼자 살', '혼자살']","['19평', '20평', '20평대', '24평', '30평', '30평대', '32평', '33평', '34평', '40평', '40평대', '47평', '60평', '60평대', '원룸']","['빌라', '아파트', '원룸', '주택']"
AS720WA,[],['원룸'],['원룸']
AS520HA,"['1인 가구', '1인가구', '신혼']",['원룸'],['원룸']
RO585HGH,['부모님'],['30평'],[]
R9300WB,[],[],[]
AI927WA-M,[],[],[]
AS520WA-R,[],[],[]
AS527WA-R,[],[],[]
AS527HA-R,[],[],[]
AS520HA-R,[],[],[]
AX948BWE,"['부모님', '신혼']",['45평'],[]
AI948BA,['부모님'],[],[]
A727WA,['부모님'],['20 평'],[]
A737WA,"['부모님', '신혼']",['1.5룸'],[]
B94AHB,['부모님'],"['30평', '30평대']",[]
AI937WA,"['부모님', '신혼']",[],[]
AX958BWE,"['부모님', '신혼']",[],[]
A720WA,"['부모님', '신혼', '신혼부부']",[],[]
VFA-WD01N,['신혼'],[],[]
A737WA-R,[],[],[]
A737WA-M,[],[],[]
A727WA-M,[],[],[]
AI948BA-M,[],[],[]
A727WA-R,[],[],[]
W71RVLB,[],[],[]
AW1-948WA,[],[],[]
AW1-730WA,[],[],[]
AW1-S720WA,[],[],[]
AW1-S520WA,[],[],[]
