Product_code,family_list,size_list,house_list
Y321GB3S,"['부모님', '신혼']",[],"['빌라', '아파트']"
Z323MEF,"['1인가구', '2인가족', '3인 가족', '3인가족', '4인가족', '부모님', '신혼', '신혼부부', '혼자 살']",[],"['아파트', '주택']"
Y323MEF,"['1인가구', '2인가족', '3인 가족', '3인가족', '부모님', '신혼']",[],['아파트']
X323MEF,"['1인가구', '2인가족', '3인 가족', '3인가족', '4인가족', '부모님', '신혼', '신혼부부']",[],['아파트']
OC-Kit8,[],[],[]
OC-Kit7,[],[],[]
X322GB8,"['1인 가구', '1인가구', '2인 가족', '2인가족', '3인 가족', '4인 가족', '4인가족', '부모님', '신혼']","['30평', '4룸', '원룸']","['아파트', '원룸', '주택']"
R321S,"['부모님', '신혼']",[],"['아파트', '주택']"
A320S,['부모님'],[],['아파트']
Y321SS3S,"['부모님', '신혼']",[],"['빌라', '아파트']"
X321GB3S,['부모님'],[],[]
Y324GB7,"['4인 가족', '4인가족', '부모님', '신혼']",[],['아파트']
X324GB7,"['4인 가족', '4인가족', '부모님', '신혼']",[],['아파트']
Z324GB7,"['부모님', '신혼']",[],['아파트']
Y321MW3S,"['부모님', '신혼']",[],"['빌라', '아파트']"
X321MB3S,['신혼'],[],['빌라']
Z324GB3S,['4인가족'],[],[]
X324SS7S,"['4인 가족', '4인가족', '부모님', '신혼']",[],['아파트']
X324SS3S,['신혼'],[],[]
Y324GB3S,"['부모님', '신혼']",[],[]
X324GB3S,['신혼'],[],[]
X324GB5,[],[],[]
K322SC,['부모님'],[],[]
Y324GB5,[],[],[]
X324SV7S,"['4인 가족', '4인가족', '부모님', '신혼']",[],['아파트']
Z324SS3S,['4인가족'],[],[]
Y324SS7S,"['4인 가족', '4인가족', '부모님', '신혼']",[],['아파트']
Z324GB5,[],[],[]
Y324SS7SK,[],[],[]
Y324SS3SK,[],[],[]
Z324SS7S,"['부모님', '신혼']",[],['아파트']
X324SS3SK,[],[],[]
Y324SS3S,"['부모님', '신혼']",[],[]
X324SS7SK,[],[],[]
Z324SS3SK,[],[],[]
Y324SV7S,"['4인 가족', '4인가족', '부모님', '신혼']",[],['아파트']
X324SV3S,['신혼'],[],[]
Y324SV3S,"['부모님', '신혼']",[],[]
Z324SV7S,"['부모님', '신혼']",[],['아파트']
Y324SV7SK,[],[],[]
Z324SV3S,['4인가족'],[],[]
Z324SS7SK,[],[],[]
X324SV3SK,[],[],[]
Z324SV7SK,[],[],[]
X324SV7SK,[],[],[]
Y324SV3SK,[],[],[]
Y324GQ5S,[],[],[]
X324SM3SK,[],[],[]
Y324GH5S,[],[],[]
Y324GN5S,[],[],[]
Y324GG5S,[],[],[]
X324SS5SK,[],[],[]
X324GH5S,[],[],[]
X324GN5S,[],[],[]
X324GQ5S,[],[],[]
X324GG5S,[],[],[]
Z324SV3SK,[],[],[]
Z321SG3CS,[],[],[]
Z321GC3CS,[],[],[]
Y321MB3S,['부모님'],[],[]
X321SG3S,[],[],[]
Z321MW3CS,['부모님'],[],[]
Z321MG3CS,['부모님'],[],[]
XYZ323MEF,"['1인 가구', '1인가구', '2인 가족', '3인 가족', '3인가족', '4인 가족', '부모님', '신혼']",[],"['아파트', '주택']"
XYZ324GB3S,"['3인가족', '부모님']",[],[]
XY324GB3S,[],[],[]
XY324GQ3S,[],[],['아파트']
XYZ324GQ3S,[],[],[]
XYZ324GG3S,[],[],[]
XYZ324GBN3S,[],[],[]
XYZ321GBB3S,"['3인가족', '4인가족', '신혼']",[],['아파트']
XYZ321MG3S,['신혼'],[],[]
XYZ321MW3S,"['4인가족', '부모님', '신혼']",[],[]
OC-Kit6,[],[],[]
X324AA3,[],[],[]
Y324GB3,[],[],[]
Y324AA3,"['1인가구', '3인 가족']",[],[]
Z324GB3,[],[],[]
Z324AA3,['3인 가족'],[],[]
Z324AA7,['2인 가족'],[],[]
Y324AA7,[],['24평'],['아파트']
X324AA7,[],[],[]
Z321AA3C,"['4인가족', '신혼', '신혼부부']",[],['아파트']
X321AA3,"['3인 가족', '부모님', '신혼']",[],"['빌라', '아파트', '주택']"
