Product_code,family_list,size_list,house_list
PU615U,"['1인가구', '신혼']","['15평', '원룸']","['아파트', '원룸']"
HU915QE,[],[],[]
HU715QP,[],['24평'],[]
HU715QW,"['신혼', '아기']",[],[]
HU710PW,[],[],[]
HU70LA,['신혼'],[],[]
PF600U,['아기'],[],[]
LG Cinebeam Shorts + Floor Stand,[],[],[]
Cinebeam Shorts Floor Stand,[],[],[]
PU615UBGRAB,[],[],[]
PU615UBXO2TBE,[],[],[]
PU615UBBOUNCE,[],[],[]
HU710PB,"['1인가구', '부모님', '신혼', '신혼부부', '아기', '혼자 살']","['28평', '30평', '30평대', '원룸']","['아파트', '오피스텔', '원룸']"
HU810PW,['신혼'],"['30평', '30평대']",['아파트']
Cinebeam Qube Cover,[],[],[]
Cinebeam Qube Battery Cover,[],[],[]
Cinebeam Qube Stand,[],[],[]
BU60RG,[],[],[]
BU50RG,[],[],[]
BF50RG,[],[],[]
BF60RG,[],[],[]
BU70QGA,[],[],[]
