제품군,항목명,설명
프로젝터,해상도,한 화면에 포함된 총 화소(픽셀)의 수를 말합니다. 보통 가로와 세로의 화소수로 나타내며(가로x세로) 해상도가 높을수록 세밀하고 선명한 화면을 볼 수 있습니다.
프로젝터,밝기,"밝기(안시루멘)가 높을수록 화면을 밝은 환경에서도 선명하게 감상할 수 있습니다. 완전히 어두운 곳에서는 낮은 안시로도 충분히 화면을 감상할 수 있습니다.
1,000 안시 이하: 어두운 환경 사용에 적합 (가정용)
2,000 안시 이하: 형광등 아래에서 사용 가능하며 100인치 이상의 화면에서는 흐려질 가능성 있음
3,000 안시 이하: 형광등 아래에서 사용 가능하며 커튼 없이도 사용 가능 (학원/소회의실)
4,000 안시 이하: 주변이 밝아도 사용 가능하며 150인치 이상의 화면에서는 흐려질 가능성 있음 (교회/대회의실)
5,000 안시 이하: 150인치 이상의 화면에서 선명하게 사용 가능 (대형 교회/대강당)"
프로젝터,무선 컨텐츠 연결,유선 연결은 물론 스크린쉐어 기능으로 선 연결 없이도 기기의 콘텐츠를 대화면으로 감상할 수 있습니다.
프로젝터,HDMI (ARC),"노트북과 빔 프로젝터를 HDMI 케이블로 연결한 다음, 노트북 키보드에서 [윈도우+P 또는 Fn+F7] 키를 눌러 외부로 화면을 출력할 수 있습니다. HDMI 케이블은 화면과 소리가 동시에 전송되는 케이블로 별도의 음성 케이블 연결이 필요하지 않습니다."
프로젝터,RJ45,"RJ45 단자는 인터넷 지원 장치를 다른 네트워크 장치에 연결하는 데 사용되며 이더넷 케이블을 통해 프로젝터를 유선 네트워크에 연결하면 원격 제어, 콘텐츠 스트리밍, 프로젝터 관리와 같은 네트워크 기반 기능들을 사용할 수 있습니다. 이는 대규모 설치나 기업 환경에서 프로젝터를 효율적으로 관리하고 제어하는 데 유용합니다."
프로젝터,Optical Audio Out,Optical 출력 단자는 전기 신호를 빛의 신호를 변환하여 출력합니다. 홈시어터와 셋톱박스에 기본으로 적용됩니다.
프로젝터,키스톤,"스크린과 프로젝터 서로 간에 투사 각도가 원활히 직각이 이루지지 못할 경우, 투사된 화면을 스크린의 형태에 맞도록 조절하여 화면의 모양이 사다리꼴 형태로 나오지 않게 해주는 보정 기능입니다."
프로젝터,줌,"화면의 가로 길이에 맞춰 화면을 확대합니다. 화면의 위, 아래 부분이 잘릴 수 있습니다"
프로젝터,렌즈Shift,"스크린 상의 영상을 상하로 이동시킬 필요가 있는 경우, 프로젝터 상부에 있는 Lens Shift(렌즈 시프트) 다이얼로 높이를 조정할 수 있습니다. Lens Shift 다이얼을 좌우로 돌려 프로젝터의 영상을 상하로 조정하면 됩니다."
프로젝터,포커스조절,스크린에 영상이 나타난 다음에는 초점이 올바르게 맞추어져 있는지 그리고 스크린에 제대로 맞는지를 확인해야 합니다. 초점링을 좌우로 움직여 영상의 초점을 맞출 수 있습니다.
