제품군,항목명,설명
신발관리,트루스팀,"고온의 미세스팀으로 세균과 바이러스를 최대 99.999% 제거하는 LG만의 특허 기술입니다. 스팀 생성기(스팀 제너레이터)에 물을 채우고 직접 가열한 후 고온의 미세스팀이 만들어지면 압력차로 스팀이 배출됩니다. 세탁기, 건조기, 스타일러에서는 의류 구김, 냄새를 제거해 주고 식기세척기에서는 트루스팀과 연수장치를 같이 사용해 물 얼룩을 87%까지 감소시키며 식기의 온도를 높여 표면의 물기를 없애 높은 건조 성능도 누릴 수 있습니다.
"
신발관리,듀얼 케어,위 아래 각각 다른 케어가 가능하여 2가지의 각각 다른 소재의 신발도 필요에 따라 한 번에 케어할 수 있습니다.
신발관리,무빙 노즐,신발에 바람을 불어 넣으며 스팀이 나오는 노즐입니다. 신발의 높이에 맞추어 사용하세요.
신발관리,제오-드라이 필터,"젖은 신발의 안쪽 깊숙한 곳까지 3시간 30분 만에 빠르게 건조시킬 수 있는 기능입니다.

[건조시간]
* 시험 기관 : 인터텍
* 시험 부하 : 나이키 신발
* 시험 코스 : 눈비 건조 코스 (180분)
* 시험 조건 : 시험실 온도 25°±5C, 시험실 습도 55±20% R.H.
* 시험 방법 : 운동화 1 켤레 수분량 60g으로 눈비건조 코스 동작 후 최종 함수량이 3% 이내일 때까지 시간 측정
* 시험 결과 : 수분량 60g 눈비 건조코스 동작 시 3시간 30분 이내 건조 (99.5% 이상 건조)
* 물에 젖은 가죽 신발은 슈케어를 사용하여 케어하지 마세요. 가죽의 경우 물이 묻고 건조되면 소재에 따라 수축이 생길 수 있습니다.
* 특히 모피나 실크, 가죽 등 특수 소재가 들어간 신발은 제조사 또는 수입사에서 제공하는 취급상 주의사항을 꼭 확인하고 사용하세요.
* 최종 함수량(g) = 습윤상태 중량(g) - 운전 후 중량 (g)
* 수분량 60 g 기준 : 눈비 오는 날 외부 활동으로 신발 내부까지 많이 젖은 상태
* 건조코스는 제품의 상칸, 하칸의 노즐이 삽입된 신발에서의 사용을 권장합니다.
* 분리 선반을 사용할 경우 건조 성능이 저하 될 수 있습니다.
* 눈비 건조 코스는 3시간을 기본 코스로 동작하며, 습도 및 재질에 따라 건조시간이 증감할 수 있습니다."
신발관리,분리 선반,각 칸에서 두 켤레의 신발을 스타일링 하고 싶을 때 사용하는 선반입니다.
신발관리,표준 스타일링,운동화 및 스니커즈를 간편하게 스타일링 및 케어하고 싶을 때 사용하는 모드입니다.
신발관리,가죽 스타일링,가죽 재질의 신발을 간편하게 스타일링하고 싶을 때 사용하는 코스입니다.
신발관리,급속 스타일링,급속 스타일링 코스는 외출 전 짧은 시간 내에 신발을 산뜻하게 스타일링 및 케어해주는 코스입니다.
신발관리,스웨이드 스타일링,스웨이드 소재의 신발을 40분만에 섬세하게 케어할 수 있는 코스입니다.
신발관리,골프화 스타일링,"골프화 스타일링 코스는 골프화 전용 관리 프로그램입니다. 이 코스는 골프화 내의 세균과 습기를 제거하여 신선하게 유지하며, 오염과 냄새를 제거합니다."
신발관리,축구화 스타일링,"축구화 스타일링 코스는 축구화 전용 관리 프로그램입니다. 이 코스는 축구화 내의 세균과 습기를 제거하여 신선하게 유지하며, 오염과 냄새를 제거합니다. "
신발관리,집중 살균,116분 동안 강력하고 깨끗하게 살균하는 코스입니다.
신발관리,가죽 살균,가죽 신발을 섬세한 스팀으로 99분 동안 살균하는 코스입니다.
신발관리,눈비 건조,"젖은 신발을 건조하는 가장 기본적인 코스입니다. 눈,비 혹은 땀에 젖은 운동화를 건조할 때 사용하세요. 신발의 젖은 정도에 따라 시간이 최대 6시간까지 늘어날 수 있습니다."
신발관리,시간 건조,"가볍게 젖은 신발 혹은 특정한 시간 동안 건조할 때 사용하세요. 30분, 40분, 50분, 1시간, 1시간 30분, 2시간, 2시간 30분 중 원하는 시간을 선택하여 사용할 수 있습니다."
신발관리,UP 가전,"쓰고 있는 제품을 업데이트할 수 있는 기능입니다. 라이프스타일과 취향에 맞춰 업그레이드된 기능으로 매일 새롭고 더 좋은 경험을 하실 수 있습니다. 게다가 제품 사용 중에 불편이나 문제가 있을 때 새로운 기능을 알려주거나 문제를 해결해 주기도 합니다.
"
