제품군,항목명,설명
청소기,간편 비움 시스템,큰 먼지 분리 장치 주변의 먼지를 쉽게 제거할 수 있는 시스템입니다. 먼지 통을 비우기 전 손잡이 옆에 있는 레버를 아래로 내리면 큰 먼지망 주변의 먼지를 아래로 내려 가장자리의 먼지까지 쉽게 비울 수 있도록 도와줍니다.
청소기,스마트 인버터 모터,빠른 회전으로 공기 흐름을 생성하여 효율적이며 강력한 흡입력을 발휘합니다.
청소기,4단계 길이 조절 연장관,총 4단계 길이 조절이 가능한 파이프입니다. 제품 하단의 길이 조절 연장관 레버를 누르고 파이프를 당기거나 밀어서 길이를 조절할 수 있습니다.
청소기,5단계 미세먼지 차단 시스템,"청소기 내부로 들어온 미세먼지가 다시 배출되지 않게 도와줍니다. (1단계: 1차 터보 사이클론, 2단계: 금속망 필터, 3단계: 2차 터보 싸이클론, 4단계: 마이크로필터, 5단계: 고성능 배기필터)"
청소기,침구 흡입구,침구나 소파의 먼지를 제거하기에 적합한 흡입구입니다.
청소기,청소 이력 모니터링,"월 별 청소 시간, 청소 횟수 등 청소 기록을 확인할 수 있습니다."
청소기,스마트진단,제품의 고장 원인을 진단할 수 있는 기능입니다. 제품에 스마트 진단 로고가 있는 모델에만 적용되며 진단을 진행하는 동안 진단음이 발생하므로 상담원 연결 시에만 사용하시고 평상시에는 작동하지 마시기 바랍니다.
청소기,필터 청소 주기 알림,일정 시간 이상 사용 시 권장 필터 청소 시점을 알려주는 표시입니다. 청소 환경이나 방법에 따라 실제 필터의 오염 정도와 다를 수 있습니다.
청소기,필터 청소가이드,필터 청소 방법을 가이드합니다.
청소기,슬림 마루 흡입구,일반 마룻바닥을 청소하기에 적합한 흡입구입니다.
청소기,물걸레 흡입구,"청소 중 +버튼을 누르는 순간, 흡입과 물걸레 2가지 청소가 동시에 가능합니다."
청소기,"스마트 터보 (먼지,구석,카펫 감지)",청소 중 카펫을 올라가면 자동으로 카펫을 감지하여 강력한 흡입력으로 청소하는 기능입니다.
청소기,자동충전,"청소 중 배터리가 부족하면 자동으로 충전대로 이동하여 충전한 후, 청소가 멈춘 장소로 돌아가 이어서 계속 청소합니다.

*자동 충전 기능은 사용 환경에 따라 원활하게 작동하지 않을 수 있습니다."
청소기,사이드 브러시,2개의 긴 사이드 브러시가 벽면 모서리의 숨은 먼지까지 제거하여 구석까지 깨끗하게 청소합니다.
청소기,스마트 터보 기능,"청소 중 카펫을 올라가면 자동으로 카펫을 감지하여 강력한 흡입력으로 청소하는 기능입니다.
"
청소기,수동 청소,ThinQ 앱으로 원하는 장소로 이동시키며 청소할 수 있습니다.
청소기,LiDAR,자율주행 자동차에 사용되는 라이다 센서로 집 안의 구조와 위치를 정확하게 파악하여 빠르고 꼼꼼하게 청소할 수 있습니다.
청소기,청소 다이어리,"청소 다이어리에 로봇 청소기가 청소한 날짜, 시작과 종료 시간 등이 기록되고, 사용자는 청소 기록을 확인할 수 있습니다. 완료된 청소 목록을 누르면, 로봇 청소기가 청소하며 그린 지도와 경로도 확인할 수 있습니다."
청소기,청소예약,사용자가 원하는 시간에 청소 예약을 할 수 있습니다.
청소기,마이존,ThinQ 앱의 My Zone 기능을 통해 두 공간을 합치거나 한 공간의 영역을 나누는 등 원하는 구역만 청소하거나 청소 금지 영역을 설정할 수 있습니다.
청소기,듀얼 스핀 물걸레 청소,"주행 휠이 없어 바닥에 걸레가 밀착되고, 제품이 약 2kg의 무게로 걸레를 누르며 바닥을 닦아주기 때문에 더 깨끗한 물청소를 할 수 있습니다.

* 2020년 6월 기준, 청소 로봇 물통에 물을 가득 채운 후의 제품 총 무게는 약 2.3kg이며, 양쪽 물걸레에 닿는 평평한 바닥에 가해지는 무게는 약 2kg입니다.
* 제품과 양쪽 물걸레에 가해지는 무게는 제조 공정과 측정 환경에 따라 다를 수 있습니다.
* 카펫에는 물걸레 청소기가 올라가지 못하거나 손상될 수 있어 사용할 수 없습니다.
"
청소기,5단계 물공급량 조절 (ThinQ앱),"바닥 재질과 환경, 사용자의 청소 방법과 편의에 따라 물 공급을 조절할 수 있습니다.
 
*물 공급량은 LG ThinQ 앱에서 5단계로 조절 가능하며, 본체에서는 2단계로 조절 가능합니다."
청소기,퀵 청소,"이동 속도를 높이고 물걸레가 지나가는 간격을 넓혀 빠르게 청소합니다.

* 본체의 모드버튼을 통해 원하는 청소모드를 선택하여 간편하게 청소를 시작할 수 있습니다.
* 리모컨의 모드버튼으로도 변경 가능하며, M9 리모컨은 LG전자 베스트 샵 및 온라인몰을 통해 구입할 수 있습니다."
청소기,집중 청소,"사각 패턴으로 0.5cm x 0.5cm 공간 안에 오염이 심한 곳을 집중 청소합니다.

*청소가 끝나면 청소를 시작한 위치에서 멈춥니다.
*충전하고 있을 때는 집중 청소를 선택할 수 없습니다."
청소기,카메라 (상단부),"사람의 시야처럼 입체적인 시각으로 공간과 사물들의 특징점을 파악할 수 있어 보다 정확하게 위치를 인식하여 집안의 지도를 작성합니다.

* 자사 시험 결과, 그려진 집안의 지도는 사용 환경에 따라 실제 집안의 구조와 차이가 있을 수 있습니다."
청소기,카메라 (하단부),바닥을 촬영하여 이동 거리와 위치를 파악해 최적의 청소 경로를 찾아냅니다.
청소기,레이저 센서,"6개의 ToF 레이저 센서가 앞에 있는 장애물을 감지하고 거리를 측정하여 주행 속도를 줄입니다.

*레이저 센서가 제품 높이(약 90mm)보다 낮은 틈새 공간을 감지하면 피합니다. 
*자사 시험 결과, 장애물 및 틈새 공간 감지 성능은 장애물(침대, 소파, 가구, 얇은 장애물 등)의 모양과 재질(투명한 유리 등)에 따라 달라질 수 있습니다."
청소기,홈뷰,"LG ThinQ 앱을 켜기만 하면 집 밖에서도 원격으로 집 안 상황을 실시간으로 볼 수 있는 로봇 청소기의 기능입니다. 화면 전송이 시작되면, “화면 전송을 시작합니다”라는 음성 알림음이 나오고 2분마다 “촬영 중입니다”라는 음성 알림음이 나옵니다."
청소기,홈가드,"미리 지정해 놓은 위치에 움직임이 있을 경우 집 안 상황을 확인할 수 있도록 연속 촬영한 사진을 스마트폰으로 보내주는 기능입니다.
"
청소기,스마트 페어링,LG ThinQ 앱으로 기기를 미리 연결하면 LG 코드제로 오브제컬렉션 A9과 R9의 먼지 흡입 청소가 끝난 후 자동으로 LG 코드제로 M9이 물걸레 청소를 시작합니다.
청소기,흡입구,"일반 흡입구는 제품 본체나 길이 조절 파이프에 연결하여 사용할 수 있습니다. 일반 흡입구 외에도 마루 흡입구, 카펫 흡입구, 펫 흡입구 등의 파워드라이브 흡입구와 틈새 흡입구, 2 in 1 흡입구, 굳은 먼지 흡입구 등의 보조 흡입구도 사용할 수 있습니다."
청소기,보조 흡입구,"청소 상황에 맞게 보조 흡입구를 사용할 수 있습니다. 구석이나 틈새에 쌓인 먼지를 청소할 때 사용하는 틈새 흡입구, 청소 환경에 따라 기본형과 솔형으로 변형하여 사용하는 2 in 1 흡입구, 딱딱한 브러시로 굳은 먼지를 효과적으로 청소해주는 굳은 먼지 흡입구, 매트리스 위에 붙어 있는 먼지를 청소할 때 사용하는 매트리스 흡입구 등이 있습니다."
청소기,먼지통,별도로 먼지통을 분리하지 않고 청소기를 올인원타워에 거치한 후 위쪽 조작부에 먼지비움 시작 버튼을 누르면 자동으로 비워줍니다. 먼지비움모드를 자동으로 설정하면 매번 버튼을 누르지 않더라도 청소기를 거치할 때마다 알아서 먼지통을 비워줘 편리합니다.
청소기,자동먼지압축,"먼지통의 날개가 좌우로 움직여 압축해 3배 이상의 먼지를 담을 수 있고, 편리하게 처리할 수 있습니다.

* Intertek 시험 결과, 자사가 제시한 기준으로 최강 모드에서 실제 가정 환경 먼지를 먼지통이 가득 찰 때까지 흡입한 후와 자동먼지압축 기능을 쓰지 않은 제품으로 흡입한 먼지의 무게와 비교했을 때 압축률이 3배 이상임을 확인하였습니다.
* 압축률은 사용 환경에 따라 차이가 있을 수 있습니다."
청소기,소비전력,전기·전자기기가 운용되기 위해 필요한 단위 시간당 전기 에너지의 양을 말합니다. 단위는 W(와트) 또는 kW(킬로와트) 사용합니다.
청소기,연장관,4단계 길이 조절 연장관으로 손이 닿지 않는 높은 곳이나 청소가 어려운 낮은 곳도 누구나 어려움 없이 최적화해 사용할 수 있습니다.
청소기,백리스 방식,"소모품인 먼지봉투 대신 반영구적으로 사용할 수 있는 먼지통을 채용해 위생 기능을 강화하는 한편, 먼지봉투를 재구입하는 번거로움을 없앴습니다."
청소기,불어내기 기능,"창틀 내 먼지, 흡입구가 닿지 않는 곳이나 낙엽, 잔디 등은 청소기에서 나오는 바람으로 불어 청소할 수 있습니다. 바람이 나오는 제품 배기 구멍에 청소기 호스를 연결해 편리하게 사용할 수 있습니다."
청소기,머리카락 엉킴 방지,엉킴 방지 브러시를 장착하여 머리카락이 감기는 걸 줄일 수 있습니다.
청소기,UP가전,"쓰고 있는 제품을 업데이트할 수 있는 기능입니다. 라이프스타일과 취향에 맞춰 업그레이드된 기능으로 매일 새롭고 더 좋은 경험을 하실 수 있습니다. 게다가 제품 사용 중에 불편이나 문제가 있을 때 새로운 기능을 알려주거나 문제를 해결해 주기도 합니다.
"
