제품군,항목명,설명
에어컨,제품유형,"다양한 에어컨 유형 중 주거 환경에 따라 우리집에 어울리는 타입을 선택하시는 것을 추천 드립니다.

[2in1 vs 스탠드]
2in1이 경제적인 이유!
침실엔 에어컨이 없어도 될 것 같아 2in1과 스탠드 사이에서 고민하는 경우가 많습니다. 하지만 대부분 처음부터 2in1을 선택합니다. 따로 사면 실내기 2대와 실외기 2대의 가격이지만, 2in1은 실내기 2대에 실외기는 1대만 구매하면 되기 때문에 훨씬 경제적이고 설치도 편리합니다."
에어컨,냉방면적(스탠드+벽걸이)(m²),"에어컨을 구매하기 전 우리 집 면적을 먼저 확인해 주세요. 이때 기준은 집 전체 면적이 아니라 '에어컨을 설치할 공간'입니다. 침실이나 거실 등 에어컨을 설치할 공간을 고려해 적합한 면적의 에어컨을 구매하는 것이 냉방효율을 높일 수 있습니다.

TIP1.
점점 길어지고 폭염이 많아진 여름, 베란다 확장으로 거실이 넓어진 주거 트렌드를 고려했을 때 냉방면적이 조금 더 큰 에어컨을 추천합니다.

TIP2.
거실에 설치할 경우, 아파트는 공급면적의 1/2 이상. 주택/빌라는 전용면적의 2/3 이상.
방이나 원룸에 설치할 경우에는 해당 공간의 면적과 동일하게 선택하시는 것을 추천합니다."
에어컨,자동 청정 관리,바람이 지나가는 길을 알아서 청소하여 에어컨 안을 깨끗하게 유지해 줍니다
에어컨,셀프 청정 관리,원할 때는 내부를 열어 모든 팬을 직접 청소할 수 있는 셀프 청정관리가 가능합니다.
에어컨,PM 1.0 센서,아주 작은 극초미세먼지까지 실시간으로 정밀하게 잡아낼 수 있는 PM 1.0 센서가 탑재되어 오염된 공기가 감지되면 공기청정 기능을 작동해 실내 공기를 깨끗하게 만들어 줍니다.
에어컨,집진 이오나이저,에어컨에서 먼지를 모으는 장치입니다. 제품 뒷면 필터의 가운데 부분에 위치하고 있습니다. 플러스 필터 주변에 이온을 생성하여 먼지를 모으고 모인 먼지가 필터에 달라붙어 집진하여 실내 공기를 깨끗하게 유지하는 데 도움을 줍니다. 
에어컨,CAC 인증,한국공기청정협회에서 소비자에게 신뢰성 있는 공기청정 에어컨디셔너 제품을 제공하기 위하여 제품의 공기청정 성능에 대해서 본 협회가 제정한 공기청정 에어컨디셔너 표준(KACA-CAC-2011)의 인증심사기준에 따라 엄격히 심사를 한 후 적합으로 판정을 받은 제품에게만 부여하는 단체품질 인증마크 입니다.
에어컨,필터클린봇,"냉방 성능 유지를 위해 극세필터에 쌓인 먼지를 일주일에 한 번씩 알아서 청소해 주는 기능입니다 (하루 8시간 사용 기준). 먼지 필터를 위아래로 움직여 청소하며 휘센 타워 기준 약 6분 30초 소요됩니다. 기기 기본 기능으로 설정되어 있고 해제는 리모컨으로 가능합니다.

*먼지통의 먼지는 6개월마다 비우기를 권장합니다.
"
에어컨,바람세기,원하는 바람 세기를 간편하게 조절할 수 있습니다. 바람세기 버튼을 누를 때마다 약풍-중풍-강풍-자연풍 순으로 반복됩니다.
에어컨,한쪽바람,"에어컨의 왼쪽, 오른쪽 중 한쪽으로만 바람을 보내는 냉방 기능입니다. 
에어컨 바로 옆에 앉아있더라도 왼쪽, 오른쪽 내 마음대로 한쪽으로만 바람을 보낼 수 있어 
직접 닿는 바람 없이 시원함과 쾌적함을 오래 유지할 수 있습니다."
