제품군,항목명,설명
광파오븐전자레인지,스마트 인버터, 조리에 필요한 만큼만 화력을 내도록 섬세하게 조절하여 음식을 균일하게 조리할 수 있고 에너지 낭비를 줄일 수 있습니다.
광파오븐전자레인지,스팀,"세균, 유해물질, 알레르기 유발물질 등을 고온의 스팀으로 살균 및 제거해 주는 기능입니다."
광파오븐전자레인지,잊음방지 기능,요리가 끝나 음식을 꺼내야 될 때 알려 주는 기능입니다.
광파오븐전자레인지,절전 기능,사용하지 않을 때 실내 등과 진행표시부가 자동으로 꺼져 전기료 부담이 줄어듭니다
광파오븐전자레인지,잠금,조작부 기능을 정지시켜 어린이가 실수로 조작하여 발생할 수 있는 사고나 고장 등을 방지합니다. 
광파오븐전자레인지,Auto Cool 기능,요리 종료 후 제품 내부 부품의 열기를 식혀주기 위해 약 5분 동안 냉각팬이 작동될 수 있습니다. (경우에 따라 냉각 시간이 늘어날 수 있습니다.)
광파오븐전자레인지,이지클린(항균처리),"항균처리로 세균번식을 최소화하고, 코팅 구조내에 기름이 침투할 수 있는 공간이 좁기 때문에 청소가 간편합니다.
"
광파오븐전자레인지,디스플레이,제품 조작 및 작동상태를 확인 할 수 있는 화면입니다. 
광파오븐전자레인지,ThinQ,"ThinQ 앱으로 원하는 요리 레시피를 선택하시면 해당 요리에 맞는 오븐의 온도 및 시간, 필요한 정수기 물의 양은 물론 식기세척기 추천 코스까지 알아서 설정해 줍니다.

*요리 레시피는 ThinQ 광파오븐 연결 시에만 가능합니다.
* LG ThinQ 앱에서 사용가능(안드로이드 OS 7.0이상, iOS 14.0이상)"
광파오븐전자레인지,스마트진단,제품의 고장 원인을 진단할 수 있는 기능입니다. 제품에 스마트 진단 로고가 있는 모델에만 적용되며 진단을 진행하는 동안 진단음이 발생하므로 상담원 연결 시에만 사용하시고 평상시에는 작동하지 마시기 바랍니다.
광파오븐전자레인지,해동,"냉동된 상태의 육류, 생선류 등을 영양소 손실은 최소화하며 녹일 수 있는 기능 입니다. 해동할 식품의 무게(g)에 따라 해동시간이 달라집니다. "
광파오븐전자레인지,에어프라이,에어프라이어와 유사하게 공기를 가열하고 가열 공기의 순환을 통해 기름 없는 튀김요리를 도와주는 기능입니다.						
광파오븐전자레인지,레인지기능,고주파로 식품을 조리하는 기능으로 음식을 짧은 시간에 끓이거나 데울 수 있고 내부까지 고루 익게 도와줍니다.
광파오븐전자레인지,그릴기능,제품 내부에 부착된 히터를 이용하여 음식물의 표면을 노릇노릇하게 구워주는 기능입니다.
광파오븐전자레인지,식품건조,"식품의 수분을 제거하여 채소, 과일, 육류 등의 맛과 영양을 신선하게 저장할 수 있는 기능 입니다."
광파오븐전자레인지,발효기능,온도를 미세하게 제어해 반죽이나 요구르트 발효를 도와주는 기능입니다. 제품에 따라 발효 대상과 소요 시간이 다를 수 있습니다.
광파오븐전자레인지,슬로우쿡,낮은 온도로 천천히 요리하여 영양소 파괴는 줄이면서 맛있게 조리할 수 있는 기능 입니다.
광파오븐전자레인지,스팀요리,"스팀을 이용하여 야채, 생선, 떡 등을 촉촉하게 요리하는 기능입니다."
광파오븐전자레인지,토스트,간편하게 토스트를 조리할 수 있는 기능입니다.
광파오븐전자레인지,스팀토스트,"[자동요리 토스트] 기능이 갓 구운 빵의 풍미가 가득한 토스트를 자동으로 완성시켜줍니다. 토스트뿐만 아니라 베이글, 마늘빵, 피자 토스트 등 다양하게 선택해 요리할 수 있습니다. "
광파오븐전자레인지,자동요리,"밥, 계란찜, 찌개 등 내가 하고자 하는 요리에 맞게 자동으로 조리해 주는 기능입니다. 제품별로 적용되는 자동요리 메뉴가 다를 수 있습니다."
광파오븐전자레인지,젖병 소독,젖병에 물 50ml를 넣습니다. 꼭지부는 물 90ml 정도를 담은 내열용기에 넣고 생활지혜에서 젖병소독을 선택합니다. 문을 닫고 시작/선택 버튼을 누르면 젖병소독이 시작됩니다.
광파오븐전자레인지,높은 석쇠,그릴 기능으로 얇은 육류나 생선을 요리할 때 사용할 수 있습니다.
광파오븐전자레인지,낮은 석쇠,오븐 기능으로 부피가 큰 요리를 할 때 사용할 수 있습니다.
광파오븐전자레인지,출력조절(W),"출력을 강,중,약 등 단계별로 조절 할 수 있는 기능입니다. 
간편 조리 출력은 기본적으로 700W로 설정되어 있습니다.
설정 변경을 원하시면 매뉴얼내 ""간편조리"" 안내 부분을 참고 하세요."
