제품군,항목명,설명
김치냉장고,매직스페이스,"자주 먹는 음식, 음료를 냉장고 문을 다 열지 않고도 쉽고 편하게 꺼낼 수 있게 해주는 LG 냉장고만의 수납공간입니다. 양문형 냉장고, 김치냉장고 등 다양한 제품에 적용되어 있습니다."
김치냉장고,정온기능, ±0.5˚C 의 온도 편차로 24시간 동안 내부 온도를 유지시켜 냉장실 속 식재료들을 신선하게 보관해줍니다.
김치냉장고,좌/우 가변도어,"도어의 핸들 방향을 왼쪽 또는 오른쪽으로 변경하여 편리하게 사용할 수 있습니다.

* 최초 설치 시 무상으로 핸들방향 변경이 가능하며, 사용 중에 도어 방향 변경을 원할 경우 서비스 센터로 접수해 유상으로 변경할 수 있습니다. 제공된 힌지를 분실한 경우 부품비가 추가 발생됩니다."
김치냉장고,도어쿨링⁺,외부 온도에 가장 취약한 냉장고 도어 쪽에 냉기를 보내 주는 LG DIOS만의 기술입니다. 냉장실 위쪽에 있는 전용 냉기홀을 통해 냉기를 보내 도어 쪽 식품의 신선함을 책임집니다.
김치냉장고,컴프레서,"기체를 피스톤 운동으로 압축시켜 압력을 높이는 장치입니다. 액체를 압축시키는 펌프와 같은 원리로 공기를 압축한 힘으로 냉장고, 에어컨, 보일러 등의 제품을 작동할 수 있게 만들어 줍니다."
김치냉장고,스마트 진단,제품의 고장 원인을 진단할 수 있는 기능입니다. 제품에 스마트 진단 로고가 있는 모델에만 적용되며 진단을 진행하는 동안 진단음이 발생하므로 상담원 연결 시에만 사용하시고 평상시에는 작동하지 마시기 바랍니다.
김치냉장고,강화유리 선반,4도어 냉장고 선반 한 개당 면적 대비 20-25kg까지의 무게를 견딜 수 있습니다. 강철 앵글로 전체 무게는 걱정하지 않아도 되지만 한 곳에만 집중적으로 무게가 가해지면 강화 유리가 파손될 수 있습니다.
김치냉장고,유산균가드,김치냉장고 바깥에서 들어오는 더운 공기는 막고 안의 냉기는 보호하는 LG DIOS 김치 톡톡만의 기술입니다. 냉장고 상단과 하단 부분에 적용되어 식재료의 신선함을 오래오래 지켜줍니다. *상단 하단 적용 여부는 모델에 따라 상이 합니다.
김치냉장고,냉기지킴가드,김치냉장고 바깥에서 들어오는 더운 공기는 막고 안의 냉기는 보호하는 LG DIOS 김치 톡톡만의 기술입니다. 냉장고 상단과 하단 부분에 적용되어 식재료의 신선함을 오래오래 지켜줍니다. *상단 하단 적용 여부는 모델에 따라 상이 합니다.
김치냉장고,익힘,갓 담근 김치를 빠르고 맛있게 익힐 수 있는 기능입니다.
김치냉장고,맛지킴 김치,"지금 그대로의 김치 맛을 유지하고 싶을 때 천천히 익게 만들어 주는 기능입니다. 갓 담근 김치의 맛, 딱 알맞게 익은 김치의 맛 등을 유지해 주며 김치 염도에 따라 온도의 세기를 다르게 설정해 다양한 김치를 최적의 상태로 보관할 수 있습니다."
김치냉장고,구입 김치,구입해 온 김치도 오랫동안 맛있게 보관할 수 있게 해주는 기능입니다.
김치냉장고,오래 보관,"오래 보관하고 먹을 김치 또는 덜 익은 새 김치 맛을 선호할 경우에 사용하는 기능입니다. 쿨링샷을 일정한 간격으로 분사해 낮은 온도를 유지, 맛의 변화를 최소화하여 김치가 얼거나, 맛이 변할 걱정 없이 김치를 오랫동안 보관할 수 있습니다."
김치냉장고,New 유산균김치⁺,김치에 시원한 맛을 내는 유산균  '류코노스톡'이 가장 잘 자라는 온도를 유지시켜 김치 맛을 올려주는 맞춤 보관기술입니다.
김치냉장고,유산균 인디케이터,유산균 디스플레이를 통해 유산균의 변화를 직접 눈으로 보면서 김치가 맛있게 익어가는 과정을 확인할 수 있습니다.
김치냉장고,인공지능 맞춤보관,"LG전자와 포장 김치 제조사가 함께 개발한 김치냉장고가 포장 김치를 알아서 맛있게 만들어 주는 LG DIOS만의 익힘/보관 기능입니다. ThinQ 앱에 포장 김치 바코드를 등록하고 제조일자를 입력하면 냉장고가 알아서 시원하고 맛있는 김치를 만드는 알고리즘을 적용합니다.

*김치 제품 일부에 한해 사용 가능합니다
"
김치냉장고,원격제어,ThinQ 앱의 원격제어를 이용하면 냉장고 온도와 설정을 집 밖에서 이용할 수 있습니다.
김치냉장고,칸칸 On/Off,칸 별로 전원을 켜고 끌 수 있기 때문에 사용하지 않는 칸은 꺼둘 수 있어 전기 요금을 절약할 수 있습니다.
김치냉장고,냉동 전환기능,"김치 저장 공간을 냉동 모드로 바꾸는 기능입니다.
계절이나 보관 식품에 따라 김치냉장고를 냉동실로 전환해 효율적으로 사용할 수 있습니다."
김치냉장고,냉장 전환기능,"김치 저장 공간을 냉장 모드로 바꾸는 기능입니다.
식재료에 따라 김치냉장고를 냉장실로 전환해 사용할 수 있습니다. "
김치냉장고,쌀/잡곡 보관,"최적의 온도와 수분량으로 쌀, 잡곡 등의 곡물을 편리하게 보관할 수 있는 기능으로 쌀벌레가 생기는 것을 방지할 수 있습니다."
김치냉장고,야채/과일,수분 유지 시스템으로 야채나 과일을 신선하게 보관할 수 있는 기능입니다.
김치냉장고,쿨링 케어,바람을 주기적으로 내보내 냉장고 온도를 일정하게 유지시켜주는 기능입니다.
