제품군,항목명,설명
냉장고,설치타입,"프리스탠딩 타입
단독 설치가 가능한 타입으로 냉장고장이나 다른 공간에도 자유롭게 배치가 가능합니다. 빌트인 타입에 비해 용량이 크지만 냉장고장에 설치할 경우 앞 부분이 튀어나와 보일 수 있습니다.

빌트인 타입
키친 가구와 어울리게 툭 튀어나오지 않도록 깊이를 맞출 수 있습니다. 냉장고 용량이 크지 않더라도 키친 가구와 라인이 맞는 냉장고를 원하는 분께 추천 드립니다. 마치 원래 그 자리에 있던 것처럼 조화롭게 배치 할 수 있습니다.

Fit & Max 타입
키친 가구와 라인을 맞추는 것 뿐만 아니라 제로클리어런스 힌지로 도어 돌출량을 제로로 구현하였습니다. 가구장과의 빈틈을 최소화하여 조화로운 디자인으로 공간가전의 새로운 기준을 제시합니다."
냉장고,타입,"상냉장/하냉동
자주 사용하는 냉장실이 위쪽에 있습니다. 허리를 숙일 필요가 없어 편리하고 위쪽 칸은 모두 냉장실로 활용 가능 합니다.​ 특히 칸막이 없이 탁 트여 있기 때문에​ 크기가 큰 식자재를 넣을 수 있고​ 자유자재로 움직일 수 있어 보관도 용이합니다. 양문형 냉장고보다 보관 용량이 큰 편입니다.

양문형
2도어 타입의 양문형 냉장고는 왼쪽이 냉동칸, 오른쪽이 냉장칸으로 되어 있습니다. 냉장고의 전통적인 타입으로​ 냉동실도 냉장실만큼 자주 사용하는 분들께 추천합니다. 요즘에는 양문형보다 상냉장/하냉동을 많이 찾는 추세입니다.

얼음정수기형
냉장고와 얼음정수기가​ 합해진 형태로 상냉장/하냉동 타입도 있고, 양문형 타입도 있습니다.​ 각얼음, 조각얼음, 크래프트 아이스*까지​ 세 가지 모양의 얼음을 사용해 특별한 레시피와 다양한 음료를 즐길 수 있습니다. * 크래프트 아이스는 오브제컬렉션 얼음정수기 냉장고에 한함​

일반형
일반형 냉장고는 보관 용량이 크지 않기 때문에 1인 가구에서 많이 사용 합니다.​ 라이프스타일에 따라 상냉장/하냉동 타입도 선택할 수 있습니다. 유행을 타지 않는 스타일로 실속이 중요한 싱글가구에 추천합니다.​ 요즘에는 일반형도 상냉장/하냉동 타입이 인기입니다.

"
냉장고,특급냉동,특급 냉동은 냉동실에 보관된 식품을 빨리 얼리고 싶을 때 사용하는 기능입니다.
냉장고,멀티덕트,단열 칸막이 벽의 내부에 형성되어 있는 멀티덕트는 냉동실의 냉기를 냉장실로 보내어 냉기 속도 분포를 균일하게 유지시켜줍니다.
냉장고,매직스페이스,"자주 먹는 음식, 음료를 냉장고 문을 다 열지 않고도 쉽고 편하게 꺼낼 수 있게 해주는 LG 냉장고만의 수납공간입니다. 양문형 냉장고, 김치냉장고 등 다양한 제품에 적용되어 있습니다."
냉장고,정온기능, ±0.5˚C 의 온도 편차로 24시간 동안 내부 온도를 유지시켜 냉장실 속 식재료들을 신선하게 보관해줍니다.
냉장고,노크온 기능,LG 냉장고에만 있는 특별한 기능으로 냉장고 문을 두드리기만 하면 냉장고 안을 확인할 수 있습니다. 문을 열지 않고도 안을 볼 수 있어 내부 온도를 잘 유지할 수 있고 불필요하게 냉기가 빠져나가는 것도 방지할 수 있습니다.
냉장고,도어쿨링⁺,외부 온도에 가장 취약한 냉장고 도어 쪽에 냉기를 보내 주는 LG DIOS만의 기술입니다. 냉장실 위쪽에 있는 전용 냉기홀을 통해 냉기를 보내 도어 쪽 식품의 신선함을 책임집니다.
냉장고,냉각방식," 직냉식 (직접냉각방식)
  : 내부 벽면 혹은 천장에 달린 냉각 코일에서 발생한 찬 공기가 자연 대류 현상으로 냉각하는 방식입니다.
    냉각 코일이 있는 곳에 성에가 발생하며, 주기적으로 직접 성에 제거가 필요합니다.

 멀티냉각방식 (간접냉각방식)
  : 냉장고 내 후면 안쪽에 장착된 냉각기에서 발생한 찬 공기를 팬으로 강제 순환시켜 냉각하는 방식입니다.
    냉각기에 성에가 발생하지만 자동 제상기능이 주기적으로 성에를 제거해 줍니다."
냉장고,컴프레서,"기체를 피스톤 운동으로 압축시켜 압력을 높이는 장치입니다. 액체를 압축시키는 펌프와 같은 원리로 공기를 압축한 힘으로 냉장고, 에어컨, 보일러 등의 제품을 작동할 수 있게 만들어 줍니다."
