제품군,항목명,설명
정수기,가열 방식,"LG전자 정수기는 면상 발열 히터와 인덕션 히터를 사용합니다.
면상 발열 히터는 직수형 순간 온수 가열방식으로, 에너지 효율이 높고 추출량이 일정한 가정용 정수기에 적합합니다.
인덕션 히터는 전자기 유도 방식으로, 금속을 직접 가열하기 때문에 열 손실이 적어 전력 효율이 좋습니다.
"
정수기,정수 연속,"연속 출수는 한 번에 최대 3분간 사용할 수 있으며, 연속 출수 중 다른 버튼을 누르면 출수가 멈춥니다."
정수기,냉수 연속,"연속 출수는 한 번에 최대 3분간 사용할 수 있으며, 연속 출수 중 다른 버튼을 누르면 출수가 멈춥니다."
정수기,정량 출수 (mL),필요한 용량만큼 정확한 양의 물을 출수합니다.
정수기,청정램프,"정수기 출수버튼 또는 정면에 물방울 그림이 그려진 LG 퓨리케어 정수기의 램프로 컬러를 통해 정수기 필터 교체 시기를 알 수 있게 해줍니다. 필터 교체가 필요하면 램프의 컬러가 파랑에서 주황으로 바뀌게 되고 방문 주기 이전이라도 1544-7777으로 연락하면 교체를 받을 수 있습니다.
(라이트온 정수기는 램프 컬러가 흰색에서 주황으로 변경되며 제품에 따라 컬러는 상이할 수 있음)"
정수기,인버터 컴프레서,"필요에 따라 상황에 따라 효율적으로 알아서 에너지 사용을 조절하는 컴프레서입니다. 전원을 끄고 켜는 것으로만 에너지 조절이 가능한 일반 컴프레서와 달리 에너지 사용이 많이 필요할 때는 많이, 적게 필요할 때는 적게 쓰기 때문에 소음은 줄이고 에너지를 효율은 높일 수 있습니다."
정수기,음성 안내,정수기의 상태나 동작을 음성으로 알려주는 기능입니다.
정수기,음성 인식,"음성으로 출수가 되는 기능입니다.
음성으로 원하는 용량의 물을 받을 수 있으며, 설정된 온도와 용량의 물을 다시 받을 수 있습니다.
필요한 물의 양을 10ml 단위로 자유롭게 말하면 되므로, 요리 중이거나 손이 자유롭지 않을 때도 버튼을 누를 필요 없이 편리하게 이용할 수 있습니다.

* 음성인식 기능을 켜려면 ThinQ 앱이 연결되어 있어야 하며, 기능을 사용할 때도 지속적으로 Wi-Fi 연결이 되어 있어야 합니다.

"
정수기,UP 가전,"쓰고 있는 제품을 업데이트할 수 있는 기능입니다. 라이프스타일과 취향에 맞춰 업그레이드된 기능으로 매일 새롭고 더 좋은 경험을 하실 수 있습니다. 게다가 제품 사용 중에 불편이나 문제가 있을 때 새로운 기능을 알려주거나 문제를 해결해 주기도 합니다.
"
정수기,로테이션 트레이,좌우로 회전되는 물받이로 물을 받는 용기의 크기 제약을 줄여줍니다.
정수기,얼음 저장 용량,"얼음 저장 용량은 얼음정수기가 저장할 수 있는 최대 저장량을 측정한 내부 시험 데이터이며,
쌓인 얼음이 만빙센서까지 도달할 경우 추출한 얼음량을 기준으로 측정되었습니다.
실제 얼음 저장 용량은 실사용 환경과 저빙고 내 얼음 상황에 따라 차이가 있을 수 있습니다."
정수기,일 제빙량,"일 제빙량은 얼음정수기가 하루 최대 만들 수 있는 얼음의 양을 측정한 내부 시험 데이터이며,
원수 온도 15℃에 냉수 미출수 조건 기준으로 측정되었습니다.
실 사용 환경에 따라 제빙량은 달라질 수 있습니다."
