제품군,항목명,설명
컨버터블 패키,디스플레이,제품 조작 및 작동상태를 확인 할 수 있는 화면입니다. 
컨버터블 패키,좌/우 가변도어,"도어의 핸들 방향을 왼쪽 또는 오른쪽으로 변경하여 편리하게 사용할 수 있습니다.

* 도어 열림 방향에 맞는 패널을 별도 구매해야 합니다.
* 최초 주문 시 반드시 모델명 별 제품의 열림 방향을 확인하여 구매해 주세요.
* 완제품 모델명의 경우, 모델명 끝 SK모델: 우터치/우열림, 그외 모델명: 좌터치/좌열림입니다. (SK모델은 제품 설치 시 설치 기사가 본체의 열림방향을 변경합니다.)
* 반제품 모델로 패널과 개별 구매 할 경우, 원하시는 열림 방향에 맞게 패널을 구매하셔야 합니다. (우터치/우열림 : 패널모델명 TR, 좌터치/좌열림 : 패널모델명 TL)
* 패널을 맞게 구매하셨다면 최초 설치 시에는 무상으로 패널의 열림 방향에 맞게 설치기사가 본체의 열림방향을 변경해 설치가 진행됩니다.
* 사용 중 도어 방향을 변경을 원하시는 경우에는 먼저 구매처 혹은 가까운 베스트샵에서 열림 방향에 맞는 패널과 설치비용을 유상 지불하시면 변경이 가능합니다.
* 제공된 힌지를 분실한 경우 부품비가 추가 발생됩니다."
컨버터블 패키,컴프레서,"기체를 피스톤 운동으로 압축시켜 압력을 높이는 장치입니다. 액체를 압축시키는 펌프와 같은 원리로 공기를 압축한 힘으로 냉장고, 에어컨, 보일러 등의 제품을 작동할 수 있게 만들어 줍니다."
컨버터블 패키,페어설치키트,설치 키트를 사용해 설치하면 냉장고 사이의 틈새를 메워 주어 빌트인 제품처럼 일체감 있는 설치가 가능합니다.
컨버터블 패키,스마트진단,제품의 고장 원인을 진단할 수 있는 기능입니다. 제품에 스마트 진단 로고가 있는 모델에만 적용되며 진단을 진행하는 동안 진단음이 발생하므로 상담원 연결 시에만 사용하시고 평상시에는 작동하지 마시기 바랍니다.
컨버터블 패키,초기온도 (냉동),"냉동실 초기 설정 온도는 [중] 또는 -18˚C, -20˚C으로 [약/강] 또는 -15˚C~-23˚C 사이로 조절 가능합니다."
컨버터블 패키,냉각방식,LG 김치 냉장고는 디지털 인버터 컴프레서와 멀티 에어 플로우 시스템을 사용하여 냉장고 내부 온도를 정밀하게 조절하고 냉기를 균일하게 분배합니다. 이를 통해 김치와 다른 식품을 신선하게 보관하며 음식물의 품질을 최대한 유지할 수 있습니다.
컨버터블 패키,특급냉동,특급 냉동은 냉동실에 보관된 식품을 빨리 얼리고 싶을 때 사용하는 기능입니다.
컨버터블 패키,아이스메이커,얼음틀을 꺼내어 물을 붓지 않아도 쉽게 얼음을 만들 수 있습니다.
컨버터블 패키,타입,"상냉장/하냉동
자주 사용하는 냉장실이 위쪽에 있습니다. 허리를 숙일 필요가 없어 편리하고 위쪽 칸은 모두 냉장실로 활용 가능 합니다.​ 특히 칸막이 없이 탁 트여 있기 때문에​ 크기가 큰 식자재를 넣을 수 있고​ 자유자재로 움직일 수 있어 보관도 용이합니다. 양문형 냉장고보다 보관 용량이 큰 편입니다.

양문형
2도어 타입의 양문형 냉장고는 왼쪽이 냉동칸, 오른쪽이 냉장칸으로 되어 있습니다. 냉장고의 전통적인 타입으로​ 냉동실도 냉장실만큼 자주 사용하는 분들께 추천합니다. 요즘에는 양문형보다 상냉장/하냉동을 많이 찾는 추세입니다.

얼음정수기형
냉장고와 얼음정수기가​ 합해진 형태로 상냉장/하냉동 타입도 있고, 양문형 타입도 있습니다.​ 각얼음, 조각얼음, 크래프트 아이스*까지​ 세 가지 모양의 얼음을 사용해 특별한 레시피와 다양한 음료를 즐길 수 있습니다. * 크래프트 아이스는 오브제컬렉션 얼음정수기 냉장고에 한함​

일반형
일반형 냉장고는 보관 용량이 크지 않기 때문에 1인 가구에서 많이 사용 합니다.​ 라이프스타일에 따라 상냉장/하냉동 타입도 선택할 수 있습니다. 유행을 타지 않는 스타일로 실속이 중요한 싱글가구에 추천합니다.​ 요즘에는 일반형도 상냉장/하냉동 타입이 인기입니다.

"
컨버터블 패키,초기온도 (냉장),냉장실 초기 설정 온도는 3˚C이며 0˚C에서 6˚C까지 조절이 가능합니다.
컨버터블 패키,정온기능,±0.3℃ 온도편차로 정온을 유지해 식재료와 김치를 신선하게 보관할 수 있습니다.
컨버터블 패키,특급냉장,특급 냉장은 냉장실에 보관된 식품을 빨리 시원하게 만들고 싶을 때 사용하는 기능입니다.
컨버터블 패키,도어쿨링,도어 쪽 식품도 신선하게 보관할 수 있도록 냉기를 순환시키는 기술입니다.
컨버터블 패키,야채실,야채와 과일을 다른 식품들과 분리하여 신선하게 보관할 수 있는 공간입니다.
