제품군,URL,제품명,모델명,상태,정가,판매가,최대혜택가,구매혜택안내,6년구독가격,최대혜택구독가격,평점,이미지리스트,해상도,밝기,최대 화면 크기,화면 투사 방식,"100"" 기준 벽면-제품간 거리",무선 사운드 연결,무선 컨텐츠 연결,HDMI (ARC),USB,RJ45,Optical Audio Out,키스톤,줌,렌즈Shift,포커스조절,일반리모컨,설명서,광원,명암비,HDR,어탭티브 콘트라스트,최소 절전/중간 절전/ 최대 절전 [dB(A)],무게 (kg),"크기 (WxHxD, mm)",WIFI,스마트(OS),품명 및 모델명,KC 인증 필 유무,KC인증조회,정격전압,소비전력 (W),동일 모델의 출시년월,제조국,품질보증기준,A/S책임자와 전화번호,"제조자, 수입자",사운드,안테나 In (RF in),HDMI,USB 파일뷰어,초고속 on/off,매직리모컨,비고,"크기 (WxHxD, mm) * 받침다리 포함","크기 (WxHxD, mm) * 받침다리 제외",RS-232C,12V Trigger,웹OS,클리어 보이스 III,돌비 서라운드,Headphone,수명,HDTV,무게,구성품,화면 대각선 크기,벽면-제품간 거리,포커스 조절,채널수,출력,패시브 래디에이터,제조자(수입자),KC 인증조회,색상,재질,높이,판매자,고객센터 상담시간,서라운드 시스템,오토캘리브레이션 (Auto Calibration),Iris 모드,트루모션,리얼시네마 *,사이즈(LxHxW),광원 방식,광원 수명,밝기(안시루멘),투사율,렌즈 시프트,프로젝션 오프셋,"소음 (db, 에너지세이빙 모드시, Typ.)","소음 (db, 에너지세이빙 Off시, Typ.)",렌즈 줌 배율,렌즈 포커스 조정 방법,디지털 키스톤 보정,오토 키스톤,화면비율 (종횡비),DICOM 모드,Blank 기능,이미지 반전 기능,엣지 블랜딩 기능,타일 모드 (화면연계 구현),PIP,POP,데이지 체인,LG 사운드싱크(사운드바 연결),Audio Out,USB 2.0,IP control,HDBaseT,디지털 신호범위(HDMI),RS-232C(in),RS-232C(out),HDMI(in),HDMI(out),Mic in,HDCP,HDMI ARC 지원,HDMI CEC 지원,방진 기능,에너지세이빙 모드,Auto Off / Auto Sleep,전원 On/Off 시간 설정 기능,전원 대기/Off 자동 설정 기능,제품 외관 색상,제품 Local Key,켄싱턴락,리모컨,사용자 매뉴얼,퀵 가이드,워런티 카드,RS232C 케이블,파워코드,포장 외관 크기 (mm) (W x D x H),"포장 전체 무게 (제품 포함, kg)",무선화면공유 (무선 미러링),콘텐츠 공유 (DLNA지원기기),Plug & Play (자동 입력 감지 RGB/DVI/HDMI),내장 메모리,소비 전력 (Max.),대기 전력,화면 크기 (대각선 기준),Screen Share,LG 사운드 Sync,Plug & Play,DLNS,Zoom,웹 OS,절전모드 지원
프로젝터,https://www.lge.co.kr/projectors/pu615u,LG 시네빔 쇼츠 (빔프로젝터)초단초점,PU615U,판매중,"1,791,000원","1,790,000원","1,571,700원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.8,"['https://www.lge.co.kr/kr/images/projectors/md10636826/gallery/small-interior03.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10636826/gallery/PU615U_02.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10636826/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10636826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10636826/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10636826/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10636826/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10636826/gallery/small07.jpg']",4K UHD (3840 x 2160),500 안시 루멘,101.6cm ~ 254.0cm (스크린 40 ~ 100 inch),초단초점,"100"" 0.39m",O,"O (미라캐스트, AirPlay 2)",eARC,O (USB Type-C x 2),X,X,오토 키스톤 / 수동 키스톤 (4/9/15 포인트 와핑),Fixed,-,O,O,O,RGB Laser,"450,000:1","O  (HDR10, HLG, HDR 다이내믹 톤 조정)",-,29/27/25,1.9,110 x 160 x 160,O,webOS 24,LG 시네빔 쇼츠 (PU615U) 빔프로젝터,KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-PU615U (전자파 적합등록),공정거래위원회(소비자24)제공 인증정보 조회,100-240 V ~ 50/60 Hz,65,2025-07,한국 / 중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/hu915qe,LG 시네빔 Laser 4K초단초점,HU915QE,판매중,"6,291,000원","4,990,000원","4,473,300원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.8,"['https://www.lge.co.kr/kr/images/projectors/md09137834/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09137834/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09137834/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09137834/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09137834/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09137834/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09137834/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09137834/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09137834/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09137834/gallery/small09.jpg']",4K UHD (3840 x 2160),"3,000 ANSI Lumen* / 3,700 Lumen*** ANSI Lumen : 미국표준협회(ANSI) 표준에 의한 프로젝터 밝기 단위이며, 최대밝기 조건에서 측정한 결과임.** Lumen : 고효율 광원의 프로젝터에서 고객이 인지하는 밝기이며, 자사시험기준으로 평가한 상대적 체감 밝기임.",305 cm (스크린 120),초단초점,,○ (Bluetooth),"O (스크린쉐어, AirPlay 2)",,O (USB2.0 x2),O (RJ45 x1),O (S/PDIF x1),O (4 / 9 / 15 포인트 와핑-수동),,,O,,O,3채널 레이저,"2,000,000:1","O  (HDR10, HLG, HDR 다이내믹 톤 조정)",O,30/28/26,12.2,,O,webOS 6.0,DLP Projector (HU915QE),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-HU915QE (전자파 적합등록)ZK10007-22001 (전기용품 안전확인),공정거래위원회(소비자24)제공 인증정보 조회,100-240 V ~ 50/60 Hz,350,2022-05,한국 / 중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자(주),40 W (2.2 ch),X,"O (HDMI 2.0 x 2, HDMI 2.1 x 1)",O,O,O (인공지능 라이팅 리모콘),"* Screen Share : Miracast 지원 기기와 무선 미러링 지원* 크기: 돌출된 투사렌즈부, 튜너 등 제외한 규격임",680 x 139 x 347,680 x 128 x 347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/hu715qp,LG 시네빔 Laser 4K초단초점,HU715QP,판매중,"3,691,000원","2,790,000원","2,483,100원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/projectors/md09120827/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09120827/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09120827/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09120827/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09120827/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09120827/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09120827/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09120827/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09120827/gallery/small08.jpg']",4K UHD (3840 x 2160),"2,000 ANSI Lumen* / 2,500 Lumen*** ANSI Lumen : 미국표준협회(ANSI) 표준에 의한 프로젝터 밝기 단위이며, 최대밝기 조건에서 측정한 결과임.** Lumen : 고효율 광원의 프로젝터에서 고객이 인지하는 밝기이며, 자사시험기준으로 평가한 상대적 체감 밝기임.",305 cm (스크린 120),초단초점,,○ (Bluetooth),"O (미라캐스트, AirPlay 2)",,O (USB2.0 x2),O (RJ45 x1),O (S/PDIF x1),O (4 / 9 / 15 포인트 와핑-수동),,,O,,O,싱글 레이저,"2,000,000:1","O  (HDR10, HLG, HDR 다이내믹 톤 조정)",O,30/28/26,12,,O,webOS 6.0,DLP Projector (HU715QP),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-HU715QW (전자파 적합등록)ZK10007-21002 (전기용품 안전확인),공정거래위원회(소비자24)제공 인증정보 조회,100-240 V ~ 50/60 Hz,350,2022-01,한국 / 중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자(주),20 W + 20 W,X,"O (HDMI 2.1 x1, HDMI 2.0 x2)",O,O,O (인공지능 라이팅 리모콘),"* Screen Share : Miracast 지원 기기와 무선 미러링 지원* 크기: 돌출된 투사렌즈부, 튜너 등 제외한 규격임",﻿533 x 156.6 x 315,533 x 153 x 315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/hu715qw,LG 시네빔 Laser 4K초단초점,HU715QW,판매중,"3,691,000원","3,690,000원","3,264,300원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.7,"['https://www.lge.co.kr/kr/images/projectors/md09093826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09093826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09093826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09093826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09093826/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09093826/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09093826/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09093826/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09093826/gallery/small08.jpg']",4K UHD (3840 x 2160),"2,000 ANSI Lumen* / 2,500 Lumen*** ANSI Lumen : 미국표준협회(ANSI) 표준에 의한 프로젝터 밝기 단위이며, 최대밝기 조건에서 측정한 결과임.** Lumen : 고효율 광원의 프로젝터에서 고객이 인지하는 밝기이며, 자사시험기준으로 평가한 상대적 체감 밝기임.",305 cm (스크린 120),초단초점,,○ (Bluetooth),"O (미라캐스트, AirPlay 2)",,O (USB2.0 x2),O (RJ45 x1),O (S/PDIF x1),O (4 / 9 / 15 포인트 와핑-수동),,,O,,O,싱글 레이저,"2,000,000:1","O  (HDR10, HLG, HDR 다이내믹 톤 조정)",O,30/28/26,12,,O,webOS 6.0,DLP Projector (HU715QW),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-HU715QW (전자파 적합등록)ZK10007-21002 (전기용품 안전확인),공정거래위원회(소비자24)제공 인증정보 조회,100-240 V ~ 50/60 Hz,350,2022-01,한국 / 중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자(주),20 W + 20 W,X,"O (HDMI 2.1 x1, HDMI 2.0 x2)",O,O,O (인공지능 라이팅 리모콘),"* Screen Share : Miracast 지원 기기와 무선 미러링 지원* 크기: 돌출된 투사렌즈부, 튜너 등 제외한 규격임",﻿533 x 156.6 x 315,533 x 153 x 315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/hu710pw,LG 시네빔 Laser 4K투사형,HU710PW,판매중,"2,191,000원","1,700,000원","1,488,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/projectors/md09099826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09099826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09099826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09099826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09099826/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09099826/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09099826/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09099826/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09099826/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09099826/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09099826/gallery/small10.jpg', 'https://www.lge.co.kr/kr/images/projectors/md09099826/gallery/small11.jpg']",4K UHD (3840 x 2160),"1,600 ANSI Lumen / 2,000 Lumen** 자사 시험 기준으로 평가한 프로젝터 화면에서 고객이 인지하는 밝기임(한국 표준과학연구원과 산학협력 연구 성과물인 인지밝기 효율 반영)",762 cm,투사형,,○ (Bluetooth),"O (미라캐스트, AirPlay 2)",,O (USB2.0 x2),O (RJ45 x1),O (S/PDIF x1),O (4 / 9 / 15 포인트 와핑-수동),O  (x1.6),O  (수직 ±60% / 수평 ±24%),O,,O,하이브리드 (레이저 + 2 LED),"2,000,000:1","O  (HDR10, HLG, HDR 다이내믹 톤 조정)",O,30/28/26,6.5,,O,,DLP Projector(HU710PW),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-HU710PW (전자파 적합등록),공정거래위원회(소비자24)제공 인증정보 조회,100-240 V ~ 50/60 Hz,300,2022-01,한국 / 중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자(주),,,"O (HDMI 2.0 x 2, HDMI 2.1 x 1)",,O,O (인공지능 라이팅 리모콘),"* Screen Share : Miracast 지원 기기와 무선 미러링 지원* 크기: 돌출된 투사렌즈부, 튜너 등 제외한 규격임",259 x 129.2 x 390,259 x 123 x 390,O,O,webOS 6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/hu70la,LG 시네빔 4K투사형,HU70LA,판매중,"1,430,000원","1,050,000원","948,600원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.7,"['https://www.lge.co.kr/kr/images/projectors/md08044596/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08044596/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08044596/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08044596/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08044596/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08044596/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08044596/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08044596/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08044596/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/projectors/md08044596/gallery/small09.jpg']",4K UHD (3840 x 2160),"1,050 ANSI Lumen / 1,500 Lumen** ANSI Lumen : 미국표준협회(ANSI) 표준에 의한 프로젝터 밝기 단위이며, 최대밝기 조건에서 측정한 결과임.** Lumen : 고효율 광원의 프로젝터에서 고객이 인지하는 밝기이며, 자사시험기준으로 평가한 상대적 체감 밝기임.",356 cm (스크린 140),투사형,,○ (Bluetooth),O,,"O (USB2.0 x1, USB-Type C x1)",O (RJ45 x1),O (S/PDIF x1),O (수직-자동),,,,,,RGBB LED,"150,000:1",O (HDR 10),,30/28/25,3.2,,O,webOS 4.5,DLP Projector (HU70LA),KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-HU70LA (전자파 적합등록),공정거래위원회(소비자24)제공 인증정보 조회,100-240 V ~ 50/60 Hz,210,2019-10,한국 / 중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자(주),3 W + 3 W Stereo,"O (UHD x1, Air/Cable x1)",O (HDMI x2),O,O,O (인공지능 라이팅 리모콘),"* Screen Share : Miracast, WiDi 지원 기기와 무선 미러링 지원* 크기: 돌출된 투사렌즈부, 튜너 등 제외한 규격임",314 x 100 x 210,314 x 95 x 210,,,,○,O,O (Φ3.5 x1),"30,000 시간",O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/pf600u,LG 무드메이트투사형,PF600U,판매중,"991,000원","990,000원","892,800원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5.0,"['https://www.lge.co.kr/kr/images/projectors/md10713827/gallery/small-interior02.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10713827/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10713827/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10713827/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10713827/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10713827/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10713827/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10713827/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10713827/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10713827/gallery/small09.jpg']",FHD (1920 X 1080),스노우화이트 색상 기준 최소 단계 밝기 약 10 cd/㎡ ~ 최대 밝기 약 900 cd/㎡(색상별 / 단계별 밝기 다름),,투사형,,O (Bluetooth),"O (미라캐스트, AirPlay2)",eARC x 1개,O (USB Type-C x 1개),,,오토 키스톤 / 수동 키스톤 (4 포인트 와핑),Fixed,X,,,O,RGBB LED,"150,000:1",,,,,"290 x 1,007 x 290",,,LG 무드메이트 (PF600U) 빔프로젝터,KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-PF600U (전자파 적합등록),공정거래위원회(소비자24)제공 인증정보 조회,100-240 V ~ 50/60 Hz,65,2025-11,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,,,,,,,,,,,,,8.6kg,자석 내장형 슬림 리모컨,84.3cm ~ 304.8cm (스크린 30 ~ 120 inch),79.5cm ~ 318.5cm (스크린 30 ~ 120 inch),O,2ch,10W,O,LG전자(주),공정거래위원회(소비자24)제공 인증정보 조회,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/cinebeam-shorts-floor-stand-set,LG 시네빔 쇼츠 + 플로어 스탠드초단초점,LG Cinebeam Shorts + Floor Stand,판매중,"1,901,000원","1,810,000원","1,590,300원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.8,['https://www.lge.co.kr/kr/images/projectors/md10695832/gallery/small01.jpg'],4K UHD (3840 x 2160),500 안시 루멘,101.6cm ~ 254.0cm (스크린 40 ~ 100 inch),초단초점,"100"" 0.39m",O,"O (미라캐스트, AirPlay 2)",eARC,O (USB Type-C x 2),X,X,오토 키스톤 / 수동 키스톤 (4/9/15 포인트 와핑),Fixed,-,O,O,O,RGB Laser,"450,000:1","O  (HDR10, HLG, HDR 다이내믹 톤 조정)",-,29/27/25,1.9,110 x 160 x 160,O,webOS 24,LG 시네빔 쇼츠 (PU615U) 빔프로젝터,KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-PU615U (전자파 적합등록),공정거래위원회(소비자24)제공 인증정보 조회,100-240 V ~ 50/60 Hz,65,2025-07,한국 / 중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/cinebeam-shorts-floor-stand,LG 시네빔 쇼츠 플로어 스탠드,Cinebeam Shorts Floor Stand,판매중,"110,000원",,0원,포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.5,"['https://www.lge.co.kr/kr/images/projectors/md10692826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/projectors/md10692826/gallery/small02.jpg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,보이아(VOIA)02-707-1033 온라인 고객센터 내선 3번,,,,,,,,,,,,,,,,,,,,,,,,,,,보이아(VOIA),,블랙,Aluminium alloy,최소 234mm / 최대 587mm,LG전자㈜,"평일 09:00 ~ 17:30 (점심시간 : 11:30 ~ 12:30)주말, 공휴일은 휴무",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프로젝터,https://www.lge.co.kr/projectors/pu615ubgrab,LG 시네빔 쇼츠 (빔프로젝터)+ LG 엑스붐 그랩,PU615UBGRAB,판매중,"1,949,000원","1,820,000원","1,599,600원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,,['https://www.lge.co.kr/kr/images/projectors/md10686828/gallery/small01.jpg'],4K UHD (3840 x 2160),500 안시 루멘,101.6cm ~ 254.0cm (스크린 40 ~ 100 inch),초단초점,"100"" 0.39m",O,"O (미라캐스트, AirPlay 2)",eARC,O (USB Type-C x 2),X,X,오토 키스톤 / 수동 키스톤 (4/9/15 포인트 와핑),Fixed,-,O,O,O,RGB Laser,"450,000:1","O  (HDR10, HLG, HDR 다이내믹 톤 조정)",-,29/27/25,1.9,110 x 160 x 160,O,webOS 24,LG 시네빔 쇼츠 (PU615U) 빔프로젝터,KC 인증 필 유 - 로고 및 관련 내용을 확인 할 수 있습니다.R-R-LGE-PU615U (전자파 적합등록),공정거래위원회(소비자24)제공 인증정보 조회,100-240 V ~ 50/60 Hz,65,2025-07,한국 / 중국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,LG전자(주),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
