제품군,URL,제품명,모델명,상태,정가,판매가,최대혜택가,구매혜택안내,6년구독가격,최대혜택구독가격,평점,이미지리스트,"제품 크기 (WxHxD, mm)","리클라이닝 사이즈 (WxHxD, mm)",무게 (kg),Body Color (외부색상),가죽재질,허벅지,모션,목,어깨,등,허리,엉덩이,종아리,팔,발목,손,발바닥,전신코스 (자동),부분코스 (자동),내마음코스,퀵스타트 기능,메모리 기능,시간절약/간편코스 (자동),무중력 모드,블루투스 연결,스페이스 세이빙,USB(충전),체형인식,스피커,어깨안마,휴대폰거치대(수납),바디프레임,음성인식,UP 가전,신체정보측정,다리길이조절,안심설정,지문인식,등/허리,엉덩이/허벅지,온도 조절범위,리모컨,간편 조작부,긴급(일시)정지,사용이력 분석,스마트 진단,KC 인증 필 유무,KC인증조회,전자파 적합성 인증(등록) 번호,전기용품 안전인증(확인신고) 번호,정격전압 (V/Hz),소비전력 (W),동일모델의 출시년월,제조자 (수입자),제조국,에너지 소비효율등급,품질보증기준,A/S 책임자와 전화번호,색상 (프레임)
안마의자,https://www.lge.co.kr/massage-chairs/mx91wr,LG 힐링미 안마의자 (MX9),MX91WR,판매중,"5,290,000원","4,890,000원","4,280,300원","포인트 최대 0 멤버십 포인트 적립 | 캐시백 최대 100,000원 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원)","월 93,100 원","월 67,100원",5.0,"['https://www.lge.co.kr/kr/images/massage-chairs/md10426843/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10426843/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10426843/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10426843/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10426843/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10426843/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10426843/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10426843/gallery/small07.jpg']","800 x 1,260 x 1,600","800 x 1,051 x 1,772",107.0,에센스 화이트,인조가죽,X,3D,O,O,X,X,X,O,O,O,O,롤러,O,X,O,O,O,X,O,O,O,X,어깨위치감지,스테레오,O,X,S&L 프레임,X,O,X,자동 (18cm),O,O,O,X,X,LCD + 버튼,O,O,O,O,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,R-R-LGE-MX91WR,SU072693-24001,220V / 60Hz,140,2024-08,Xiamen Healthcare Electronic (LG전자(주)),중국,해당없음,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,
안마의자,https://www.lge.co.kr/massage-chairs/mh81cc,LG 힐링미 안마의자 (MX8),MH81CC,판매중,"3,501,000원","3,500,000원","2,987,600원","포인트 최대 0 멤버십 포인트 적립 | 캐시백 최대 100,000원 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원)","월 65,100 원","월 39,100원",3.0,"['https://www.lge.co.kr/kr/images/massage-chairs/md10698826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10698826/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10698826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10698826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10698826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10698826/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10698826/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10698826/gallery/small06.jpg']","755 x 1,141 x 1,510","755 x 865 x 1,790",100.0,Cozy Beige,인조가죽,,3D,O,O,O,O,O,O,O,O,O,롤러,O,,O,O,O,,O,O,O,O,어깨위치감지,스테레오,O,,오픈 프레임,,,,자동 (15cm),O,,O,,온/오프,LCD + 버튼,O,O,,,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,R-R-LGE-MH81RR,SU071459-23002,220V / 60Hz,120,2025-09,"Zhejiang Haozhonghao Health Product Co., Ltd (LG전자(주))",중국,해당없음,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,
안마의자,https://www.lge.co.kr/massage-chairs/mh81rr,LG 힐링미 안마의자 (MX8),MH81RR,판매중,"3,500,000원","3,200,000원","2,708,600원","포인트 최대 0 멤버십 포인트 적립 | 캐시백 최대 100,000원 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원)","월 63,700 원","월 37,700원",4.9,"['https://www.lge.co.kr/kr/images/massage-chairs/md10282844/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10282844/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10282844/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10282844/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10282844/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10282844/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10282844/gallery/small06.jpg']","755 x 1,141 x 1,510","755 x 865 x 1,790",100.0,,인조가죽,,3D,O,O,O,O,O,O,O,O,O,롤러,O,,O,O,O,,O,O,O,O,어깨위치감지,스테레오,O,,오픈 프레임,,,,자동 (15cm),O,,O,,온/오프,LCD + 버튼,O,O,,,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,R-R-LGE-MH81RR,SU071459-23002,220V / 60Hz,120,2023-12,"Zhejiang Haozhonghao Health Product Co., Ltd (LG전자(주))",중국,해당없음,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,스톰 브라운
안마의자,https://www.lge.co.kr/massage-chairs/mh67br,LG 힐링미 안마의자 (MX6),MH67BR,판매중,"2,200,000원","1,740,000원","1,525,200원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 47,700 원","월 21,700원",4.9,"['https://www.lge.co.kr/kr/images/massage-chairs/md10282840/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10282840/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10282840/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10282840/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10282840/gallery/small04.jpg']","743 x 1,134 x 1,548","743 x 820 x 1,750",84.0,,인조가죽,,3D,O,O,O,O,O,O,O,O,O,롤러,O,,O,O,O,,O,,O,,어깨위치감지,,O,,S&L 프레임,,,,수동 (15cm),O,,O,,온/오프,LCD + 버튼,,O,,,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,R-R-LGE-MH65CC,SU071459-22001,220V / 60Hz,120,2024-01,"Zhejiang Haozhonghao Health Product Co., Ltd (LG전자(주))",중국,해당없음,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,Cozy Beige
안마의자,https://www.lge.co.kr/massage-chairs/mh66cb,LG 힐링미 안마의자 (MX6),MH66CB,판매중,"2,900,000원","1,890,000원","1,664,700원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 51,700 원","월 25,700원",4.9,"['https://www.lge.co.kr/kr/images/massage-chairs/md09950826/gallery/small-interior02.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md09950826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md09950826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md09950826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md09950826/gallery/small04.jpg']","743 x 1,134 x 1,548","743 x 820 x 1,750",84.0,Cozy Beige,인조가죽,X,3D,O,O,O,O,O,O,O,O,O,롤러,O,,O,O,O,,O,,O,,어깨위치감지,,O,,S&L 프레임,,,,수동 (15cm),O,,O,,온/오프,LCD + 버튼,O,O,,,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,R-R-LGE-MH65CC,SU071459-22001,220V / 60Hz,120,2023-03,"Zhejiang Haozhonghao Health Product Co., Ltd (LG전자(주))",중국,해당없음,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,
안마의자,https://www.lge.co.kr/massage-chairs/mh65cc,LG 힐링미 안마의자 (MX6),MH65CC,판매중,"3,201,000원","3,200,000원","2,708,600원","포인트 최대 0 멤버십 포인트 적립 | 캐시백 최대 100,000원 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원)","월 58,100 원","월 32,100원",4.8,"['https://www.lge.co.kr/kr/images/massage-chairs/md09925826/gallery/small-interior02.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md09925826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md09925826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md09925826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md09925826/gallery/small04.jpg']","743 x 1,134 x 1,548","743 x 820 x 1,750",85.0,Cozy Brown,인조가죽,X,3D,O,O,O,O,O,O,O,O,O,롤러,O,,O,O,O,,O,O,O,,어깨위치감지,스테레오,O,,S&L 프레임,,,,수동 (15cm),O,,O,,온/오프,LCD + 버튼,O,O,,,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,R-R-LGE-MH65CC,SU071459-22001,220V / 60Hz,120,2023-03,"Zhejiang Haozhonghao Health Product Co., Ltd (LG전자(주))",중국,해당없음,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,
안마의자,https://www.lge.co.kr/massage-chairs/mh20br,LG 힐링미 오브제컬렉션 안마의자 (아르테),MH20BR,판매중,"2,690,000원","1,840,000원","1,618,200원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 42,100 원","월 16,100원",4.8,"['https://www.lge.co.kr/kr/images/massage-chairs/md10343826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10343826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10343826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10343826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10343826/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10343826/gallery/small05.jpg']","753 x 1,127 x 1,007","753 x 850 x 1,307",58.0,,인조가죽,O,3D,O,O,O,O,O,,,,,,O,,O,,,,,O,,,어깨위치감지,스테레오,,,S&L 프레임,,,,,O,,O,,온/오프,VFD,,O,,,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,R-R-LGE-MH21BB,SU071459-23001,220V / 60Hz,60,2024-05,"Zhejiang Haozhonghao Health Product Co., Ltd (LG전자(주))",중국,해당없음,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,Cozy Brown
안마의자,https://www.lge.co.kr/massage-chairs/mh21bby,LG 힐링미 오브제컬렉션 안마의자 (아르테UP),MH21BBY,판매중,"3,291,000원","3,290,000원","2,842,300원","포인트 최대 0 멤버십 포인트 적립 | 캐시백 최대 50,000원 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원)","월 49,500 원","월 23,500원",4.8,"['https://www.lge.co.kr/kr/images/massage-chairs/md10436841/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10436841/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10436841/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10436841/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10436841/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10436841/gallery/small05.jpg']","753 x 1,127 x 1,007","753 x 850 x 1,307",62.0,Cozy Beige,인조가죽,O,3D,O,O,O,O,O,,,,,,O,,O,,,,,O,,,어깨위치감지,스테레오,O,,S&L 프레임,,O,,,O,,O,,온/오프,무선리모컨,,O,O,O,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,R-R-LGE-MH21BB,SU071459-23001,220V / 60Hz,60,2024-12,"Zhejiang Haozhonghao Health Product Co., Ltd (LG전자(주))",중국,해당없음,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,
안마의자,https://www.lge.co.kr/massage-chairs/mh21rry,LG 힐링미 오브제컬렉션 안마의자 (아르테UP),MH21RRY,판매중,"3,291,000원","3,290,000원","2,842,300원","포인트 최대 0 멤버십 포인트 적립 | 캐시백 최대 50,000원 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원)","월 49,500 원","월 23,500원",4.8,"['https://www.lge.co.kr/kr/images/massage-chairs/md10436842/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10436842/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10436842/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10436842/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10436842/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10436842/gallery/small05.jpg']","753 x 1,127 x 1,007","753 x 850 x 1,307",62.0,Cozy Brown,인조가죽,O,3D,O,O,O,O,O,,,,,,O,,O,,,,,O,,,어깨위치감지,스테레오,O,,S&L 프레임,,O,,,O,,O,,온/오프,무선리모컨,,O,O,O,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,R-R-LGE-MH21BB,SU071459-23001,220V / 60Hz,60,2024-12,"Zhejiang Haozhonghao Health Product Co., Ltd (LG전자(주))",중국,해당없음,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,
안마의자,https://www.lge.co.kr/massage-chairs/mh21bb,LG 힐링미 오브제컬렉션 안마의자 (아르테),MH21BB,비판매상품,,,,,,,4.9,"['https://www.lge.co.kr/kr/images/massage-chairs/md10065829/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10065829/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10065829/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10065829/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10065829/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/massage-chairs/md10065829/gallery/small05.jpg']","753 x 1,127 x 1,007","753 x 850 x 1,307",60.0,,인조가죽,O,3D,O,X,O,O,O,,,,,,O,,O,,,,,O,,,어깨위치감지,스테레오,X,,S&L 프레임,,,X,,O,,O,,온/오프,VFD,,O,,,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,R-R-LGE-MH21BB,SU071459-23001,220V / 60Hz,60,2023-07,"Zhejiang Haozhonghao Health Product Co., Ltd (LG전자(주))",중국,해당없음,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,Cozy Beige
