제품군,URL,제품명,모델명,상태,정가,판매가,최대혜택가,구매혜택안내,6년구독가격,최대혜택구독가격,평점,이미지리스트,타입,도어 개수,설치타입,전체 용량 (L),무게 (kg),"제품 크기 (WxHxD, mm)",디스플레이,색상,도어스타일/재질,핸들,메탈 프레쉬,매직스페이스,히든버튼,정온기능,좌/우 가변도어,탈취,도어쿨링⁺,칸칸탈취,컴프레서,소음 (dB),ThinQ (Wi-Fi),스마트 진단,UP 가전,내부조명,강화유리 선반,유산균가드,냉기지킴가드,익힘,맛지킴 김치,구입 김치,오래 보관,New 유산균김치⁺,유산균 인디케이터,인공지능 맞춤보관,원격제어,칸칸 On/Off,김치 보관/익힘기능,냉동 전환기능,냉장 전환기능,쌀/잡곡 보관,야채/과일,육류/생선,쿨링 케어,쿨링센서,신선 보관실,멀티 보관실,김치통 개수,소형 김치통 개수,김치 용기 구성,KC 인증 필 유무,KC인증조회,전기용품 안전인증(확인신고) 번호,전자파 적합성 인증(등록) 번호,에너지 소비효율등급,정격전압 (V/Hz),소비전력 (kWh/월),동일모델의 출시년월,제조자 (수입자),제조국,품질보증기준,A/S 책임자와 전화번호,구성품 (오브제 컬렉션 페어설치키트),외부 디스플레이,원터치탈취기능,냉각방식,문열림 각도,도어 패널 모델명,본체 모델명,메탈 디자인,냉장 용량 (L),냉동 용량 (L),특급냉동,노크온 기능,음성인식,대용량 바스켓,신선야채실,접이식 선반,멀티수납코너,신선플러스 트레이,UV청정탈취필터+,디스펜서,아이스메이커,얼음 종류,수도관 연결,신선맞춤실
김치냉장고,https://www.lge.co.kr/kimchi-refrigerators/z330mrrf21,LG 디오스 오브제컬렉션 김치톡톡327L1등급,Z330MRRF21,판매중,"2,050,000원","1,800,000원","1,581,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 34,900 원","월 8,900원",4.9,"['https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545827/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10366876/gallery/Z339MRRF11.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545827/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545827/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545827/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545827/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545827/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545827/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545827/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545827/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545827/gallery/small09.jpg']",스탠드형 김치냉장고,3도어,프리스탠딩,327,106,"666 x 1,787 x 737",고내 Top 디스플레이,오브제컬렉션 크림 그레이 / 크림 그레이,메탈,스퀘어 핸들,X,X,X,O(신선정온),X,프레시 필터,X,O,인버터 컴프레서,37,O,O,O,Top,2,X,상/중/하칸,상칸/중칸,전칸,중칸,하칸,중칸,중칸,O,O,상/중하칸,전칸,상칸,상칸,하칸,중/하칸,하칸,O,상/중/하칸,다용도박스,X,7개 (상칸3/중칸2/하칸2),3(상칸),"상칸(7ℓ X 3), 중칸(11.3ℓ X 2), 하칸(17.1ℓ X 2)",KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-24004,R-R-LGE-Z339MEEF112405,1등급,220V / 60Hz,12.2,2025-03,LG전자(주),한국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,,,,,,,,,,,,,,,,,,
김치냉장고,https://www.lge.co.kr/kimchi-refrigerators/z330meef11,LG 디오스 오브제컬렉션 김치톡톡327L1등급,Z330MEEF11,판매중,"2,050,000원","1,550,000원","1,348,500원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 36,900 원","월 10,900원",5.0,"['https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545829/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10366877/gallery/Z339MEEF11.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545829/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545829/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545829/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545829/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545829/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545829/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545829/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545829/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10545829/gallery/small09.jpg']",스탠드형 김치냉장고,3도어,프리스탠딩,327,104,"666 x 1,787 x 737",고내 Top 디스플레이,오브제컬렉션 베이지 / 베이지,메탈,스퀘어 핸들,X,X,X,O(신선정온),X,프레시 필터,X,O,인버터 컴프레서,37,O,O,O,Top,2,X,상/중/하칸,상칸/중칸,전칸,중칸,하칸,중칸,중칸,O,O,상/중하칸,전칸,상칸,상칸,하칸,중/하칸,하칸,O,상/중/하칸,다용도박스,X,4개 (중칸2/하칸2),,"중칸(11.3ℓ X 2), 하칸(17.1ℓ X 2)",KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-24004,R-R-LGE-Z339MEEF112405,1등급,220V / 60Hz,12.2,2025-03,LG전자(주),한국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,,,,,,,,,,,,,,,,,,,,
김치냉장고,https://www.lge.co.kr/kimchi-refrigerators/oc-kit8,오브제컬렉션 Fit & Max 냉장고 페어설치키트,OC-Kit8,판매중,"111,000원","100,000원","100,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,,"['https://www.lge.co.kr/kr/images/refrigerators/md10540851/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/refrigerators/md10540851/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/refrigerators/md10540852/gallery/small03.jpg']",페어설치키트,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(주)서브원,,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,"페어설치 브라켓, 스크류, 데코케이스, 실링폼, 스페이서, 패드",,,,,,,,,,,,,,,,,,,,,,,
김치냉장고,https://www.lge.co.kr/kimchi-refrigerators/oc-kit7,오브제컬렉션 Fit & Max 냉장고 페어설치키트,OC-Kit7,판매중,"111,000원","100,000원","100,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,,"['https://www.lge.co.kr/kr/images/refrigerators/md10540851/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/refrigerators/md10540851/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/refrigerators/md10540852/gallery/small03.jpg']",페어설치키트,,,,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(주)서브원,,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,"페어설치 브라켓, 스크류, 데코케이스, 실링폼, 스페이서, 패드",,,,,,,,,,,,,,,,,,,,,,,
김치냉장고,https://www.lge.co.kr/kimchi-refrigerators/k220s111,LG 디오스 김치톡톡217L1등급,K220S111,판매중,"1,050,000원","850,000원","762,600원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 23,900 원",월 0원,5.0,"['https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675836/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675836/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675836/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675836/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675836/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675836/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675836/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675836/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675836/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675836/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675836/gallery/small10.jpg']",뚜껑식 김치냉장고,2도어,프리스탠딩,217,62,920 x 949 x 691,,퓨어,,X,X,X,X,X,X,듀얼탈취,X,,인버터 컴프레서,,X,O,X,X,X,X,X,전칸,전칸,좌칸,좌칸,우칸,우칸,X,X,전칸,전칸,좌칸,X,X,전칸,전칸,X,X,X,X,8(좌칸4/우칸4),,"좌칸(16.9ℓ X 4), 우칸(16.9ℓ X 4)",KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-23005,R-R-LGE-Z223MEE1512307,1등급,220V / 60Hz,9.9,2025-09,스타리온성철,한국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,매직 디스플레이,X,직냉식,,,,,,,,,,,,,,,,,,,,
김치냉장고,https://www.lge.co.kr/kimchi-refrigerators/z334gbb171,LG 디오스 오브제컬렉션 김치톡톡 Fit & Max324L1등급,Z334GBB171,판매중,"2,997,000원","2,700,000원","2,399,400원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 47,700 원","월 21,700원",5.0,"['https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10366997/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/360view/product/Z334GBB171/Z334_360_Light_thum.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10366997/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10366997/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10366997/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10366997/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10366997/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10366997/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10366997/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10366997/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10366997/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10366997/gallery/small10.jpg']",스탠드형 김치냉장고,3도어,Fit & Max,324,118,"666 x 1,860 x 685",,오브제컬렉션 베이지 / 베이지,글라스,스퀘어 핸들,X,X,X,O(신선정온),X,프레시 필터,X,O,인버터 컴프레서,37,O,O,O,Top,2,X,상/중/하칸,상칸/중칸,전칸,중칸,하칸,상칸/중칸,상칸/중칸,O,O,중/하칸,전칸,상칸,상칸,하칸,중/하칸,하칸,O,전칸,다용도박스,X,11(상칸7/중칸2/하칸2),3(상칸),"상칸(11.7ℓ X 4, 7ℓ X 3), 중칸(11.3ℓ X 2), 하칸(17.1ℓ X 2)",KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-24006,R-R-LGE-Z334GBB1612408,1등급,220V / 60Hz,12.1,2025-02,LG전자(주),한국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,,,110˚ (냉장칸 기준),,,,,,,,,,,,,,,,,,,
김치냉장고,https://www.lge.co.kr/kimchi-refrigerators/k225mb131,LG 디오스 김치톡톡217L1등급,K225MB131,판매중,"1,388,000원","1,250,000원","1,097,400원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),"월 27,600 원","월 1,600원",5.0,"['https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675831/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675831/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675831/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675831/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675831/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675831/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675831/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675831/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675831/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675831/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10675831/gallery/small10.jpg']",뚜껑식 김치냉장고,2도어,프리스탠딩,217,62,920 x 949 x 691,,몽블랑 네이처,,X,X,X,X,X,X,듀얼탈취,X,,인버터 컴프레서,,X,O,X,X,X,X,X,전칸,전칸,좌칸,좌칸,우칸,우칸,X,X,전칸,전칸,좌/우칸,X,X,전칸,전칸,X,X,X,X,9(좌칸4/우칸5),2(우칸),"좌칸(16.9ℓ X 4), 우칸(16.9ℓ X 3, 7.6ℓ X 2)",KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-23005,R-R-LGE-Z223MEE1512307,1등급,220V / 60Hz,9.9,2025-09,스타리온성철,한국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,매직 디스플레이,X,직냉식,,,,,,,,,,,,,,,,,,,,
김치냉장고,https://www.lge.co.kr/kimchi-refrigerators/z495gbb261,LG 디오스 AI 오브제컬렉션 김치톡톡491L1등급,Z495GBB261,판매중,"3,600,000원","2,990,000원","2,669,100원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원) | 사은품 포토리뷰 작성시 멤버십 5만P 증정,"월 64,900 원","월 38,900원",5.0,"['https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645856/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645856/gallery/small13.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645856/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645856/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645856/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645856/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645856/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645856/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645856/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645856/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645856/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645856/gallery/small10.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645856/gallery/small11.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645856/gallery/small12.jpg']",스탠드형 김치냉장고,4도어,프리스탠딩,491,150,"835 x 1,860 x 838",,오브제컬렉션 베이지,글라스,스퀘어 핸들,O,X,X,O(신선정온),X,퓨어 프레시 필터,X,,인버터 컴프레서,,O,O,O,Top,6,X,상/중/하칸,상칸/중칸,전칸,중칸,하칸,상칸/중칸,상칸/중칸,O,O,중/하칸,상좌/상우/중칸,상좌/상우,상좌/상우,하칸,중/하칸,하칸,O,전칸,좌칸,우칸,12(상칸4/중칸4/하칸4),4(상칸),"상좌칸(4.7ℓ X 2), 상우칸(4.7ℓ X 2), 중칸(14.7ℓ X 4), 하칸(11.6ℓ X 4)",KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-25011,R-R-LGE-Z495SVV2712508,1등급,220V / 60Hz,15.1,2025-09,LG전자(주),한국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,O,,133˚ (냉장칸 기준),,,,,,,,,,,,,,,,,,,
김치냉장고,https://www.lge.co.kr/kimchi-refrigerators/z490mmmf11,LG 디오스 AI 오브제컬렉션 김치톡톡491L1등급,Z490MMMF11,판매중,"2,750,000원","2,050,000원","1,794,900원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원) | 사은품 포토리뷰 작성시 멤버십 5만P 증정,"월 51,900 원","월 25,900원",4.9,"['https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10664826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10664826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10664826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10664826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10664826/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10664826/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10664826/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10664826/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10664826/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10664826/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10664826/gallery/small10.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10664826/gallery/small11.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10664826/gallery/small12.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10664826/gallery/small13.jpg']",스탠드형 김치냉장고,4도어,프리스탠딩,491,132,"835 x 1,795 x 838",고내 Top 디스플레이,오브제컬렉션 맨해튼 미드나잇,메탈,스퀘어 핸들,X,X,X,O(신선정온),X,칸칸탈취,X,,인버터 컴프레서,35,O,O,O,Top,4,X,상/중/하칸,상칸/중칸,전칸,중칸,하칸,상칸/중칸,상칸/중칸,O,O,중/하칸,상좌/상우/중칸,상좌/상우,상좌/상우,하칸,중/하칸,하칸,O,전칸,X,X,8(상칸0/중칸4/하칸4),,"중칸(14.7ℓ X 4), 하칸(11.6ℓ X 4)",KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-25011,R-R-LGE-Z490MEEF112509,1등급,220V / 60Hz,15.1,2024-09,LG전자(주),한국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,O,,133˚ (냉장칸 기준),,,,,,,,,,,,,,,,,,,
김치냉장고,https://www.lge.co.kr/kimchi-refrigerators/z495gbb271,LG 디오스 AI 오브제컬렉션 김치톡톡491L1등급,Z495GBB271,판매중,"4,163,000원","3,750,000원","3,320,100원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원) | 사은품 포토리뷰 작성시 멤버십 5만P 증정,"월 71,600 원","월 45,600원",5.0,"['https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645849/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645849/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645849/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645849/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645849/gallery/small04.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645849/gallery/small05.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645849/gallery/small06.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645849/gallery/small07.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645849/gallery/small08.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645849/gallery/small09.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645849/gallery/small10.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645849/gallery/small11.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645849/gallery/small12.jpg', 'https://www.lge.co.kr/kr/images/kimchi-refrigerators/md10645849/gallery/small13.jpg']",스탠드형 김치냉장고,4도어,프리스탠딩,491,152,"835 x 1,860 x 838",,오브제컬렉션 베이지,글라스,스퀘어 핸들,O,X,X,O(신선정온),X,퓨어 프레시 필터,X,,인버터 컴프레서,,O,O,O,Top,6,X,상/중/하칸,상칸/중칸,전칸,중칸,하칸,상칸/중칸,상칸/중칸,O,O,중/하칸,상좌/상우/중칸,상좌/상우,상좌/상우,하칸,중/하칸,하칸,O,전칸,좌칸,우칸,16(상칸8/중칸4/하칸4),8개 (상칸8),"상좌칸(4.7ℓ X 4), 상우칸(4.7ℓ X 4), 중칸(14.7ℓ X 4), 하칸(11.6ℓ X 4)",KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,SM07005-25011,R-R-LGE-Z495SVV2712508,1등급,220V / 60Hz,15.1,2025-09,LG전자(주),한국,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,LG전자서비스센터 / 1544-7777,,,O,,133˚ (냉장칸 기준),,,,,,,,,,,,,,,,,,,
