제품군,URL,제품명,모델명,상태,정가,판매가,최대혜택가,구매혜택안내,6년구독가격,최대혜택구독가격,평점,이미지리스트,색상,제품분류,"제품 크기 (WxHxD, mm)",무게 (Kg),맥주 추출 방식,조작 방식,외관 재질,맥주 제조량 (L),추출 유량 (LPM),보관 온도 (℃),화면 밝기 조절,음량 조절,브루잉 모니터링 (제품),캡슐 구입 (ThinQ),브루잉 모니터링 (ThinQ),브루잉 기록 (ThinQ),스마트 진단,ThinQ(Wi-Fi),UP 가전,세척 방식,세척 성능,물 사용량,에어 필터,비고,세척 시간,정격전압 (V/Hz),동일모델의 출시년월,제조자 (수입자),제조국,KC 인증 필 유무,KC인증조회,전자파 적합성 인증(등록) 번호,전기용품 안전인증(확인신고) 번호,A/S 책임자와 전화번호,품질보증기준,정격전류 (A),정격입력 (W),"포장 크기 (WxHxD, mm)",알코올,맥즙,효모,홉오일,"포장단위별 내용물의 용량(중량), 수량",영양성분,식품의 유형,생산자 및 소재지,제조연월일 또는 품질유지기한,원재료명,유전자변형식품에 해당하는 경우의 표시,수입식품의 경우,소비자 안전을 위한 주의사항 (위트 제품 외),소비자 안전을 위한 주의사항 (위트 제품),플레이버(맥주향),소비자 안전을 위한 주의사항
맥주제조기,https://www.lge.co.kr/lg-homebrew/bbc53nbb,LG 홈브루 오브제컬렉션,BBC53NBB,판매중,"1,654,000원","1,490,000원","1,320,600원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5,"['https://www.lge.co.kr/kr/images/lg-homebrew/md10107826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md09297826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md09297826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md09297826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md09297826/gallery/small04.jpg']",네이처 베이지,맥주제조기,543 x 488 x 421,19.3,탭,다이얼,"PCM, 강화 유리",5,0.5,4 or 6 (기본값 : 6),"3단계(밝게, 보통, 어둡게)","3단계(크게, 작게, 무음)",O,O,O,O,O,O,O,온수 세척(65℃),"99.99% 제거 (황색포도상구균, 대장균, 젖산균, 효모 등 유해세균 살균)",브루잉 전 세척 : 2 리터 / 캡슐 투입구 세척 : 0.65 리터 / 브루잉 후 세척 : 3리터,HEPA필터,"물 사용량과 세척 시간은 물 온도, 사용 조건에 따라 달라질 수 있습니다.",브루잉 전 세척(5분) / 캡슐 투입구 세척(5분) / 브루잉 후 세척(10분),220V / 60Hz,Jul-23,LG전자,한국,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,R-R-LGE-BB0532204,SM07005-18012,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,0.5,"1,400",,,,,,,,,,,,,,,,,
맥주제조기,https://www.lge.co.kr/lg-homebrew/bbc53s,LG 홈브루,BBC53S,판매중,"1,598,000원","1,440,000원","1,274,100원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5,"['https://www.lge.co.kr/kr/images/lg-homebrew/md10107828/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md09331827/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md09331827/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md09331827/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md09331827/gallery/small04.jpg']",실버,맥주제조기,543 x 488 x 421,19,탭,다이얼,"STS, 강화 유리",5,0.5,4 or 6 (기본값 : 6),"3단계(밝게, 보통, 어둡게)","3단계(크게, 작게, 무음)",O,O,O,O,O,O,O,온수 세척(65℃),"99.99% 제거 (황색포도상구균, 대장균, 젖산균, 효모 등 유해세균 살균)",브루잉 전 세척 : 2 리터 / 캡슐 투입구 세척 : 0.65 리터 / 브루잉 후 세척 : 3리터,HEPA필터,"물 사용량과 세척 시간은 물 온도, 사용 조건에 따라 달라질 수 있습니다.",브루잉 전 세척(5분) / 캡슐 투입구 세척(5분) / 브루잉 후 세척(10분),220V / 60Hz,Jul-23,LG전자,한국,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,R-R-LGE-BB0532204,SM07005-18012,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,0.5,"1,400",,,,,,,,,,,,,,,,,
맥주제조기,https://www.lge.co.kr/lg-homebrew/bbc53sgb,LG 홈브루 오브제컬렉션,BBC53SGB,판매중,"1,654,000원","1,490,000원","1,320,600원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5,"['https://www.lge.co.kr/kr/images/lg-homebrew/md10107827/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md09331826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md09331826/gallery/small02.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md09331826/gallery/small03.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md09331826/gallery/small04.jpg']",솔리드 그린,맥주제조기,543 x 488 x 421,19.3,탭,다이얼,"STS, 강화 유리",5,0.5,4 or 6 (기본값 : 6),"3단계(밝게, 보통, 어둡게)","3단계(크게, 작게, 무음)",O,O,O,O,O,O,O,온수 세척(65℃),"99.99% 제거 (황색포도상구균, 대장균, 젖산균, 효모 등 유해세균 살균)",브루잉 전 세척 : 2 리터 / 캡슐 투입구 세척 : 0.65 리터 / 브루잉 후 세척 : 3리터,HEPA필터,"물 사용량과 세척 시간은 물 온도, 사용 조건에 따라 달라질 수 있습니다.",브루잉 전 세척(5분) / 캡슐 투입구 세척(5분) / 브루잉 후 세척(10분),220V / 60Hz,Jul-23,LG전자,한국,KC 인증 필 유무,공정거래위원회(소비자24)제공 인증정보 조회,R-R-LGE-BB0532204,SM07005-18012,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,0.5,"1,400",,,,,,,,,,,,,,,,,
맥주제조기,https://www.lge.co.kr/lg-homebrew/b-mip,LG 홈브루 캡슐형 맥주 원료 패키지 (마일드 IPA),B-MIP,판매중,"48,000원","43,000원","43,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.8,"['https://www.lge.co.kr/kr/images/lg-homebrew/md10056826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md10056826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md10056826/gallery/small02.jpg']",,맥주 원료 패키지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,,,114 x 438 x 114,약 5%,호피,잉글리쉬 에일,"치누크, 케스케이드",상품 상세 페이지 제공,해당없음,상품 상세 페이지 제공,상품 상세 페이지 제공,상품 상세 페이지 제공,상품 상세 페이지 제공,X,해당사항 없음,"부정ㆍ불량식품 신고는 국번 없이 1399, 이 제품은 알레르기 발생 가능성이 있는 밀을 사용한 제품과 같은 제조시설에서 제조함, 제품의 신선도 유지를 위한 질소충전포장, 이 제품은 알레르기 발생 가능성이 있는 밀을 사용한 제품과 같은 제조시설에서 제조함, 제품의 신선도 유지를 위한 질소충전포장",해당사항 없음,,
맥주제조기,https://www.lge.co.kr/lg-homebrew/b-sip,LG 홈브루 캡슐형 맥주 원료 패키지 (스파이시 IPA),B-SIP,판매중,"48,000원","43,000원","43,000원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,5,"['https://www.lge.co.kr/kr/images/lg-homebrew/md09432827/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md09432827/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md09432827/gallery/small02.jpg']",,맥주 원료 패키지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,,,111x438x114,약 6%,호피,바이젠,시트러시,상품 상세 페이지 제공,해당없음,상품 상세 페이지 제공,상품 상세 페이지 제공,상품 상세 페이지 제공,상품 상세 페이지 제공,X,해당없음,,,코리엔더향,- 이 제품은 알레르기 발생 가능성이 있는 밀을 사용한 제품과 같은 제조 시설에서 제조함- 부정·불량식품 신고는 국번 없이 1399- 제품의 신선도 유지를 위한 질소 충전 포장
맥주제조기,https://www.lge.co.kr/lg-homebrew/b-ral,LG 홈브루 캡슐형 맥주 원료 패키지 (레드에일),B-RAL,판매중,"48,000원","42,900원","42,900원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/lg-homebrew/md09038833/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md09038833/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md09038833/gallery/small02.jpg']",,맥주 원료 패키지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,,,111x438x114,약 6%,호피,잉글리쉬 에일,"할러타우, 퍼글스",상품 상세 페이지 제공,해당없음,상품 상세 페이지 제공,상품 상세 페이지 제공,상품 상세 페이지 제공,상품 상세 페이지 제공,X,해당없음,,,,- 이 제품은 알레르기 발생 가능성이 있는 밀을 사용한 제품과 같은 제조 시설에서 제조함- 부정·불량식품 신고는 국번 없이 1399- 제품의 신선도 유지를 위한 질소 충전 포장
맥주제조기,https://www.lge.co.kr/lg-homebrew/b-whe,LG 홈브루 캡슐형 맥주 원료 패키지 (위트),B-WHE,판매중,"48,000원","42,900원","42,900원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/lg-homebrew/md08920383/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md08920383/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md08920383/gallery/small02.jpg']",,맥주 원료 패키지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,,,111x438x114,약 5%,위트,바이젠,-,상품 상세 페이지 제공,해당없음,상품 상세 페이지 제공,상품 상세 페이지 제공,상품 상세 페이지 제공,상품 상세 페이지 제공,X,해당없음,,,오렌지향 코리엔더향,- 밀포함- 부정·불량식품 신고는 국번 없이 1399- 제품의 신선도 유지를 위한 질소 충전 포장
맥주제조기,https://www.lge.co.kr/lg-homebrew/b-pil,LG 홈브루 캡슐형 맥주 원료 패키지 (필스너),B-PIL,판매중,"48,000원","42,900원","42,900원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.8,"['https://www.lge.co.kr/kr/images/lg-homebrew/md08945827/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md08945827/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md08945827/gallery/small02.jpg']",,맥주 원료 패키지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,,,111x438x114,약 5%,딥골드,라거,"할러타우, 시트러시",상품 상세 페이지 제공,해당없음,상품 상세 페이지 제공,상품 상세 페이지 제공,상품 상세 페이지 제공,상품 상세 페이지 제공,X,해당없음,,,,- 이 제품은 알레르기 발생 가능성이 있는 밀을 사용한 제품과 같은 제조 시설에서 제조함- 부정·불량식품 신고는 국번 없이 1399- 제품의 신선도 유지를 위한 질소 충전 포장
맥주제조기,https://www.lge.co.kr/lg-homebrew/b-ipa,LG 홈브루 캡슐형 맥주 원료 패키지 (IPA),B-IPA,판매중,"48,000원","42,900원","42,900원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/lg-homebrew/md08920381/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md08920381/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md08920381/gallery/small02.jpg']",,맥주 원료 패키지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,,,111x438x114,약 5%,호피,아메리칸 에일,"치누크, 케스케이드",상품 상세 페이지 제공,해당없음,상품 상세 페이지 제공,상품 상세 페이지 제공,상품 상세 페이지 제공,상품 상세 페이지 제공,X,해당없음,,,,- 이 제품은 알레르기 발생 가능성이 있는 밀을 사용한 제품과 같은 제조 시설에서 제조함- 부정·불량식품 신고는 국번 없이 1399- 제품의 신선도 유지를 위한 질소 충전 포장
맥주제조기,https://www.lge.co.kr/lg-homebrew/b-sto,LG 홈브루 캡슐형 맥주 원료 패키지 (스타우트),B-STO,판매중,"48,000원","42,900원","42,900원",포인트 최대 0 멤버십 포인트 적립 | 제휴카드혜택 LGE.COM 플러스 서비스 최대 100만원 조건부 할인+ 10% 캐시백 | 결제일 할인 신용카드 7% 결제일 할인 (신한/현대/국민/롯데) | 무이자 카드사별 무이자 할부 혜택 | 간편결제 네이버페이 7% 포인트 적립(최대 10만원) 토스페이 1% 포인트 적립 (최대 2만원),,,4.9,"['https://www.lge.co.kr/kr/images/lg-homebrew/md08945826/gallery/small-interior01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md08945826/gallery/small01.jpg', 'https://www.lge.co.kr/kr/images/lg-homebrew/md08945826/gallery/small02.jpg']",,맥주 원료 패키지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LG전자서비스센터 / 1544-7777,결함·하자 등에 따른 소비자피해에 대해서는 소비자분쟁해결기준(소비자기본법 제 16조)에 따라 보상 가능,,,111x438x114,약 5%,다크,잉글리쉬 에일,"골딩스, 퍼글스",상품 상세 페이지 제공,해당없음,상품 상세 페이지 제공,상품 상세 페이지 제공,상품 상세 페이지 제공,상품 상세 페이지 제공,X,해당없음,,,,- 이 제품은 알레르기 발생 가능성이 있는 밀을 사용한 제품과 같은 제조 시설에서 제조함- 부정·불량식품 신고는 국번 없이 1399- 제품의 신선도 유지를 위한 질소 충전 포장
